,State,County,President,Party
0,Alabama,Baldwin,Donald Trump,R
1,Alabama,Barbour,Donald Trump,R
2,Alabama,Bibb,Donald Trump,R
3,Alabama,Blount,Donald Trump,R
4,Alabama,Bullock,Kamala Harris,D
5,Alabama,Butler,Donald Trump,R
6,Alabama,Calhoun,Donald Trump,R
7,Alabama,Chambers,Donald Trump,R
8,Alabama,Cherokee,Donald Trump,R
9,Alabama,Chilton,Donald Trump,R
10,Alabama,Choctaw,Donald Trump,R
11,Alabama,Clarke,Donald Trump,R
12,Alabama,Clay,Donald Trump,R
13,Alabama,Cleburne,Donald Trump,R
14,Alabama,Coffee,Donald Trump,R
15,Alabama,Colbert,Donald Trump,R
16,Alabama,Conecuh,Donald Trump,R
17,Alabama,Coosa,Donald Trump,R
18,Alabama,Covington,Donald Trump,R
19,Alabama,Crenshaw,Donald Trump,R
20,Alabama,Cullman,Donald Trump,R
21,Alabama,Dale,Donald Trump,R
22,Alabama,Dallas,Kamala Harris,D
23,Alabama,DeKalb,Donald Trump,R
24,Alabama,Elmore,Donald Trump,R
25,Alabama,Escambia,Donald Trump,R
26,Alabama,Etowah,Donald Trump,R
27,Alabama,Fayette,Donald Trump,R
28,Alabama,Franklin,Donald Trump,R
29,Alabama,Geneva,Donald Trump,R
30,Alabama,Greene,Kamala Harris,D
31,Alabama,Hale,Kamala Harris,D
32,Alabama,Henry,Donald Trump,R
33,Alabama,Houston,Donald Trump,R
34,Alabama,Jackson,Donald Trump,R
35,Alabama,Jefferson,Kamala Harris,D
36,Alabama,Lamar,Donald Trump,R
37,Alabama,Lauderdale,Donald Trump,R
38,Alabama,Lawrence,Donald Trump,R
39,Alabama,Lee,Donald Trump,R
40,Alabama,Limestone,Donald Trump,R
41,Alabama,Lowndes,Kamala Harris,D
42,Alabama,Macon,Kamala Harris,D
43,Alabama,Madison,Donald Trump,R
44,Alabama,Marengo,Donald Trump,R
45,Alabama,Marion,Donald Trump,R
46,Alabama,Marshall,Donald Trump,R
47,Alabama,Mobile,Donald Trump,R
48,Alabama,Monroe,Donald Trump,R
49,Alabama,Montgomery,Kamala Harris,D
50,Alabama,Morgan,Donald Trump,R
51,Alabama,Perry,Kamala Harris,D
52,Alabama,Pickens,Donald Trump,R
53,Alabama,Pike,Donald Trump,R
54,Alabama,Randolph,Donald Trump,R
55,Alabama,Russell,Kamala Harris,D
56,Alabama,St. Clair,Donald Trump,R
57,Alabama,Shelby,Donald Trump,R
58,Alabama,Sumter,Kamala Harris,D
59,Alabama,Talladega,Donald Trump,R
60,Alabama,Tallapoosa,Donald Trump,R
61,Alabama,Tuscaloosa,Donald Trump,R
62,Alabama,Walker,Donald Trump,R
63,Alabama,Washington,Donald Trump,R
64,Alabama,Wilcox,Kamala Harris,D
65,Alabama,Winston,Donald Trump,R
66,Alaska,ED01 Southeast Panhandle,Donald Trump,R
67,Alaska,ED02 Central/North Panhandle,Kamala Harris,D
68,Alaska,ED03 Northeast Panhandle,Kamala Harris,D
69,Alaska,ED04 Greater Juneau,Kamala Harris,D
70,Alaska,ED05 Kodiak/Pr.William Sound,Donald Trump,R
71,Alaska,ED06 South Kenai Peninsula,Donald Trump,R
72,Alaska,ED07 Central Kenai Peninsula,Donald Trump,R
73,Alaska,ED08 North/East Kenai Penin.,Donald Trump,R
74,Alaska,ED09 Far South Anch Borough,Kamala Harris,D
75,Alaska,ED10 S-Central Anch Suburbs,Donald Trump,R
76,Alaska,ED11 SE Anchorage Suburbs,Donald Trump,R
77,Alaska,ED12 S-Central Anch Suburbs,Kamala Harris,D
78,Alaska,ED13 Central Anch Suburbs,Kamala Harris,D
