GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01000","Alabama",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28150828,31044372,34454169,36384630,38978846,42838000,46085821,48777214,51514370,55527314,60350959,64234198,67982455,73004434,76346081,80786743,85393841,89218035,93851877,99772880,103204055,108002948,111894150,115007661,120241006,128606270,136087503,144719039,151942557,157780330,155666922,162068839,167882194,172101458,173720680,179487109,187474744,190871820,197963769,205674190,215151792,230732163,254960435,262235600,276925551
 "01000","Alabama",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",7692073,8165604,8881168,9895908,11061491,12018943,13023880,14769477,16365404,18590566,20392200,21755429,23589283,24290685,25964902,28671735,30913927,32865713,35145372,37820665,40187970,42599249,44986919,48360944,50509352,53174196,55341673,57815324,60629510,65001335,67967465,70349092,72434852,74546045,77544228,82734171,87402488,92160783,95088496,95430389,93709347,96286506,100170356,102513131,104057429,106971757,110357904,112604723,116739019,121697697,126598305,130062657,140614876,150785780,159356296
 "01000","Alabama",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",891802,1097183,1284528,1431192,1681438,2010719,2600494,2849109,3005162,3269441,3808645,4478745,5025149,5553262,6011735,6351758,6707963,6980147,7133439,7451088,8422364,9274900,10256591,11652270,12366364,13120186,14193913,15000399,15677715,15987092,16653014,17749697,19206845,20554051,21812339,23106865,24851163,26763892,28811479,32178778,34676799,37978340,38720356,38861712,39714978,41332844,44321865,44874007,45750966,47526393,50200366,61849575,70283507,64982571,66543602
 "01000","Alabama",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",126860,162404,177160,190217,204439,285820,339582,378818,392113,401949,520727,637060,685544,689530,744575,761378,757545,744576,729237,793945,877058,986554,1127575,1375726,1471488,1568932,1705942,1849487,1893862,1911789,1913390,1919785,2014629,2255903,2460555,2650900,2859751,2874821,3274219,3470095,4074093,4563700,4824128,4743390,4787632,4737805,5979200,5476290,4535150,4450549,4632658,5365914,8181283,9246833,5923059
 "01000","Alabama",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",23101,38047,60183,61990,43475,69924,229369,213921,175031,139576,162943,247322,216147,303203,323225,229887,204828,213790,185826,156229,170697,202033,259100,324125,289085,207727,202038,231564,220241,226268,225086,238118,326649,419003,411239,283563,245300,233133,252595,419432,1094547,1163627,929857,658060,465279,269105,232980,222851,191633,171165,169307,3761816,1409499,79954,83126
 "01000","Alabama",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",741841,896732,1047185,1178985,1433524,1654975,2031543,2256370,2438018,2727916,3124975,3594363,4123458,4560529,4943935,5360493,5745590,6021781,6218376,6500914,7374609,8086313,8869916,9952419,10605791,11343527,12285933,12919348,13563612,13849035,14514538,15591794,16865567,17879145,18940545,20172402,21746112,23655938,25284665,28289251,29508159,32251013,32966371,33460262,34462067,36325934,38109685,39174866,41024183,42904679,45398401,52721845,60692725,55655784,60537417
 "01000","Alabama",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1153840,1365531,1533645,1671998,1895938,2211393,2475742,2705470,3024327,3479915,3949983,4810198,5839737,6540683,7002209,7814507,8463931,8931354,9235559,10255561,11740625,12360049,12738945,12991220,13470365,14492361,15858255,16402312,17544652,18784453,18583576,19904159,20252453,19907565,20884439,22765234,23833852,25794364,28042582,30171163,27280776,27803993,28991482,30726615,29948273,31182508,32794975,33393090,35473784,36450100,38353121,38819931,44062052,46467249,51025653
 "01000","Alabama",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5031864,5050380,5073903,5108468
 "01000","Alabama",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7959,8793,9269,9908,10840,11601,12220,12830,13800,14975,15860,16585,17574,18116,18963,19874,20599,21487,22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33849,34887,35564,35713,36729,38197,38712,39975,41330,43001,45854,50483,51683,54209
 "01000","Alabama",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2236,2367,2539,2795,3089,3313,3539,3952,4326,4849,5270,5578,6020,6188,6600,7255,7782,8234,8753,9399,9972,10518,10975,11642,11986,12482,12880,13349,13881,14757,15342,15801,16213,16639,17219,18261,19126,19910,20349,20226,19695,20110,20816,21184,21392,21890,22485,22838,23573,24455,25302,25848,27842,29718,31195
 "01000","Alabama",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",259,318,367,404,470,554,707,762,794,853,984,1148,1282,1415,1528,1607,1689,1749,1777,1852,2090,2290,2502,2805,2934,3080,3303,3463,3589,3630,3759,3987,4299,4588,4843,5100,5438,5782,6166,6820,7288,7932,8046,8031,8164,8458,9030,9101,9239,9550,10033,12292,13916,12807,13026
 "01000","Alabama",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",37,47,51,54,57,79,92,101,104,105,135,163,175,176,189,193,191,187,182,197,218,244,275,331,349,368,397,427,434,434,432,431,451,504,546,585,626,621,701,735,856,953,1002,980,984,970,1218,1111,916,894,926,1066,1620,1822,1159
 "01000","Alabama",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",7,11,17,18,12,19,62,57,46,36,42,63,55,77,82,58,52,54,46,39,42,50,63,78,69,49,47,53,50,51,51,53,73,94,91,63,54,50,54,89,230,243,193,136,96,55,47,45,39,34,34,748,279,16,16
 "01000","Alabama",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",216,260,299,333,400,456,552,604,645,711,808,922,1052,1162,1257,1356,1446,1509,1549,1616,1830,1997,2164,2396,2517,2663,2859,2983,3105,3144,3276,3502,3775,3991,4206,4452,4759,5110,5411,5996,6202,6736,6851,6914,7085,7433,7765,7945,8284,8622,9073,10478,12017,10969,11850
 "01000","Alabama",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",335,396,439,472,529,610,673,724,800,908,1021,1233,1490,1666,1780,1977,2131,2238,2300,2549,2913,3052,3108,3127,3196,3402,3691,3787,4017,4265,4195,4471,4533,4444,4637,5025,5216,5572,6001,6395,5734,5807,6025,6349,6157,6381,6682,6773,7163,7325,7665,7715,8725,9158,9988
 "01000","Alabama",5,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",8112293,8628530,9403095,10496269,11861577,12960825,14045483,15977583,17715705,20164933,22203571,23708925,25812609,26629404,28581996,31634478,34180201,36335700,38826596,41972545,44619334,47432666,50105140,53808914,56263471,59265224,61719606,64433868,67511279,72164908,75429135,77978535,80308883,82624721,85884349,91540120,96799376,102208900,105583340,106202564,104241969,107113941,109788306,112110406,115358203,118674266,122547294,124983437,129741033,135414877,140825765,145048922,156483752,168072450,178028731
 "01000","Alabama",5,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",6347816,6786634,7298361,8049959,9017810,10044231,10723389,12098401,13500537,15294538,16890020,18332264,19786163,20466314,21828864,23946136,25882503,27444304,29316229,31390146,33112347,35263994,36823951,39239403,40953828,43183005,45579212,47482734,50101304,52742568,55189942,57239267,58650321,60174752,62193093,65590374,69327833,73731431,77268164,79136690,76305703,77297084,78940301,81164516,82337068,85162009,88399367,90621984,94032369,98097145,102552723,105149296,112542592,121680973,129783370
 "01000","Alabama",5,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",811165,902003,1043428,1194990,1359658,1547160,1787330,2049582,2360415,2678920,3018293,3349152,3748783,4031538,4426186,4871777,5346317,5833293,6185321,6686084,7293831,7884574,8452416,9496902,9913284,10378425,10463369,10699811,11068968,11572592,12108428,12689372,13413968,13985987,14903152,16010716,17044495,17403285,18009596,18493401,19024052,19521267,19960545,19197259,19827624,20848639,21599457,22223292,22568167,23478689,24401324,24712638,26802471,27393318,29242490
 "01000","Alabama",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",538937,611116,713490,805581,858143,967534,1165617,1317578,1537725,1723252,1930532,2183956,2406190,2626572,2888748,3112773,3479823,3819185,4077033,4361211,4867004,5253686,5683309,6529290,6775924,7045703,6985401,7100262,7296502,7595583,7981718,8415821,9031453,9510484,10251982,11155986,11910302,12050191,12425799,12747102,13416165,13616653,13880687,13030519,13571628,14477887,15013746,15614329,15751728,16371424,16959991,17019944,18573237,18593079,19815528
 "01000","Alabama",5,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",272228,290887,329938,389409,501515,579626,621713,732004,822690,955668,1087761,1165196,1342593,1404966,1537438,1759004,1866494,2014108,2108288,2324873,2426827,2630888,2769107,2967612,3137360,3332722,3477968,3599549,3772466,3977009,4126710,4273551,4382515,4475503,4651170,4854730,5134193,5353094,5583797,5746299,5607887,5904614,6079858,6166740,6255996,6370752,6585711,6608963,6816439,7107265,7441333,7692694,8229234,8800239,9426962
 "01000","Alabama",5,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",953312,939893,1061306,1251320,1484109,1369434,1534764,1829600,1854753,2191475,2295258,2027509,2277663,2131552,2326946,2816565,2951381,3058103,3325046,3896315,4213156,4284098,4828773,5072609,5396359,5703794,5677025,6251323,6341007,7849748,8130765,8049896,8244594,8463982,8788104,9939030,10427048,11074184,10305580,8572473,8912214,10295590,10887460,11748631,13193511,12663618,12548470,12138161,13140497,13839043,13871718,15186988,17138689,18998159,19002871
 "01000","Alabama",5,CAINC30,220,"...","   Farm proprietors' income ","Thousands of dollars",230494,202523,233649,303142,480477,283697,347365,398797,308164,409078,416923,108385,394994,306554,190206,376724,356891,353016,430890,684512,818208,711136,995567,884346,883108,937798,652381,786951,814007,928277,1108227,811829,1196103,798635,1150366,1596627,1492530,818502,605194,651878,707931,569432,202127,455506,1797471,1380056,1342042,681626,1091477,845958,609976,168999,1211720,2059726,862487
 "01000","Alabama",5,CAINC30,230,"...","   Nonfarm proprietors' income ","Thousands of dollars",722818,737370,827657,948178,1003632,1085737,1187399,1430803,1546589,1782397,1878335,1919124,1882669,1824998,2136740,2439841,2594490,2705087,2894156,3211803,3394948,3572962,3833206,4188263,4513251,4765996,5024644,5464372,5527000,6921471,7022538,7238067,7048491,7665347,7637738,8342403,8934518,10255682,9700386,7920595,8204283,9726158,10685333,11293125,11396040,11283562,11206428,11456535,12049020,12993085,13261742,15017989,15926969,16938433,18140384
 "01001","Autauga, AL",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",69973,77712,88114,100161,114952,124258,131693,150535,162073,188411,228009,250067,261935,280188,302017,337459,366173,390685,424253,465642,503159,531809,575036,613812,653796,713087,756368,809589,866410,925640,981753,1038187,1106194,1151499,1240194,1341934,1440795,1536855,1659407,1771217,1785702,1846880,1913079,1953500,1966036,2036671,2145869,2222448,2290351,2371211,2477876,2655187,2911242,2974989,3202910
 "01001","Autauga, AL",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",56846,61686,69635,79425,91233,96087,97496,113012,120969,141440,173567,186214,186537,194995,207911,235318,255386,275688,304443,334182,353772,373860,402522,426943,457393,499896,521341,560513,597952,645085,691082,730094,769085,804986,863386,924407,991256,1050993,1120437,1167395,1161782,1190938,1224829,1242224,1245216,1286651,1343748,1396086,1435708,1489635,1560991,1605615,1734656,1860826,2029906
 "01001","Autauga, AL",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",5501,6659,7575,8317,9946,12438,16820,18248,19312,20972,24237,28012,32991,37232,41138,43594,46156,47345,47365,51869,60183,66306,73445,83459,86946,93100,101926,108829,115030,120342,128638,138754,152771,166841,182678,202208,225497,250557,273191,311777,334471,368849,391827,390405,403290,423616,464625,470068,493635,516199,537773,668736,769596,706371,726300
 "01001","Autauga, AL",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",924,1039,1035,1100,1209,1952,2826,3074,3199,3196,3902,4690,5211,5436,6017,6042,5864,5864,5789,6430,7102,8296,9078,10818,11520,12126,13094,13960,14379,14569,14906,15356,16543,19491,21611,23491,26934,27279,30041,30932,37006,41957,44832,43347,44268,44194,53083,49839,43374,42959,45783,53768,82343,100245,58244
 "01001","Autauga, AL",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",79,161,201,172,131,234,893,743,628,495,548,792,1321,2233,2353,1388,1628,1388,1367,1083,1442,1678,2030,2447,2123,1538,1822,1645,1626,1578,1799,1879,2566,3494,3589,2496,2259,2116,2264,4413,10349,11248,9636,6747,4866,2730,2343,2339,2003,1865,1801,36241,13528,825,865
 "01001","Autauga, AL",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",4498,5459,6339,7045,8606,10252,13101,14431,15485,17281,19787,22530,26459,29563,32768,36164,38664,40093,40209,44356,51639,56332,62337,70194,73303,79436,87010,93224,99025,104195,111933,121519,133662,143856,157478,176221,196304,221162,240886,276432,287116,315644,337359,340311,354156,376692,409199,417890,448258,471375,490189,578727,673725,605301,667191
 "01001","Autauga, AL",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",7626,9367,10904,12419,13773,15733,17377,19275,21792,25999,30205,35841,42407,47961,52968,58547,64631,67652,72445,79591,89204,91643,99069,103410,109457,120091,133101,140247,153428,160213,162033,169339,184338,179672,194130,215319,224042,235305,265779,292045,289449,287093,296423,320871,317530,326404,337496,356294,361008,365377,379112,380836,406990,407792,446704
