GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "06000","California",8,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250181567,284416652,319356852,342144678,369925812,410321649,443888531,476484468,511613010,557618023,600193593,643623777,666607620,702023479,719014905,741651785,779604724,828147235,876440299,953360541,1022682748,1127550078,1169366357,1187280934,1240604169,1315172209,1387883820,1493216996,1561307156,1588294546,1539818660,1609997470,1713428004,1814763034,1840885251,1955718006,2097049575,2191138011,2295048653,2411055136,2539747399,2769103047,3009556560,3003826087,3166135354
 "06000","California",8,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",69404479,73240891,77022461,84951089,92807739,102003556,110710190,123868089,138500360,158449439,179918679,200343914,217967293,230504423,248576612,276633521,300341727,325312503,357062222,389394208,412097601,441139954,455264425,478229180,486856084,500873842,522995441,556752218,598231427,654906344,713008482,797225593,819535501,833917086,870058350,928147589,972786542,1032660883,1065502778,1052914057,1013750221,1062722172,1133068523,1197397998,1225632783,1289445218,1372734444,1432518253,1509550094,1583352298,1666018453,1713984327,1889715103,1936166325,2017932094
 "06000","California",8,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",7616204,9300701,10695547,11521550,12758371,15117591,18994216,21011565,22306606,24105492,26485686,30784183,36210987,39687570,42375699,44216304,47802875,51353036,53579191,57350771,62814344,69172892,76724918,88635461,93604307,95823749,100343420,105264283,105825193,111725348,117385478,122177543,135684664,146045078,154242369,161451803,169300669,181853277,192795018,218067133,241051110,266907132,268503844,271100586,282002282,301433888,326220108,339042814,335573318,352606285,377125398,551606422,589229908,488467545,505372318
 "06000","California",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1344538,1798562,2143100,2254230,2182905,2665628,3143513,3465291,3837854,3990106,4284655,5295781,5804078,6127652,6560684,6835985,7266556,7909201,8612927,9483960,10688984,12259542,13874663,15694294,16553430,17706248,18696882,19129780,18006050,18374824,19226210,19428921,19350298,20623092,21899053,23161122,24619356,25486467,26462485,27660375,30778109,32907823,34168653,34481584,35327990,35940470,36857434,37136152,38218539,37675371,39075419,44788142,63714480,62820106,50563192
 "06000","California",8,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",451878,724339,916948,810743,674803,982742,2025165,2075536,1555847,1264168,1013674,1633068,1758867,2743492,3005913,2042146,2084903,2179712,1810921,1640036,1636601,2197807,3537920,5579919,5825774,3892321,3199337,3041737,2700477,2633802,2729089,2507562,3467115,7194766,7290038,5216005,4525400,4358565,5036130,7984025,19154032,22179960,17563901,13894286,10729816,6081846,5332548,5311393,5381174,5009188,4975782,106678116,68834999,4790421,6493133
 "06000","California",8,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",5819788,6777800,7635499,8456577,9900663,11469221,13825538,15470738,16912905,18851218,21187357,23855334,28648042,30816426,32809102,35338173,38451416,41264123,43155343,46226775,50488759,54715543,59312335,67361248,71225103,74225180,78447201,83092766,85118666,90716722,95430179,100241060,112867251,118227220,125053278,133074676,140155913,152008245,161296403,182422733,191118969,211819349,216771290,222724716,235944476,259411572,284030126,296595269,291973605,309921726,333074197,400140164,456680429,420857018,448315993
 "06000","California",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",15139365,16875870,18269178,19878427,22211155,25386274,27935497,30045134,33225936,38085124,43777202,53288555,65178572,71952685,78973501,89471824,95743929,99818929,100971597,110873044,125281648,133310931,134618277,135158838,138554514,144954194,156265863,166130734,172383679,186728849,192288788,208146942,214146192,207318770,216303450,225572817,245796609,278702836,303009360,317313356,285017329,280368166,311855637,346264450,333250186,364838900,398095023,419576944,449925241,475096553,496603548,503512298,530611549,579192217,642830942
 "06000","California",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37322360,37650514,37970368,38291358,38636290,38966055,39223210,39424071,39535906,39547996,39503200,39145060,39040616,38965193
 "06000","California",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11950,13150,13785,14587,15877,16788,17581,18418,19590,20542,21483,21877,22664,22990,23556,24596,25864,26979,28901,30529,33175,33915,34047,35191,36969,38737,41454,43070,43391,41660,43138,45509,47794,48076,50619,53817,55863,58214,60984,64219,70098,76882,76941,81255
 "06000","California",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3521,3658,3786,4127,4447,4818,5141,5647,6197,6938,7737,8418,8975,9287,9802,10704,11359,12003,12855,13680,14104,14725,14941,15439,15567,15909,16500,17388,18415,19853,21284,23456,23769,23914,24680,26090,27152,28668,29393,28765,27427,28474,30094,31535,32008,33374,35229,36522,38290,40048,42126,43388,48275,49594,51788
 "06000","California",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",386,464,526,560,611,714,882,958,998,1055,1139,1293,1491,1599,1671,1711,1808,1895,1929,2015,2150,2309,2518,2862,2993,3044,3166,3288,3258,3387,3504,3595,3935,4188,4375,4538,4725,5049,5318,5957,6522,7151,7131,7140,7365,7802,8372,8644,8512,8919,9536,13964,15052,12512,12970
 "06000","California",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",68,90,105,110,105,126,146,158,172,175,184,223,239,247,259,265,275,292,310,333,366,409,455,507,529,562,590,597,554,557,574,572,561,591,621,651,687,708,730,756,833,882,908,908,923,930,946,947,969,953,988,1134,1628,1609,1298
 "06000","California",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",23,36,45,39,32,46,94,95,70,55,44,69,72,111,119,79,79,80,65,58,56,73,116,180,186,124,101,95,83,80,81,74,101,206,207,147,126,121,139,218,518,594,466,366,280,157,137,135,136,127,126,2700,1758,123,167
 "06000","California",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",295,338,375,411,474,542,642,705,757,825,911,1002,1180,1242,1294,1367,1454,1523,1554,1624,1728,1826,1947,2175,2277,2358,2475,2595,2620,2750,2849,2949,3273,3390,3547,3741,3912,4220,4450,4984,5171,5675,5757,5866,6162,6714,7289,7562,7406,7839,8422,10129,11666,10780,11506
 "06000","California",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",768,843,898,966,1064,1199,1297,1370,1487,1668,1882,2239,2684,2899,3114,3462,3621,3683,3635,3895,4288,4450,4418,4364,4430,4604,4930,5189,5306,5661,5740,6124,6211,5945,6136,6341,6860,7737,8359,8669,7711,7512,8283,9119,8703,9443,10216,10697,11412,12017,12557,12746,13555,14836,16498
 "06000","California",8,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",74329117,78352156,82582961,91402059,100883935,111116918,120292875,134725991,151080844,173276679,197519971,219599858,240773877,255203284,275917118,308450044,335469692,363846231,399341120,437085973,463137155,495459943,511713803,536789079,546362525,562529938,586509339,622383828,668027313,730064889,794444128,887549245,914764493,932204242,973563433,1041552904,1091397214,1154689337,1189726778,1179658212,1136303217,1185996970,1249077532,1317973597,1366471583,1438253481,1530524415,1597207757,1682986953,1767234742,1860235912,1911361862,2105673686,2168847969,2262864510
 "06000","California",8,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",57931868,61258951,64012638,69888132,76906601,84377932,90887662,100699011,112641527,129104377,146995290,164081481,182104622,192877486,206480887,229161263,249824188,269320910,294010672,319101860,341962088,366832688,371863838,381841463,384081757,395288745,415033441,440424657,475281712,517592617,565624705,638455163,648050300,645996513,666057806,705728279,742516778,791450009,834657501,843122831,798914095,813699083,847516542,903207287,933893533,992025352,1067705274,1117915535,1190747913,1260482440,1335483706,1378558376,1538975549,1608469112,1676180808
 "06000","California",8,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",7505723,8066667,8937370,10331016,11426129,12779588,14654605,16395991,19328642,22354500,25903939,29095825,33196498,36316117,40604826,45512490,50124302,54940491,59476047,65256757,72208158,78292053,82359152,89869114,92598247,93748470,92804263,94374087,98479746,106769081,115148512,128231206,138764200,147832390,161203066,176259238,184801548,189223556,195466736,198972688,190464048,195433240,210218402,211543436,228039293,237704959,250486401,260274929,270049267,280357371,288836160,297125805,313223679,320945491,337363422
 "06000","California",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",5124594,5590881,6220464,7120582,7367764,8209875,9795823,10686194,12761476,14503742,16607252,18861393,21148760,23412067,26232334,28602111,31870285,35261171,38342211,41636163,47054499,51502593,54841168,61345111,63779634,64049628,62530099,63150705,65006730,70787088,76265541,85314993,93184964,100379735,110292146,119848217,126434484,130438355,136813498,140554059,134910783,139902499,151680713,150021671,164322041,170573660,179203693,185883826,192214297,199085583,203429527,210153912,219890475,220734110,230395131
 "06000","California",8,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236,47452655,50910920,56411021,58367064,58785201,58653238,58418629,55553265,55530741,58537689,61521765,63717252,67131299,71282708,74391103,77834970,81271788,85406633,86971893,93333204,100211381,106968291
 "06000","California",8,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",8891526,9026538,9632953,11182911,12551205,13959398,14750608,17630989,19110675,21817802,24620742,26422552,25472757,26009681,28831405,33776291,35521202,39584830,45854401,52727356,48966909,50335202,57490813,65078502,69682521,73492723,78671635,87585084,94265855,105703191,113670911,120862876,127949993,138375339,146302561,159565387,164078888,174015772,159602541,137562693,146925074,176864647,191342588,203222874,204538757,208523170,212332740,219017293,222189773,226394931,235916046,235677681,253474458,239433366,249320280
 "06000","California",8,CAINC30,220,"...","   Farm proprietors' income ","Thousands of dollars",946342,911077,889752,1305892,1947407,2413061,1861314,1893964,1924943,1953678,2870975,3797123,2610364,2568537,2260030,2872802,2854119,3403689,4559264,4623519,4306193,4195229,3282899,3916390,4607048,4325651,3544818,4070824,4486374,3719014,3769374,3601763,3174570,3988298,5111847,6882286,6600291,4701601,7540919,5326801,6070023,6972515,9975049,11249438,13707508,16238308,14921734,12219029,11967825,9124080,7954772,9446969,9082970,8635786,3861889
