GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "08000","Colorado",7,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",8438834,9540190,10759666,12176083,13923113,15609172,17249727,18981259,21174240,24413528,27973924,32052580,36842992,40468901,43691655,47578744,50442397,52397050,54179277,57482944,61922088,65631642,69632902,75511809,81698776,87838892,95469000,102974939,110721540,122577930,131712758,146560771,154066732,154492308,157405310,163568499,174247768,188197016,200611172,210065766,200170034,206053394,223873871,236032969,247816736,268453081,279696008,283678694,303366730,328112736,351476022,374262200,416727071,447854445,470605937
 "08000","Colorado",7,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",6319347,7048999,7953684,9071714,10325663,11448791,12409009,13723381,15395197,17851778,20517722,23148713,26139617,28336218,30209078,32964239,34740521,35981056,37323229,39536332,41757446,44471039,47347770,51988624,56443962,60298971,64704157,70087567,76110550,85742818,94461672,105834960,110909593,110757732,112135450,116300854,123169006,131311656,137572886,140363006,132423557,136003753,145993615,154162974,165106467,178183052,182014391,182664004,196964110,212925995,227286848,233642746,259761367,286384870,300526024
 "08000","Colorado",7,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",605287,730272,849737,942682,1107711,1283358,1610353,1761801,1868536,2032996,2284085,2652599,3113968,3528465,3903090,4113336,4305309,4620876,4980979,5249013,5849564,6268630,6963233,7819204,8382087,8892524,9974862,10334527,10500659,10718613,11403493,12048738,13354731,14841364,15583267,16241068,17548551,18852955,20192512,23523755,26130144,29592739,30550629,30700824,31864246,34337296,37389319,38935025,40039668,43477531,45763657,61589518,69128389,64464845,62982143
 "08000","Colorado",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",75808,109520,131161,139393,135882,161915,190225,211734,203893,197061,213896,284667,322647,329219,367826,383893,382954,425288,434270,495180,556961,608791,700583,817449,874611,943040,1027399,1092614,1119281,1081891,1083795,1070512,1086944,1224020,1357482,1476639,1634457,1655064,1730678,1935587,2406856,2706399,2810900,2877989,2936826,2927396,2966268,2961199,2919574,2781412,2931149,3414628,5568251,9858265,3959416
 "08000","Colorado",7,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",9933,17075,24746,24418,23395,40500,104012,105642,104695,73700,64918,106059,122595,207962,278258,170452,183110,226179,235301,189781,160292,163166,199215,298023,281756,201417,184836,194085,166925,150852,156068,152566,310872,697981,710540,418033,323547,298285,314491,519796,1758668,2219530,1818214,1267058,941656,523804,525793,520031,441427,383658,372680,7474430,4666928,386545,619338
 "08000","Colorado",7,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",519546,603677,693830,778871,948434,1080943,1316116,1444425,1559948,1762235,2005271,2261873,2668726,2991284,3257006,3558991,3739245,3969409,4311408,4564052,5132311,5496673,6063435,6703732,7225720,7748067,8762627,9047828,9214453,9485870,10163630,10825660,11956915,12919363,13515245,14346396,15590547,16899606,18147343,21068372,21964620,24666810,25921515,26555777,27985764,30886096,33897258,35453795,36678667,40312461,42459828,50700460,58893210,54220035,58403389
 "08000","Colorado",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1514200,1760919,1956245,2161687,2489739,2877023,3230365,3496077,3910507,4528754,5172117,6251268,7589407,8604218,9579487,10501169,11396567,11795118,11875069,12697599,14315078,14891973,15321899,15703981,16872727,18647397,20789981,22552845,24110331,26116499,25847593,28677073,29802408,28893212,29686593,31026577,33530211,38032405,42845774,46179005,41616333,40456902,47329627,51169171,50846023,55932733,60292298,62079665,66362952,71709210,78425517,79029936,87837315,97004730,107097770
 "08000","Colorado",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5785219,5811596,5841039,5877610
 "08000","Colorado",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9818,11019,12372,13218,13943,15009,15720,16185,16617,17620,18903,19843,20558,21600,22608,23586,24948,26269,27554,29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43732,45490,47082,50244,51394,51306,54171,57794,61276,64693,71706,76674,80068
 "08000","Colorado",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2918,3170,3453,3773,4137,4505,4798,5214,5710,6452,7201,7958,8778,9255,9640,10399,10827,11114,11447,12119,12747,13445,13979,14871,15619,16191,16909,17880,18941,20828,22352,24460,25060,24665,24761,25421,26592,27818,28638,28706,26633,26947,28519,29711,31368,33349,33445,33036,35171,37505,39625,40386,44697,49030,51131
