GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "13000","Georgia",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",14980053,16310397,18009654,20206129,22848185,25067819,27084317,30146592,33332134,37818959,42320346,47202071,53425141,57837878,63391355,71797631,78653685,85815039,92176403,100730745,108528867,116127930,121970784,131894417,140056533,150802631,162763562,175804576,187175782,205294013,218718588,236616760,248742489,255977173,265622803,280462397,297084940,316548828,331363663,335257508,329158884,337420548,360456247,369040241,374124564,398585712,423242013,441039056,467592473,491087953,516504169,552316257,605211514,625219288,660447470
 "13000","Georgia",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",12015317,12807263,14016781,15760567,17734208,18986431,19882901,22380968,24967858,28462648,31693403,34331771,38190410,40788436,44650675,51015079,56089786,61529093,66695714,72515764,76699268,81646186,84845203,92593458,98278542,105361566,113177642,122415270,130839189,145407559,157865407,170200576,178281462,182136672,189027376,199773914,209646945,221066660,226949038,221837858,215781053,219609714,231853935,238520476,243353255,258370583,275186326,287123685,303093809,317405905,332906154,334813414,365816742,391383420,411511724
 "13000","Georgia",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",1062758,1299297,1546218,1740503,2010447,2511394,3327137,3561604,3694303,4013417,4571025,5480873,6243024,6816877,7397864,7900722,8471630,9026022,9467029,10218144,11354148,12630666,14625756,16323216,17460183,18822579,20343533,21654939,22157794,22661291,23908479,25923672,28498742,32250431,32841311,35392998,38622113,41480365,44654074,51426733,56530664,61975342,64914062,64291108,66624400,69886141,73000144,75687789,78294235,82397110,87271821,119776609,132749216,119036190,121991702
 "13000","Georgia",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",143719,192677,239474,263475,280295,391272,474218,521878,497661,492962,592761,761471,848633,857793,921323,940264,945108,1000224,1006944,1147371,1287628,1475263,1753259,2127202,2274073,2476163,2652815,2880428,2869995,2938899,2906944,2932053,3099493,3398471,3935497,4497112,5007657,5356841,5517779,6226248,7618479,8592178,9118183,9340105,9615310,9454335,9266353,9207906,8979715,8755792,8985831,10780383,16226963,19499811,10791006
 "13000","Georgia",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",17558,36731,49421,46031,41452,93859,371746,276989,181697,134075,148169,264315,219492,340251,302631,206803,221951,239098,246735,225722,251088,323560,493008,657700,470934,302282,294870,311543,292525,281851,299263,336276,629984,1039811,1037830,672892,586796,612715,692120,1259715,3432897,3379939,2540113,1938180,1327446,558029,449658,383946,367746,341809,339124,15660667,6237498,164053,365939
 "13000","Georgia",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",901481,1069889,1257323,1430997,1688700,2026263,2481173,2762737,3014945,3386380,3830095,4455087,5174899,5618833,6173910,6753655,7304571,7786700,8213350,8845051,9815432,10831843,12379489,13538314,14715176,16044134,17395848,18462968,18995274,19440541,20702272,22655343,24769265,27812149,27867984,30222994,33027660,35510809,38444175,43940770,45479288,50003225,53255766,53012823,55681644,59873777,63284133,66095937,68946774,73299509,77946866,93335559,110284755,99372326,110834757
 "13000","Georgia",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1901978,2203837,2446655,2705059,3103530,3569994,3874279,4204020,4669973,5342894,6055918,7389427,8991707,10232565,11342816,12881830,14092269,15259924,16013660,17996837,20475451,21851078,22499825,22977743,24317808,26618486,29242387,31734367,34178799,37225163,36944702,40492512,41962285,41590070,43754116,45295485,48815882,54001803,59760551,61992917,56847167,55835492,63688250,66228657,64146909,70328988,75055543,78227582,86204429,91284938,96326194,97726234,106645556,114799678,126944044
 "13000","Georgia",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712576,9805488,9906963,9980513,10077700,10191467,10318225,10428498,10532566,10642947,10732390,10790385,10913150,11029227
 "13000","Georgia",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8604,9594,10237,11066,12305,13191,14104,14847,15948,16928,17831,18333,19347,20070,21070,22210,23437,24356,26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34741,36761,37251,37486,39551,41529,42744,44838,46626,48530,51463,56088,57290,59882
 "13000","Georgia",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2640,2781,2976,3279,3614,3801,3931,4366,4791,5384,5879,6258,6858,7219,7795,8743,9407,10112,10743,11481,11963,12537,12753,13582,14084,14721,15444,16320,17025,18491,19620,20687,21282,21407,21922,22781,23487,24145,24273,23339,22428,22611,23645,24076,24383,25638,27002,27827,29064,30136,31280,31197,33902,35863,37311
 "13000","Georgia",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",234,282,328,362,410,503,658,695,709,759,848,999,1121,1207,1291,1354,1421,1483,1525,1618,1771,1939,2198,2394,2502,2630,2776,2887,2883,2882,2971,3151,3402,3790,3809,4036,4327,4530,4776,5411,5876,6381,6620,6489,6675,6935,7163,7335,7508,7823,8200,11160,12303,10908,11061
 "13000","Georgia",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",32,42,51,55,57,78,94,102,95,93,110,139,152,152,161,161,159,164,162,182,201,227,264,312,326,346,362,384,373,374,361,356,370,399,456,513,561,585,590,655,792,885,930,943,963,938,909,892,861,831,844,1004,1504,1787,978
 "13000","Georgia",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",4,8,10,10,8,19,73,54,35,25,27,48,39,60,53,35,37,39,40,36,39,50,74,96,67,42,40,42,38,36,37,41,75,122,120,77,66,67,74,133,357,348,259,196,133,55,44,37,35,32,32,1459,578,15,33
 "13000","Georgia",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",198,232,267,298,344,406,490,539,578,641,710,812,929,995,1078,1157,1225,1280,1323,1400,1531,1663,1861,1986,2109,2242,2374,2461,2472,2472,2573,2754,2957,3269,3232,3446,3700,3878,4112,4623,4727,5148,5431,5351,5579,5941,6210,6406,6611,6959,7324,8697,10221,9106,10049
 "13000","Georgia",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",418,479,519,563,632,715,766,820,896,1011,1123,1347,1615,1811,1980,2208,2363,2508,2579,2849,3194,3355,3382,3371,3485,3719,3990,4231,4447,4734,4592,4922,5009,4888,5074,5165,5469,5898,6392,6522,5909,5749,6495,6685,6427,6979,7365,7581,8266,8667,9051,9106,9883,10519,11510
 "13000","Georgia",5,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",12894885,13722245,15046613,16960015,19249189,20683625,21620361,24415451,27263028,31100766,34773803,37748741,42145086,45137168,49563255,56781586,62619633,68831974,74539811,81265732,85961457,91455190,95155923,103731208,110172375,118268706,127124586,137328985,146750084,162831621,176615972,190314824,199208762,203554473,211086260,223651784,234482171,247326583,253924832,249827347,243234640,247566378,257862260,265590679,275108236,291697444,310165998,323563225,340940643,357333989,374722515,377558904,412911411,442699026,465504763
 "13000","Georgia",5,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",10179697,10894638,11831653,13265573,14956575,16269612,16833181,18910497,21133599,23908834,26738197,29713193,32985666,35318034,38655395,43820026,48422545,52995360,57684907,62281772,65535589,69689957,71807972,77050633,82072740,88049145,95111530,102606642,110651854,121166254,130922882,141824901,145820293,146636066,150830629,158370136,167394615,177139861,186679631,188024383,178947092,181000754,187605059,195340698,200732838,212148432,224266620,235030059,246806915,257941965,270691618,274928204,302391650,333274362,350827563
 "13000","Georgia",5,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",1262106,1371882,1564108,1808378,2033535,2245670,2573655,2972909,3478995,3961597,4533656,5118951,5763974,6401659,7153839,8109215,9118780,10233986,10977617,12076974,13182001,14248451,15124136,17171027,18145713,19166990,19895093,20930402,21684411,23881742,25387015,27087341,28677046,30581840,32741475,35178451,36998514,39056745,40151088,40823338,42377317,42541207,44249073,44785140,48241614,50197024,52323924,53121209,54684398,57612483,59115289,59677859,64432269,66473917,70965133
 "13000","Georgia",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",880738,966834,1101249,1253321,1325109,1451423,1750395,1989903,2365075,2657650,3023633,3463459,3820202,4302247,4773668,5274897,5990248,6763820,7264147,7935126,8821781,9571526,10238998,11904001,12552657,13142164,13467236,14042935,14356561,15873415,16784275,17879800,19082590,20825145,22694919,23937837,25411759,26916187,27788726,27955050,29881700,29799887,31004074,31038300,33995210,35332626,36726543,37039975,38054736,40186638,40818183,41070866,44078133,44188974,47211196
 "13000","Georgia",5,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",381368,405048,462859,555057,708426,794247,823260,983006,1113920,1303947,1510023,1655492,1943772,2099412,2380171,2834318,3128532,3470166,3713470,4141848,4360220,4676925,4885138,5267026,5593056,6024826,6427857,6887467,7327850,8008327,8602740,9207541,9594456,9756695,10046556,11240614,11586755,12140558,12362362,12868288,12495617,12741320,13244999,13746840,14246404,14864398,15597381,16081234,16629662,17425845,18297106,18606993,20354136,22284943,23753937
 "13000","Georgia",5,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",1453082,1455725,1650852,1886064,2259079,2168343,2213525,2532045,2650434,3230335,3501950,2916597,3395446,3417475,3754021,4852345,5078308,5602628,5877287,6906986,7243867,7516782,8223815,9509548,9953922,11052571,12117963,13791941,14413819,17783625,20306075,21402582,24711423,26336567,27514156,30103197,30089042,31129977,27094113,20979626,21910231,24024417,26008128,25464841,26133784,29351988,33575454,35411957,39449330,41779541,44915608,42952841,46087492,42950747,43712067
 "13000","Georgia",5,CAINC30,220,"...","   Farm proprietors' income ","Thousands of dollars",336991,309322,371893,388698,678296,537405,482984,465005,194814,406402,427550,-129789,362585,508349,303874,779010,602862,652013,711447,952081,1146825,1022756,1342202,1430199,1229575,1693445,1499375,1593586,1519363,1502667,1680411,1565235,1863584,1312560,1749187,1811146,2073103,1244607,1441623,1721499,1581677,1038402,1307245,1976285,2234048,1927585,2231091,1518881,1981618,1363954,1519189,817722,1372639,2904478,1107345
