GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "17000","Illinois",3,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115574101,125258218,138770536,146908425,153072750,168502732,177117004,186323024,196407522,212484844,226699892,240791660,246145686,265619959,275147851,289797793,307441781,326997896,345582150,366594082,382605269,411220857,427182371,432381648,440480118,457834274,475646220,506021647,535102563,551159732,525793939,540880933,568230348,593814193,605681569,629464961,657080243,664686807,685632726,722686574,741904745,787687581,846012997,862729052,906647565
 "17000","Illinois",3,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",38330273,40110882,42659136,46152214,50987392,55016330,58757602,63968820,70819433,78452753,85715587,89097094,95696016,97429200,100540303,111753816,118360735,125532513,135156575,146950364,155985339,165626629,168159016,182289114,188979605,199106596,208654061,221772574,235388915,250199403,266509461,285701243,298247528,303480938,309004559,321481009,329702323,348465200,363173284,366653569,345269271,354767946,375986961,392181207,403560357,415116721,429697357,434824215,445629210,467280071,481271532,481223841,521361509,546665292,567666010
 "17000","Illinois",3,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",3236192,3837259,4590286,5167158,6146906,7008493,8984004,9927204,10384338,11047870,12032364,14609829,16781548,18426132,19724878,20091318,20964862,21727199,22175204,22953215,24385048,26622388,28684002,32823850,34423910,35676323,38054198,40024144,40767747,41558559,42210110,44889486,48436383,52099201,54297936,56258746,61767044,62812220,69351007,76285498,85706689,93254105,89269901,89370409,93200584,94750203,101085986,101771293,105013521,108103536,112526551,156344821,172206458,149085728,155153030
 "17000","Illinois",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",337456,468247,686738,791069,974585,1104719,1333119,1432934,1435164,1370864,1448701,1724787,1981967,2054195,2206917,2301622,2419038,2507833,2495517,2566857,2698789,3039064,3435068,3764446,3996608,4229484,4458445,4766585,4695243,4762745,4524228,4493472,4615255,4984391,5380730,6181138,7233309,7716159,7524457,8061008,9410158,10116495,10617937,10906328,11161215,11292917,12925720,12283414,12127977,11947867,12444946,14298725,21489739,25397769,17380712
 "17000","Illinois",3,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",101850,197292,269068,278696,186544,273733,908523,1113395,1017393,765153,719747,1440515,1562477,2023192,2235820,1062000,1009388,946917,848817,737166,773353,957096,1382508,1978018,1838410,1202992,1181462,1319134,1194565,1099206,1175383,1229915,1913426,3037367,3022020,2164798,1822941,1668354,1866085,2751180,6991231,7201146,5455140,4192880,3542491,2022896,1810936,1818582,1852484,1667191,1693920,19981696,15268914,1465360,1967460
 "17000","Illinois",3,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",2796886,3171720,3634480,4097393,4985777,5630041,6742362,7380875,7931781,8911853,9863916,11444527,13237104,14348745,15282141,16727696,17536436,18272449,18830870,19649192,20912906,22626228,23866426,27081386,28588892,30243847,32414291,33938425,34877939,35696608,36510499,39166099,41907702,44077443,45895186,47912810,52710794,53427707,59960465,65473310,69305300,75936464,73196824,74271201,78496878,81434390,86349330,87669297,91033060,94488478,98387685,122064400,135447805,122222599,135804858
 "17000","Illinois",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",6918059,7576130,8067948,8710550,9833359,11191531,12124652,12936248,14255896,15841045,17826150,21551295,26292972,31053093,32807569,36657598,37791407,39063312,39075743,42581265,46329505,48542643,49302668,50506995,51744336,55014874,60733522,65201178,69425488,74836120,73885698,80630128,80498460,76801509,77177623,80094519,84176853,94744227,102578272,108220665,94817979,92858882,102973486,112262577,108920628,119598037,126296900,128091299,134989995,147302967,148106662,150118919,152445030,166978032,183828525
 "17000","Illinois",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12845511,12892740,12928106,12960987,12970348,12964764,12946698,12924504,12888646,12850150,12790357,12690341,12582515,12549689
 "17000","Illinois",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10118,10954,12127,12860,13417,14765,15537,16362,17242,18655,19869,21024,21276,22714,23299,24327,25602,27020,28360,29873,30958,33072,34206,34520,35081,36366,37720,40021,42148,43238,41088,42107,44074,45932,46731,48531,50682,51340,53049,56072,57735,61584,66666,68566,72245
 "17000","Illinois",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3472,3606,3807,4099,4528,4880,5197,5631,6209,6861,7504,7792,8363,8529,8813,9793,10383,11024,11865,12901,13671,14461,14535,15588,16002,16714,17376,18325,19317,20388,21564,22977,23882,24229,24610,25535,26146,27560,28606,28764,26981,27618,29163,30336,31137,32005,33143,33586,34479,36255,37453,37624,41083,43446,45233
