GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419774,25869273,29478563,31284854,33757954,37857802,41242977,44475398,48100244,52775252,56824272,60257802,62355575,65921297,67316262,69503792,73335478,78731612,84945687,92288690,98642655,108236847,112811520,115401544,122017588,129282291,137739425,147668004,148546895,146609596,137983604,146752367,156467073,167428549,166542339,173769675,187042532,194223700,202337241,210648610,221785219,239165288,257606430,264973116,278760587
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",5223724,5604717,5948746,6784113,7637758,8504816,9415873,10874084,12703184,14905911,17254866,19599284,21746475,22665351,24331207,27351944,29910480,32533795,35911370,39502122,41403167,43948304,45345058,48167019,49138411,50540221,52970822,56909991,62429036,67932844,73392684,80784772,84235732,86329551,91350939,97348136,101990594,107764919,105998139,100018205,93931568,100466288,106620279,115424525,115539413,117402164,125446542,129245192,134461659,139202955,145628758,148747673,163965872,170498821,176527953
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",368618,467248,569248,624633,709858,874651,1159372,1277006,1338471,1451553,1611912,1870805,2232977,2528059,2720816,2857800,3077233,3319006,3455496,3704408,4047955,4425483,4935332,5664037,6023022,6159108,6480575,6816290,6945843,7203931,7569634,8136427,9020297,9784459,10321338,10836234,11432136,12280403,12957512,14965969,16636721,18397656,18534686,18562604,19090882,20290413,21663583,22420275,22460610,23632861,25222565,38349113,40224618,32710107,33851519
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",32874,48159,68804,71331,65792,87719,111439,130441,143831,144695,156357,194433,220395,243308,267126,265725,265079,280421,301918,348525,406795,489441,588633,702634,777838,849386,916776,952612,899842,912134,940091,973552,975786,1067716,1158085,1224233,1319172,1354836,1399364,1447613,1667834,1789818,1873452,1911479,1973017,2042057,2079803,2059446,2047941,1989042,2045518,2371048,3562359,3671809,2601060
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",24304,47504,60675,46961,37882,64142,154434,129747,83294,66747,48117,78398,91261,182404,196404,107754,108572,113310,89998,83807,85375,119008,209762,347613,364008,226349,178566,151128,122930,113965,124369,156300,222099,508159,472810,324450,267813,255084,288503,574794,1519696,1744005,1282986,971137,735114,399178,326019,316831,322436,297114,282386,8420781,5035086,296979,398485
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",311440,371585,439769,506341,606184,722790,893499,1016818,1111346,1240111,1407438,1597974,1921321,2102347,2257286,2484321,2703582,2925275,3063580,3272076,3555785,3817034,4136937,4613790,4881176,5083373,5385233,5712550,5923071,6177832,6505174,7006575,7822412,8208584,8690443,9287551,9845151,10670483,11269645,12943562,13449191,14863833,15378248,15679988,16382751,17849178,19257761,20043998,20090233,21346705,22894661,27557284,31627173,28741319,30851974
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1044539,1196670,1322181,1466078,1671803,1949009,2188409,2382806,2645497,3077511,3552996,4399184,5499111,6091444,6705931,7648058,8255264,8622597,8733378,9568722,11373150,11884015,12075185,12090241,12154829,12804463,13884081,15005331,15570808,17151915,17680337,19315648,19555491,19287534,20345311,21097921,24316695,27622682,29591244,31625422,27415315,27888423,31312108,33441420,31912044,36077098,39932407,42558233,45414972,47812794,50933896,52068502,53415940,61764188,68381115
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016751,3052105,3082183,3110324,3133194,3157254,3174233,3185766,3188828,3185685,3185734,3160611,3150372,3135755
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13279,14704,15291,16161,17829,18989,19954,21083,22620,23836,24910,25423,26400,26579,27080,28166,29778,31354,33279,35030,37918,39097,39681,41653,43948,46849,50360,50670,49571,46192,48646,51265,54321,53545,55461,59242,61188,63513,66058,69619,75074,81505,84109,88897
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3794,3912,4008,4414,4752,5096,5456,6134,7010,8044,9120,10061,10847,11078,11648,12881,13771,14596,15740,16931,17368,18168,18488,19290,19402,19692,20345,21524,23043,24496,26063,28301,29193,29684,31184,33092,34690,36751,36157,33817,31445,33303,34933,37449,37147,37470,39733,40717,42207,43653,45713,46692,51878,54120,56295
