GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "23000","Maine",1,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589125,9655334,10638496,11562933,12470517,13760851,14877337,16108071,17414634,19256847,20984163,21860806,22261821,23295062,24056352,25036601,26123764,27577620,29185420,31264394,32675391,35091410,37054994,38290695,40162852,42164527,43103488,45226022,46979294,49175838,49337036,50486968,52539787,53227299,53240177,54984552,57356461,59286784,61740123,64463181,67852844,74089112,81589112,85707994,90868170
 "23000","Maine",1,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",2402115,2596449,2738823,2991840,3347143,3645350,3779052,4421933,4785840,5306333,5863070,6439054,6881923,7271094,7866441,8717102,9491818,10366417,11434000,12683157,13680503,14086282,14009927,14651318,15117295,15719081,16156990,16954036,17944645,19443169,20956058,22547598,23877837,24859855,25847985,27190958,27655554,29033134,29558947,29922821,29680229,30673684,31437738,31899425,31828390,32849044,34148057,35062175,36435546,38003649,39807051,41470022,45805418,48985191,51726717
 "23000","Maine",1,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",311791,370622,438450,490297,583531,703122,899099,977287,1040922,1116535,1261953,1475205,1680987,1842667,1992081,2101166,2222535,2306435,2359652,2506494,2700357,3013892,3470358,3832446,4041518,4229249,4461107,4772329,4993358,5140846,5291388,5621960,6055836,6461024,7029261,7489176,8143272,8339163,8948568,10324038,11209371,11331429,11817182,11752985,11996501,12340648,12845366,13193154,13678330,14454393,15224913,19495778,21241815,20666965,21060667
 "23000","Maine",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",26024,42194,48404,55419,61595,87295,119618,120458,117070,127733,151264,195375,210301,210440,223367,229776,242937,249078,242040,254033,279667,325433,368103,411290,432895,451985,493800,518469,548960,561540,565752,582371,553990,558297,619103,641299,701132,723369,844726,898434,1068930,1181355,1191207,1123373,1088258,1041156,988697,949839,931119,928455,967599,1077708,1573366,2752329,1654915
 "23000","Maine",1,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",13399,19971,36060,35306,27621,38521,87095,84584,84840,58149,59548,76272,76277,90943,97503,74469,75403,67038,59917,58860,73428,123236,217713,251166,194944,143862,120845,123432,110974,93878,91229,85916,112111,156190,166446,137147,126201,116648,125473,180960,405701,420323,361379,302863,241024,156362,130851,115116,105023,94107,91453,1526278,833384,95731,122416
 "23000","Maine",1,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",272368,308457,353986,399572,494315,577306,692386,772245,839012,930653,1051141,1203558,1394409,1541284,1671211,1796921,1904195,1990319,2057695,2193601,2347262,2565223,2884542,3169990,3413679,3633402,3846462,4130428,4333424,4485428,4634407,4953673,5389735,5746537,6243712,6710730,7315939,7499146,7978369,9244644,9734740,9729751,10264596,10326749,10667219,11143130,11725818,12128199,12642188,13431831,14165861,16891792,18835065,17818905,19283336
 "23000","Maine",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",522050,589996,645410,705585,776016,880785,974157,1047753,1180846,1317646,1464102,1741075,2075586,2449172,2611995,2942583,3162984,3435219,3620982,4067196,4603303,4760632,4781536,4811298,4897539,5088271,5505667,5851255,6247417,6680379,6427945,6921852,7121321,6969816,7285606,7484393,7304662,7853725,8471779,8928979,8447436,8481855,9284867,9574889,9415286,9794860,10363038,11031455,11626247,12005139,12820880,13123312,14541879,16055838,18080786
 "23000","Maine",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327961,1330029,1330899,1332596,1336530,1335653,1340177,1344851,1350525,1357487,1364517,1378787,1389338,1395722
 "23000","Maine",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7635,8568,9389,10173,10893,11908,12793,13766,14701,15996,17201,17748,17995,18809,19364,20148,21009,22079,23260,24830,25793,27478,28821,29546,30740,32096,32684,34168,35402,36960,37107,38018,39503,39993,39952,41140,42943,44238,45909,47732,49984,54297,59175,61690,65105
 "23000","Maine",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2421,2605,2697,2891,3199,3439,3521,4057,4330,4757,5212,5714,6074,6397,6872,7543,8162,8859,9652,10536,11214,11436,11325,11830,12169,12650,12993,13573,14301,15442,16542,17656,18572,19183,19784,20698,20970,21935,22274,22490,22323,23098,23637,23968,23885,24578,25567,26162,27093,28140,29324,30392,33222,35258,37061
 "23000","Maine",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",314,372,432,474,558,663,838,897,942,1001,1122,1309,1484,1621,1740,1818,1911,1971,1992,2082,2213,2447,2805,3094,3253,3403,3588,3821,3979,4083,4177,4402,4710,4986,5380,5701,6175,6300,6743,7759,8431,8533,8885,8831,9002,9233,9617,9844,10171,10703,11216,14288,15406,14875,15089
 "23000","Maine",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",26,42,48,54,59,82,111,111,106,115,134,173,186,185,195,199,209,213,204,211,229,264,298,332,348,364,397,415,437,446,447,456,431,431,474,488,532,547,637,675,804,890,896,844,817,779,740,709,692,687,713,790,1141,1981,1186
 "23000","Maine",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",14,20,36,34,26,36,81,78,77,52,53,68,67,80,85,64,65,57,51,49,60,100,176,203,157,116,97,99,88,75,72,67,87,121,127,104,96,88,95,136,305,317,272,228,181,117,98,86,78,70,67,1119,604,69,88
 "23000","Maine",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",275,309,349,386,472,545,645,709,759,834,934,1068,1231,1356,1460,1555,1637,1701,1737,1822,1924,2083,2332,2560,2748,2924,3093,3307,3454,3562,3658,3879,4192,4434,4779,5108,5547,5666,6012,6948,7322,7327,7718,7759,8005,8337,8779,9050,9400,9946,10435,12379,13661,12825,13816
 "23000","Maine",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",526,592,635,682,742,831,908,961,1068,1181,1302,1545,1832,2155,2282,2546,2720,2936,3057,3379,3773,3865,3865,3885,3942,4095,4428,4685,4979,5306,5074,5420,5539,5378,5576,5697,5539,5934,6384,6711,6353,6387,6981,7194,7065,7329,7759,8231,8645,8889,9445,9618,10547,11556,12954
 "23000","Maine",1,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",2607894,2810078,2969143,3255441,3661270,3990858,4157357,4868702,5273194,5862016,6487721,7121544,7700701,8148360,8809468,9786303,10628148,11570257,12730956,14153301,15258172,15803548,15724966,16424299,16941590,17598285,18046764,18855746,19898487,21468191,23055161,24661701,26114648,27173257,28269514,29745048,30307083,31850930,32534124,33019307,32715979,33774756,34151398,34678287,35138627,36191629,37656990,38677005,40203040,41990903,43951157,45817929,50458502,54150106,57217923
 "23000","Maine",1,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",2013901,2167074,2261667,2470204,2713032,2930488,3109460,3554338,3858409,4296801,4747655,5248237,5672333,6064021,6463254,7079065,7570722,8276590,9183872,10182869,10946220,11362202,11279318,11683666,12012169,12495277,12990016,13512341,14363888,15306205,16338775,17349676,18234742,18895759,19675447,20688183,21003578,22061526,23021144,23763754,23055470,23331870,23791738,24324980,24895887,25782083,26814996,27662453,28732381,29935217,31375119,32456187,35647336,38706741,40783514
 "23000","Maine",1,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",259231,288473,323461,373949,421835,464402,548262,640736,726545,829413,947104,1061877,1204468,1326856,1480879,1651218,1782695,1929957,2089060,2323847,2565521,2724528,2779376,3028861,3169137,3220231,3232679,3279891,3363868,3530457,3793226,4119388,4368499,4600464,4805459,5126705,5318100,5706688,5848924,5920956,5862517,5934486,5880733,6033561,6211641,6392315,6652968,6803169,7000093,7414848,7619963,7881703,8422810,8792000,9482392
 "23000","Maine",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",159636,181964,206785,237880,252724,276227,348807,397804,461174,522659,597965,682356,771063,865162,970099,1053888,1157478,1257199,1361056,1505977,1715606,1808174,1869865,2068417,2150461,2145503,2131097,2148464,2170752,2265308,2466987,2724015,2937665,3194736,3371306,3635568,3792610,4102614,4182521,4208939,4192729,4187779,4085703,4182418,4312949,4474494,4634297,4772060,4908304,5243405,5345438,5518216,5841919,6023144,6528010
 "23000","Maine",1,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834,1405728,1434153,1491137,1525490,1604074,1666403,1712017,1669788,1746707,1795030,1851143,1898692,1917821,2018671,2031109,2091789,2171443,2274525,2363487,2580891,2768856,2954382
