GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "26000","Michigan",3,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",36067948,37361665,40643958,45132028,50382867,53913200,57745117,64457792,72465620,80772906,88473249,94701793,101183597,104753909,111587381,123022181,133511635,141960377,147028829,157389827,169457810,177358200,181544360,192090223,202230763,217482045,229978752,241755067,253075718,268711943,282128877,301060433,306670387,306427101,313961005,322698379,329235279,336842607,346731862,356356155,339099994,352074311,372954243,387339206,390857856,407267049,429284900,441557210,454894818,474208013,489569574,531708210,571333924,582021088,613719224
 "26000","Michigan",3,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",28952426,29132429,31436664,35024335,39084704,40507429,41687268,47565685,54406235,61115039,66157837,66887785,69876048,69226707,73612015,82228679,90496688,96817120,101083247,108413258,115325947,119702219,121382203,129878728,136837439,146864800,155242386,163091592,171325522,184170736,196250411,210197341,212349653,212526181,216133525,221225729,223494449,225123926,226319116,223378301,205900259,213468917,227969731,237260573,239952659,248053672,260660464,268453157,280289751,290709008,298772200,298776847,324025890,346559045,363588453
 "26000","Michigan",3,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",2558746,3215645,3838323,4317792,4925429,6152718,8075342,8322767,8545134,9082769,10473287,13826445,14645635,16348938,17299724,17491018,18050667,18929472,19463566,20302294,21966056,23802967,26480919,28050493,29981970,30276174,31955056,33556452,35485471,35246616,37771543,39043213,43474910,45062786,47300704,49316942,52448918,55992960,61241712,69712046,77421489,82684863,82541515,82128688,83390283,86457828,91276407,93236225,93220426,97249598,102683812,144260604,148248756,128710507,132266583
 "26000","Michigan",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",239711,384022,559509,704274,752465,927035,1116650,1282949,1235777,1333260,1534973,1991458,2232307,2280003,2534794,2599366,2581504,2679947,2648104,2764800,2885698,3096597,3177363,3299350,3504377,3545192,3579360,3399099,3727465,3578345,3674550,3885750,3962100,4284923,4598635,4835122,5185379,5364155,6797238,7284988,8572341,9910804,9451559,9378698,8993033,8842841,8764188,8490921,8208344,8114197,8098000,9538868,13462096,16670767,10393567
 "26000","Michigan",3,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",118523,300485,359886,322873,206975,524187,1391264,1063262,831403,527553,711327,2421423,1586967,2063567,1684882,810553,758209,791668,993396,1004806,974764,1180579,1722664,2074174,1643725,973375,903929,1020344,948110,968220,872366,918642,1611595,2354724,2562317,1996353,1831865,1971104,1918935,2807170,6662382,5865756,3862735,2824684,2059480,1090893,933714,904249,855645,780197,798341,25286527,12125612,672428,644346
 "26000","Michigan",3,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",2200512,2531138,2918928,3290645,3965989,4701496,5567428,5976556,6477954,7221956,8226987,9413564,10826361,12005368,13080048,14081099,14710954,15457857,15822066,16532688,18105594,19525791,21580892,22676969,24833868,25757607,27471767,29137009,30809896,30700051,33224627,34238821,37901215,38423139,40139752,42485467,45431674,48657701,52525539,59619888,62186766,66908303,69227221,69925306,72337770,76524094,81578505,83841055,84156437,88355204,93787471,109435209,122661048,111367312,121228670
 "26000","Michigan",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",4556776,5013591,5368971,5789901,6372734,7253053,7982507,8569340,9514251,10575098,11842125,13987563,16661914,19178264,20675642,23302484,24964280,26213785,26482016,28674275,32165807,33853014,33681238,34161002,35411354,40341071,42781310,45107023,46264725,49294591,48106923,51819879,50845824,48838134,50526776,52155708,53291912,55725721,59171034,63265808,55778246,55920531,62442997,67949945,67514914,72755549,77348029,79867828,81384641,86249407,88113562,88670759,99059278,106751536,117864188
 "26000","Michigan",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9880076,9895488,9920751,9947308,9974630,9987137,10016980,10049868,10070610,10078236,10070627,10038117,10033281,10037261
 "26000","Michigan",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10232,10987,11492,12333,13594,14710,15553,16003,17074,18313,19048,19312,20265,21198,22660,23767,24773,25800,27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39043,39293,40830,42984,44081,45264,47088,48577,52798,56916,58009,61144
 "26000","Michigan",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3297,3275,3504,3881,4308,4447,4577,5217,5941,6642,7153,7227,7588,7595,8136,9087,9971,10607,11002,11761,12463,12856,12912,13702,14343,15302,16044,16713,17466,18701,19829,21120,21254,21219,21525,22001,22236,22431,22629,22457,20795,21606,23038,23916,24122,24868,26100,26800,27890,28867,29645,29668,32280,34541,36224
