GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "27000","Minnesota",4,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",14388047,15708849,16766023,18229257,21370238,23011795,24891102,26907121,30292726,33988927,37791833,42010462,46515652,49837561,52590261,59598876,63324040,66976178,71215906,75348529,82290313,87486978,90311671,96932703,99872645,107011913,113162912,121958540,128932791,140269135,147376230,159595422,166509015,170085165,177862252,188674909,193583814,203249483,215185417,225533454,216335432,225971601,241599513,255427731,257507779,270190205,282988049,288866631,301748990,317564784,329291605,350219423,385733636,399445981,416324524
 "27000","Minnesota",4,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",11079104,11959261,12584828,13691042,16167907,16977081,17925088,19349568,22052118,24954147,27660482,29752380,31925572,32968886,34465399,39851803,42381613,45060994,48967267,51633387,56053581,59462566,61216274,66609356,68327906,73403312,76708071,83403137,88025507,96639382,102581828,111287526,115561115,118626575,123878065,132728569,135889097,139718121,146429517,150604897,142150820,148878003,160029977,169446181,171046431,177405711,185054520,187725952,196366485,204952525,211244739,214932398,233591548,248394102,255997262
 "27000","Minnesota",4,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",1161533,1373220,1593536,1762357,2065726,2423459,2923711,3214283,3380243,3627458,4055520,4866121,5583161,6276910,6766119,7096596,7540154,7879079,8128374,8587737,9350707,10050774,10804864,11748112,12395052,13037165,13817022,14464223,14691630,15205858,15987544,17128267,19222222,20869698,21883474,23008469,24112023,26553419,29078224,32959879,36182979,39026850,39340086,39355946,40767979,43245122,44705834,46113265,48107304,51222817,53234914,71101601,78589974,71669434,72717659
 "27000","Minnesota",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",100335,142715,169255,193432,183958,232861,266771,301069,300440,302018,335069,453137,529648,527159,590319,623155,665527,701080,706539,766625,821773,899787,983404,1077548,1129214,1205432,1225327,1292961,1236431,1190340,1280847,1307836,1401727,1508140,1643957,1685907,1832029,1955462,2615857,2851647,3373676,3719377,3641100,3859411,3934558,4007795,3933271,3846727,3845581,3787418,3945588,4765401,7384011,9148728,5230780
 "27000","Minnesota",4,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",28708,60765,92562,101223,78851,122299,257340,265786,220118,142375,159877,313747,302274,496535,481657,300003,346349,359687,336894,315689,326958,341567,416539,512116,460675,376522,369245,379657,367887,341720,357860,398667,662610,1039254,1031729,727758,652681,669994,751074,1034456,2585779,2575651,1836667,1291687,1017579,782939,751754,803334,781534,766106,758353,9027968,5522729,842457,1086288
 "27000","Minnesota",4,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",1032490,1169740,1331719,1467702,1802917,2068299,2399600,2647428,2859685,3183065,3560574,4099237,4751239,5253216,5694143,6173438,6528278,6818312,7084941,7505423,8201976,8809420,9404921,10158448,10805163,11455211,12222450,12791605,13087312,13673798,14348837,15421764,17157885,18322304,19207788,20594804,21627313,23927963,25711293,29073776,30223524,32731822,33862319,34204848,35815842,38454388,40020809,41463204,43480189,46669293,48530973,57308232,65683234,61678249,66400591
 "27000","Minnesota",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2147410,2376368,2587659,2775858,3136605,3611255,4042303,4343270,4860365,5407322,6075831,7391961,9006919,10591765,11358743,12650477,13402273,14036105,14120265,15127405,16886025,17973638,18290533,18575235,19149687,20571436,22637819,24091180,26215654,28423895,28806858,31179629,31725678,30588892,32100713,32937871,33582694,36977943,39677676,41968678,38001633,38066748,42229450,46625604,45693369,49539372,53227695,55027414,57275201,61389442,64811952,64185424,73552114,79382445,87609603
 "27000","Minnesota",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5312113,5352572,5388297,5430428,5473353,5509714,5556226,5605384,5650149,5686733,5710578,5717968,5714300,5737915
 "27000","Minnesota",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3829,4117,4353,4714,5500,5903,6340,6801,7612,8487,9359,10284,11313,12063,12698,14335,15134,15927,16815,17539,18969,19929,20337,21562,21921,23211,24283,25878,27067,29141,30240,32348,33417,33889,35195,37084,37812,39362,41325,42983,40963,42539,45137,47404,47419,49365,51362,51990,53832,56205,57905,61328,67460,69903,72557
 "27000","Minnesota",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2948,3135,3267,3541,4161,4355,4566,4890,5541,6231,6850,7283,7765,7980,8322,9585,10129,10716,11562,12018,12921,13545,13785,14817,14997,15921,16460,17697,18480,20077,21049,22557,23192,23636,24513,26088,26543,27059,28121,28703,26916,28026,29898,31447,31498,32413,33587,33787,35032,36274,37147,37638,40852,43469,44615
 "27000","Minnesota",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",309,360,414,456,532,622,745,812,849,906,1004,1191,1358,1519,1634,1707,1802,1874,1919,1999,2156,2290,2433,2613,2721,2828,2965,3069,3084,3159,3281,3472,3858,4158,4330,4522,4710,5142,5584,6282,6851,7347,7350,7304,7507,7901,8114,8299,8582,9066,9361,12451,13744,12542,12673
 "27000","Minnesota",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",27,37,44,50,47,60,68,76,75,75,83,111,129,128,143,150,159,167,167,178,189,205,221,240,248,261,263,274,260,247,263,265,281,300,325,331,358,379,502,543,639,700,680,716,725,732,714,692,686,670,694,834,1291,1601,912
 "27000","Minnesota",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",8,16,24,26,20,31,66,67,55,36,40,77,74,120,116,72,83,86,80,73,75,78,94,114,101,82,79,81,77,71,73,81,133,207,204,143,127,130,144,197,490,485,343,240,187,143,136,145,139,136,133,1581,966,147,189
 "27000","Minnesota",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",275,307,346,380,464,531,611,669,719,795,882,1003,1156,1272,1375,1485,1560,1621,1673,1747,1891,2007,2118,2260,2372,2485,2623,2714,2747,2841,2944,3126,3443,3651,3801,4048,4224,4634,4938,5541,5723,6162,6326,6348,6595,7026,7264,7462,7757,8260,8534,10035,11487,10794,11572
 "27000","Minnesota",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",571,623,672,718,807,926,1030,1098,1221,1350,1505,1810,2191,2564,2743,3043,3203,3338,3334,3521,3893,4094,4119,4132,4203,4462,4858,5112,5504,5905,5911,6320,6367,6095,6352,6474,6560,7161,7620,7999,7196,7166,7890,8653,8414,9051,9661,9904,10218,10865,11397,11240,12863,13892,15269
 "27000","Minnesota",4,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",11892376,12810612,13521058,14755886,17535855,18533104,19570511,21234577,24149643,27431578,30608907,32959719,35661766,36961732,38809706,44888579,47903479,51087781,55449646,58913707,63795953,67762788,69969621,75987162,78155893,83954403,87847969,95224414,100628582,110198103,117102517,126849075,131679344,135093435,141095703,150929725,154900880,159552889,167147935,171959840,162567044,169567097,179493894,189437137,194360142,201443195,210015982,213544514,223396198,233241058,240688893,244643840,265026005,282159297,291887026
 "27000","Minnesota",4,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",9067461,9729445,10347890,11108257,12353047,13604640,14611435,16153251,17815674,20262790,23094081,25242310,27375247,28642782,30379708,33945098,36347352,38431996,41379028,44787853,47507357,50605647,52654909,56548098,58939585,62381824,66386876,71264795,76379989,83033201,88595038,95704176,98980854,100658944,103497030,109165933,111887009,116916388,123700573,127231904,121063968,124164265,128981626,135332810,139565886,145880985,153855621,158151066,165806439,172885486,179150957,179528684,192126389,205613787,214826237
 "27000","Minnesota",4,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",996504,1097957,1221563,1410761,1611851,1826479,2156048,2463108,2872051,3374928,3927422,4333694,4816027,5154253,5650077,6330587,6971387,7663568,8237243,8854541,9794879,10625568,11381817,12680839,13445645,14197240,14599804,15023465,15512928,17130513,18151011,19865180,21094172,21875906,23710767,25115729,26416332,26091468,27849783,29186477,27788733,28892165,31110468,29826251,31085927,32886563,33551682,34685103,36197423,37983921,39108928,39457784,42044413,43475089,45191866
 "27000","Minnesota",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",607419,689055,769007,886936,933921,1055443,1342114,1507399,1798402,2098354,2421011,2712407,2950442,3178899,3486096,3784720,4273842,4741270,5139145,5418917,6182293,6744755,7295576,8292962,8841290,9276442,9434123,9568801,9726319,10909153,11548566,12773720,13779073,14433903,15848292,16803704,17722966,17038551,18496783,19605278,18558066,19447175,21099452,19357251,20148480,21792470,22136478,23033901,24083860,25392800,26134741,26399144,28375695,28831882,29552193
 "27000","Minnesota",4,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",389085,408902,452556,523825,677930,771036,813934,955709,1073649,1276574,1506411,1621287,1865585,1975354,2163981,2545867,2697545,2922298,3098098,3435624,3612586,3880813,4086241,4387877,4604355,4920798,5165681,5454664,5786609,6221360,6602445,7091460,7315099,7442003,7862475,8312025,8693366,9052917,9353000,9581199,9230667,9444990,10011016,10469000,10937447,11094093,11415204,11651202,12113563,12591121,12974187,13058640,13668718,14643207,15639673
 "27000","Minnesota",4,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",1828411,1983210,1951605,2236868,3570957,3101985,2803028,2618218,3461918,3793860,3587404,3383715,3470492,3164697,2779921,4612894,4584740,4992217,5833375,5271313,6493717,6531573,5932895,6758225,5770663,7375339,6861289,8936154,8735665,10034389,10356468,11279719,11604318,12558585,13887906,16648063,16597539,16545033,15597579,15541459,13714343,16510667,19401800,24278076,23708329,22675647,22608679,20708345,21392336,22371651,22429008,25657372,30855203,33070421,31868923
 "27000","Minnesota",4,CAINC30,220,"...","   Farm proprietors' income ","Thousands of dollars",647488,797554,707388,869879,2057713,1496490,1080151,573627,1300002,1422074,1022589,726517,812251,567777,-118336,1210274,1106920,1423721,1924338,1001873,1769368,1611138,855790,1029804,-195970,950471,125089,1503955,439447,886372,775363,878894,462672,396569,1286949,1935430,2418420,2047244,1975412,3487894,1427435,2558796,3872075,5217756,5009538,3126858,2487731,729273,1341787,1100432,260007,2627709,3765194,5889203,2534846
 "27000","Minnesota",4,CAINC30,230,"...","   Nonfarm proprietors' income ","Thousands of dollars",1180923,1185656,1244217,1366989,1513244,1605495,1722877,2044591,2161916,2371786,2564815,2657198,2658241,2596920,2898257,3402620,3477820,3568496,3909037,4269440,4724349,4920435,5077105,5728421,5966633,6424868,6736200,7432199,8296218,9148017,9581105,10400825,11141646,12162016,12600957,14712633,14179119,14497789,13622167,12053565,12286908,13951871,15529725,19060320,18698791,19548789,20120948,19979072,20050549,21271219,22169001,23029663,27090009,27181218,29334077
 "27001","Aitkin, MN",4,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",27173,29871,33724,37325,44212,48242,53626,62002,67810,74109,81622,92005,101990,110874,121552,129261,135461,141426,138679,143994,157391,166654,177871,188614,201388,214506,238603,256834,272902,296269,310953,334448,347222,363158,376350,387910,389541,409992,434657,462936,457669,486315,496117,497950,500895,534322,552481,568913,594427,633869,655457,736003,808685,790767,832395
 "27001","Aitkin, MN",4,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",17439,18342,20478,22724,27401,28449,30325,36553,38608,42637,45376,47904,49770,50080,55391,59167,60062,63779,62530,64833,70325,75565,81818,87801,94847,102475,110794,122723,132772,144944,155118,169316,171662,185637,193954,204202,204287,208984,211764,209527,198326,212489,215000,216315,213994,223253,232858,241515,254851,269303,279069,291655,318312,332775,349417
 "27001","Aitkin, MN",4,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",5443,6417,7478,8158,9338,11050,12898,14090,16103,17006,19190,23287,27386,31681,34618,35744,36952,37639,37994,40169,43902,46823,50736,55564,58925,64463,71087,71931,73120,75695,80214,84522,92514,99196,104429,109496,116126,130024,139373,148204,164377,170783,169339,172121,177239,204415,195059,199384,204452,218703,230389,289735,318394,296828,308194
 "27001","Aitkin, MN",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",455,661,745,753,740,948,1045,1198,1319,1387,1526,2317,3027,3403,4094,4173,4126,4117,3807,4147,4244,4730,4704,4981,5290,6015,5555,5367,5270,5174,5186,5264,5814,6092,6390,6240,6527,6849,9626,10346,12779,13855,12932,12797,12634,13318,12469,12480,12690,12433,12616,14806,22582,25770,16006
 "27001","Aitkin, MN",4,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",308,477,645,642,423,713,1064,1277,1600,956,1247,2037,1706,2206,2386,1737,1752,1650,1510,1530,1746,1706,2061,2712,2586,2241,2132,2188,2297,2333,2221,2304,2886,3976,3905,2895,2589,2680,3003,4076,9079,9217,6562,4485,3558,2878,2794,3395,3299,3451,3383,28558,18281,3468,4501
 "27001","Aitkin, MN",4,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",4680,5279,6088,6763,8175,9389,10789,11615,13184,14663,16417,18933,22653,26072,28138,29834,31074,31872,32677,34492,37912,40387,43971,47871,51049,56207,63400,64376,65553,68188,72807,76954,83814,89128,94134,100361,107010,120495,126744,133782,142519,147711,149845,154839,161047,188219,179796,183509,188463,202819,214390,246371,277531,267590,287687
 "27001","Aitkin, MN",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",4291,5112,5768,6443,7473,8743,10403,11359,13099,14466,17056,20814,24834,29113,31543,34350,38447,40008,38155,38992,43164,44266,45317,45249,47616,47568,56722,62180,67010,75630,75621,80610,83046,78325,77967,74212,69128,70984,83520,105205,94966,103043,111778,109514,109662,106654,124564,128014,135124,145863,145999,154613,171979,161164,174784
 "27001","Aitkin, MN",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11293,11458,11637,11985,12074,12102,12146,12347,12684,12901,13035,13384,13276,13248,13438,13218,13072,12773,12667,12542,12416,12462,12603,12825,13112,13524,13847,14181,14403,14840,15062,15282,15334,15616,15795,16028,16162,16357,16481,16422,16168,16208,16152,16004,15827,15790,15780,15664,15693,15766,15706,15722,15957,16142,16102
 "27001","Aitkin, MN",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2406,2607,2898,3114,3662,3986,4415,5022,5346,5744,6262,6874,7682,8369,9045,9779,10363,11072,10948,11481,12676,13373,14113,14707,15359,15861,17231,18111,18948,19964,20645,21885,22644,23256,23827,24202,24102,25065,26373,28190,28307,30005,30716,31114,31648,33839,35011,36320,37878,40205,41733,46814,50679,48988,51695
 "27001","Aitkin, MN",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",1544,1601,1760,1896,2269,2351,2497,2960,3044,3305,3481,3579,3749,3780,4122,4476,4595,4993,4936,5169,5664,6064,6492,6846,7234,7577,8001,8654,9218,9767,10299,11079,11195,11888,12279,12740,12640,12776,12849,12759,12267,13110,13311,13516,13521,14139,14757,15418,16240,17081,17768,18551,19948,20615,21700
 "27001","Aitkin, MN",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",482,560,643,681,773,913,1062,1141,1270,1318,1472,1740,2063,2391,2576,2704,2827,2947,2999,3203,3536,3757,4026,4332,4494,4767,5134,5072,5077,5101,5326,5531,6033,6352,6612,6832,7185,7949,8457,9025,10167,10537,10484,10755,11199,12946,12361,12729,13028,13872,14669,18429,19953,18389,19140
 "27001","Aitkin, MN",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",40,58,64,63,61,78,86,97,104,108,117,173,228,257,305,316,316,322,301,331,342,380,373,388,403,445,401,378,366,349,344,344,379,390,405,389,404,419,584,630,790,855,801,800,798,843,790,797,809,789,803,942,1415,1596,994
 "27001","Aitkin, MN",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",27,42,55,54,35,59,88,103,126,74,96,152,129,167,178,131,134,129,119,122,141,137,164,211,197,166,154,154,159,157,147,151,188,255,247,181,160,164,182,248,562,569,406,280,225,182,177,217,210,219,215,1816,1146,215,280
 "27001","Aitkin, MN",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",414,461,523,564,677,776,888,941,1039,1137,1259,1415,1706,1968,2094,2257,2377,2495,2580,2750,3053,3241,3489,3733,3893,4156,4579,4540,4551,4595,4834,5036,5466,5707,5960,6262,6621,7367,7690,8147,8815,9113,9277,9675,10175,11920,11394,11715,12009,12864,13650,15670,17392,16577,17867
 "27001","Aitkin, MN",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",380,446,496,538,619,722,856,920,1033,1121,1308,1555,1871,2198,2347,2599,2941,3132,3012,3109,3476,3552,3596,3528,3631,3517,4096,4385,4653,5096,5021,5275,5416,5016,4936,4630,4277,4340,5068,6406,5874,6358,6920,6843,6929,6755,7894,8172,8610,9252,9296,9834,10778,9984,10855
 "27001","Aitkin, MN",4,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",15978,16839,19009,21352,26107,26938,27661,32542,35080,38397,40601,42489,44540,45114,49937,53669,54379,57806,56387,59218,64974,70699,75956,79845,85383,91894,98177,108303,115743,124451,131122,141595,142953,157026,165572,174503,174219,178379,178461,174342,168278,183227,181120,181867,182643,189453,196221,207151,218944,231917,242091,260312,283717,297073,313221
