GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "30000","Montana",7,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2350491,2604190,2787297,3230256,3745221,4069917,4478717,4806477,5197877,6090546,6549399,7215690,8194382,8632561,9082310,9593961,9735941,10122849,10355058,10679766,11763596,12379212,13216625,14009275,15154047,15574369,16400030,17173644,17910227,19125723,19496880,20770544,21685226,22350296,24015175,26072167,28052041,30362708,32646839,34730541,33926624,35670871,38082705,40436886,40785993,42901443,44583320,45283300,48003346,50352020,53402305,58153037,65254410,69132415,73619978
 "30000","Montana",7,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1746578,1908112,2018023,2379676,2752939,2909279,3128954,3323315,3545003,4234518,4434036,4699140,5181090,5239255,5475512,5683544,5654461,5960186,6199607,6330628,6984957,7306029,7947722,8501365,9359803,9481783,9791793,10254451,10630211,11446278,11898412,12489738,12942946,13518982,14521982,15871191,17185404,18249824,19457154,20092456,19642833,20651119,22321635,23681314,24140203,24821464,25666148,25672309,26575745,27776121,29426699,30854113,34248885,37819992,40284054
 "30000","Montana",7,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",209541,241148,280408,309860,359856,422785,514202,569949,614705,674545,759839,894895,1034427,1157603,1268372,1353040,1430519,1527675,1600835,1692892,1856013,2032524,2139951,2320839,2492860,2588515,2773649,2879862,2940265,3052154,3030663,3389461,3670612,3808011,3980726,4243266,4541607,4916501,5246929,5965292,6465068,7059069,6989964,7186539,7371342,7755300,8123554,8778454,9585899,9928910,10586686,13481631,14751038,13678645,13981052
 "30000","Montana",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",11913,17354,22141,22602,24111,32125,34550,40325,41683,42753,49654,70768,75570,77785,89457,96069,106330,116457,120130,131076,139137,150390,168547,192718,202426,220752,249081,267289,260735,268599,261154,266771,283738,311394,350586,359546,386214,392702,409152,427677,518951,589560,619771,624509,636126,629083,597875,602628,610320,589000,611282,696356,1007040,1283982,684043
 "30000","Montana",7,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",7057,9543,14059,17823,15616,21122,41995,45038,39703,34534,37987,56452,57677,84944,96921,75498,67887,64223,57960,45505,43727,47822,60621,85443,88871,72149,67002,71690,67018,64301,68171,70644,82044,95686,103711,81351,69020,68722,72997,119113,307620,329659,246918,217336,168520,115299,121569,128015,116065,107189,108431,1061218,414706,75430,110646
 "30000","Montana",7,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",190571,214251,244208,269435,320129,369538,437657,484586,533319,597258,672198,767675,901180,994874,1081994,1181473,1256302,1346995,1422745,1516311,1673149,1834312,1910783,2042678,2201563,2295614,2457566,2540883,2612512,2719254,2701338,3052046,3304830,3400931,3526429,3802369,4086373,4455077,4764780,5418502,5638497,6139850,6123275,6344694,6566696,7010918,7404110,8047811,8859514,9232721,9866973,11724057,13329292,12319233,13186363
 "30000","Montana",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",394372,454930,488866,540720,632426,737853,835561,913213,1038169,1181483,1355524,1621655,1978865,2235703,2338426,2557377,2650961,2634988,2554616,2656246,2922626,3040659,3128952,3187071,3301384,3504071,3834588,4039331,4339751,4627291,4567805,4891345,5071668,5023303,5512467,5957710,6325030,7196383,7942756,8672793,7818723,7960683,8771106,9569033,9274448,10324679,10793618,10832537,11841702,12646989,13388920,13817293,16254487,17633778,19354872
 "30000","Montana",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990863,998188,1005385,1015933,1024998,1034413,1045648,1057982,1066542,1075462,1087211,1106366,1122878,1132812
 "30000","Montana",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8299,9148,10303,10737,11157,11687,11840,12440,12862,13346,14711,15470,16323,16965,17939,18082,18710,19378,20127,21431,21723,22982,23910,24516,26114,28034,29839,31870,33841,35569,34479,36000,38152,40220,40146,41855,43100,43306,45373,47211,49655,53488,58981,61567,64989
 "30000","Montana",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2517,2737,2838,3309,3785,3946,4176,4381,4596,5401,5619,5958,6514,6517,6726,6924,6876,7324,7701,7911,8735,9130,9816,10295,11080,11009,11171,11571,11946,12826,13257,13820,14271,14829,15791,17066,18280,19156,20169,20578,19963,20842,22362,23554,23762,24216,24812,24552,25119,26043,27362,28379,30956,33681,35561
 "30000","Montana",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",302,346,394,431,495,573,686,751,797,860,963,1135,1301,1440,1558,1648,1740,1877,1988,2116,2321,2540,2643,2811,2951,3005,3164,3249,3304,3420,3377,3750,4047,4177,4329,4563,4831,5161,5439,6109,6570,7124,7003,7148,7256,7566,7853,8395,9061,9309,9844,12400,13333,12182,12342
 "30000","Montana",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",17,25,31,31,33,44,46,53,54,55,63,90,95,97,110,117,129,143,149,164,174,188,208,233,240,256,284,302,293,301,291,295,313,342,381,387,411,412,424,438,527,595,621,621,626,614,578,576,577,552,568,640,910,1143,604
 "30000","Montana",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",10,14,20,25,21,29,56,59,51,44,48,72,73,106,119,92,83,79,72,57,55,60,75,103,105,84,76,81,75,72,76,78,90,105,113,87,73,72,76,122,313,333,247,216,166,112,118,122,110,101,101,976,375,67,98
 "30000","Montana",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",275,307,343,375,440,501,584,639,691,762,852,973,1133,1237,1329,1439,1528,1655,1767,1895,2092,2292,2360,2474,2606,2665,2804,2867,2936,3047,3010,3377,3644,3730,3835,4089,4347,4676,4939,5549,5730,6196,6134,6311,6464,6840,7158,7696,8374,8657,9175,10784,12048,10971,11640
 "30000","Montana",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",568,653,688,752,869,1001,1115,1204,1346,1507,1718,2056,2488,2781,2873,3115,3224,3238,3173,3319,3655,3800,3864,3860,3908,4068,4375,4558,4877,5185,5089,5412,5592,5510,5994,6406,6728,7554,8233,8882,7946,8034,8787,9518,9129,10073,10435,10360,11193,11858,12449,12709,14692,15704,17086
 "30000","Montana",7,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",1873921,2045607,2169624,2557335,2979658,3170700,3409995,3644033,3909661,4664031,4924780,5227899,5788716,5885709,6165828,6435926,6440756,6767052,7030218,7258317,7984527,8428822,9178614,9827016,10820733,11023628,11347490,11805788,12202186,13071043,13569468,14256331,14822813,15505266,16611443,18097136,19611354,20887711,22294972,22995278,22481428,23519609,24929846,26193394,27020998,27759327,28826078,28957362,30089438,31440622,33193274,35033494,38771858,42783755,45501666
 "30000","Montana",7,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",1259884,1360438,1473954,1640804,1838252,2063928,2267604,2520607,2808049,3210793,3583651,3857771,4217962,4337577,4502426,4685203,4737732,4683894,4793999,5074530,5320222,5667646,6035514,6451963,6895828,7287082,7618148,8044238,8439543,8912587,9298852,9890097,10389840,10863689,11394099,12088671,12958410,13980713,15055786,15586721,15259215,15506995,16165270,17110385,17618035,18380877,19253590,19823149,20663053,21599439,22517311,23590968,26158826,28614002,30566406
 "30000","Montana",7,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",164677,185230,215348,250987,288581,335545,383649,433397,496204,567481,639824,698784,787068,841460,917444,983931,1036613,1057748,1103680,1176192,1285766,1408459,1529582,1732769,1895238,1998955,2022388,2010316,2012950,2115252,2201753,2401661,2485985,2709438,2906743,3095795,3341118,3605449,3855938,3990522,3914027,4177650,4470155,4538616,4649675,4810409,4963206,4931215,5345035,5508982,5682257,5762470,6305395,6606732,7220573
 "30000","Montana",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",98208,113616,134632,155310,166315,192204,228345,250538,287601,322882,358323,391701,430041,470361,522094,549703,596965,613183,648034,671663,750566,804698,870424,1018375,1085214,1146346,1185328,1203068,1216516,1291798,1359742,1501512,1540861,1699161,1837596,1966510,2114694,2273555,2420916,2527140,2488595,2714828,2921038,2951892,3012750,3098700,3215297,3279481,3511524,3585350,3756047,3705789,4112176,4218951,4669077
 "30000","Montana",7,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",66469,71614,80716,95677,122266,143341,155304,182859,208603,244599,281501,307083,357027,371099,395350,434228,439648,444565,455646,504529,535200,603761,659158,714394,810024,852609,837060,807248,796434,823454,842011,900149,945124,1010277,1069147,1129285,1226424,1331894,1435022,1463382,1425432,1462822,1549117,1586724,1636925,1711709,1747909,1651734,1833511,1923632,1926210,2056681,2193219,2387781,2551496
 "30000","Montana",7,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",449360,499939,480322,665544,852825,771227,758742,690029,605408,885757,701305,671344,783686,706672,745958,766792,666411,1025410,1132539,1007595,1378539,1352717,1613518,1642284,2029667,1737591,1706954,1751234,1749693,2043204,2068863,1964573,1946988,1932139,2310601,2912670,3311826,3301549,3383248,3418035,3308186,3834964,4294421,4544393,4753288,4568041,4609282,4202998,4081350,4332201,4993706,5680056,6307637,7563021,7714687
