GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "37000","North Carolina",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43906810,49256176,55448399,59374707,64651777,73042476,78975578,85149307,91578629,100512038,109591488,116495228,121968505,132578359,141327215,150419510,161278515,172515776,185209372,198232018,207943047,221516240,228090893,231930885,241805079,261603424,280391837,304872655,327886485,351637519,339441454,343104305,355001632,377867242,373140586,393886051,414760405,429054929,449817671,473093266,501618126,541067523,602410127,630558833,670051073
 "37000","North Carolina",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",12814330,13713363,14819157,16817107,18987953,20462957,21390264,23930889,26240026,29762816,32600472,35527529,39062090,40915923,44614632,50703143,54804427,59153017,64573517,70416061,75611415,79737706,82527210,90478613,96022428,102342765,108344953,114940893,123760153,132681039,140807015,150113071,153082958,154884140,161192963,174699622,186609752,202774953,216163970,228598861,214816165,215734440,220655942,238118784,233289126,245296628,256607539,266144490,279141633,293060383,310775853,321784740,353096696,383626484,404808255
 "37000","North Carolina",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",1107326,1337544,1569180,1756509,2038396,2533194,3522465,3798379,4007333,4314655,4932878,5897759,6798037,7567948,8154644,8614946,9236755,9827047,10220278,11076679,12367174,13673688,15724294,17409160,19134138,19908202,22304566,24215485,25418166,26424754,28061784,30026235,33503736,36263542,38138552,41117125,44630455,48658611,52343524,59450168,66498121,70644179,72377768,73976938,75378759,78359285,82744548,85118042,88442377,93045077,98527944,125311981,144459020,132558260,138616618
 "37000","North Carolina",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",108558,137381,161550,173190,180963,306552,444602,511808,518369,517609,615305,769884,833618,822272,863714,878799,928512,987270,1015166,1146431,1301770,1495900,1771202,2116732,2295521,2483986,2723711,3005783,3008295,3087653,3356164,3239426,3279397,3916828,4147289,4546826,4991624,5330597,5414797,5943253,7069176,7726248,8018118,8220444,8472518,8544326,8591796,8540527,7994042,7978591,8062763,9535142,15867142,17976478,10732395
 "37000","North Carolina",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",25968,49950,70657,51266,34398,72905,419097,299482,215117,120374,129267,253994,272517,531566,430158,253839,272414,249101,219397,203991,229767,322705,527613,595545,487669,349827,359417,417736,383616,419954,453174,518506,971454,1507818,1419945,1017393,799802,834352,860112,1506930,4297334,4615863,4091940,2837236,1535297,492129,318909,264446,235734,208462,214437,9204693,4409021,154071,221443
 "37000","North Carolina",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",972800,1150213,1336973,1532053,1823035,2153737,2658766,2987089,3273847,3676672,4188306,4873881,5691902,6214110,6860772,7482308,8035829,8590676,8985715,9726257,10835637,11855083,13425479,14696883,16350948,17074389,19221438,20791966,22026255,22917147,24252446,26268303,29252885,30838896,32571318,35552906,38839029,42493662,46068615,51999985,55131611,58302068,60267710,62919258,65370944,69322830,73833843,76313069,80212601,84858024,90250744,106572146,124182857,114427711,127662780
 "37000","North Carolina",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1936486,2269516,2468455,2745400,3148156,3657705,4030034,4403054,4960740,5658693,6373460,7830888,9588272,10890836,11882501,13724387,14934396,16169243,16784834,19019298,21612899,23083834,23717001,24690586,26170649,28168543,30628996,33359398,36031053,39126225,39074248,41376934,41504199,40783203,42473564,45786677,49151630,53439091,59378991,63588490,58127168,56725686,61967922,65771520,64472701,70230138,75408318,77792397,82233661,86987806,92314329,93970802,104854411,114374089,126626200
 "37000","North Carolina",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9571353,9642580,9722105,9803434,9880220,9966060,10076064,10175266,10275806,10370550,10453812,10567100,10695965,10835491
 "37000","North Carolina",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8350,9309,9864,10639,11850,12628,13470,14301,15510,16692,17481,17978,19222,20067,20928,21959,23000,24189,25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35847,36816,38867,38062,39866,41617,42582,44207,46040,48369,51758,57008,58953,61839
 "37000","North Carolina",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2547,2689,2849,3175,3528,3747,3864,4278,4629,5185,5619,6023,6558,6798,7341,8226,8763,9357,10084,10866,11517,11965,12164,13118,13634,14239,14751,15324,16163,16991,17713,18575,18646,18602,19138,20425,21436,22740,23707,24556,22733,22540,22883,24493,23797,24827,25748,26414,27433,28519,29967,30782,33415,35866,37359
