GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "38000","North Dakota",4,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507758,5273968,6904340,7454850,7838187,8456480,8743001,8871038,9105864,8460842,9472814,10256270,10401883,11384968,11536405,12531737,12552311,14037638,13770070,15078708,15257879,16591077,16930740,17356115,18949490,19330915,20501369,21508536,23828798,26942586,26722103,29758809,33587983,39538595,39538731,42181264,40408157,39232018,39743692,42565900,43997214,47060287,51326615,55487958,56475052
 "38000","North Dakota",4,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1478172,1525278,1769893,2162215,3192502,3023564,3045331,2860324,2872503,3817816,3782586,3170346,4310321,4464538,4744857,5150610,5304439,5336875,5629341,4954379,5655332,6246388,6357023,7176270,7128551,7960857,7683686,8967404,8374681,9512511,9705364,10646379,10833052,11117540,12536147,12736731,13547538,14031324,15652173,17453945,17324038,19535153,21970161,26556476,25963392,27279102,26124008,25189661,25368690,26853064,27922359,28829258,31049099,34568957,34829979
 "38000","North Dakota",4,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",182521,211671,248009,275816,310405,355582,420180,464519,506615,553419,613288,724642,831111,931775,1036127,1110745,1180035,1286828,1345824,1353121,1474312,1578429,1605443,1771908,1866772,1901213,2010187,2092472,2181735,2209291,2304238,2472211,2536914,2688493,2787647,2947486,3106985,3313944,3552183,4017713,4199860,4543288,4649584,4691885,4860182,5171404,5364348,5538177,5661138,6068717,6374607,8561994,9230952,8635295,8536814
 "38000","North Dakota",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",13247,17419,21302,21507,21546,23595,25943,30350,32101,32501,36920,52952,55226,58862,62726,67237,71211,77708,77673,87462,95264,101144,110321,129826,137618,143331,150376,157795,172217,151834,161584,163942,164864,181173,208771,214446,229485,235826,284439,322521,376565,420701,424170,421296,418927,427359,374342,376986,374740,382408,399720,438273,648711,964401,500805
 "38000","North Dakota",4,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",5102,5758,9673,12201,10796,11831,17632,23337,31323,26463,25237,37882,36008,48973,64426,46226,47800,52799,38606,29807,28314,25212,30898,42972,40197,31024,30122,31365,31827,29230,34379,33476,36449,59536,59157,44920,44472,44807,47921,58450,126317,119352,94803,83682,101266,80141,116729,149281,113453,92766,78722,868663,342459,65099,37323
 "38000","North Dakota",4,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",164172,188494,217034,242108,278063,320156,376605,410832,443191,494455,551131,633808,739877,823940,908975,997282,1061024,1156321,1229545,1235852,1350734,1452073,1464224,1599110,1688957,1726858,1829689,1903312,1977691,2028227,2108275,2274793,2335601,2447784,2519719,2688120,2833028,3033311,3219823,3636742,3696978,4003235,4130611,4186907,4339989,4663904,4873277,5011910,5172945,5593543,5896165,7255058,8239782,7605795,7998686
 "38000","North Dakota",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",329877,365423,406302,449376,533923,619024,715953,777040,881988,986633,1111884,1378980,1762908,2058537,2057203,2195125,2258527,2247335,2130699,2153342,2343170,2431453,2439417,2436790,2541082,2669667,2858438,2977762,3213654,3356906,3248277,3472487,3560774,3550082,3625696,3646698,3846846,4163268,4624442,5470928,5198205,5680368,6968238,8290234,8715157,9730758,8919801,8504180,8713864,9644119,9700248,9669035,11046564,12283706,13108259
 "38000","North Dakota",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,675054,687065,705071,727382,744395,762693,764650,766673,771407,776516,779563,777982,778912,783926
 "38000","North Dakota",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8446,8059,10469,11144,11583,12427,12915,13250,13773,12911,14656,16084,16362,17839,17991,19435,19376,21584,21194,23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44084,48886,56077,54358,56665,52981,51307,51839,55180,56660,60368,65974,71238,72041
 "38000","North Dakota",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2380,2465,2824,3427,5048,4767,4770,4433,4425,5868,5800,4845,6536,6674,7012,7569,7835,7971,8515,7560,8750,9795,9999,11244,11117,12346,11861,13788,12890,14690,15064,16583,16951,17421,19624,19756,20969,21606,23976,26543,26052,28939,31977,37665,35694,36646,34252,32943,33089,34811,35959,36981,39910,44381,44430
 "38000","North Dakota",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",294,342,396,437,491,561,658,720,780,851,940,1107,1260,1393,1531,1632,1743,1922,2036,2065,2281,2475,2525,2776,2911,2949,3103,3217,3358,3412,3577,3851,3970,4213,4364,4572,4809,5103,5441,6110,6316,6730,6767,6654,6682,6947,7033,7243,7384,7867,8209,10983,11865,11086,10890
 "38000","North Dakota",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",21,28,34,34,34,37,41,47,49,50,57,81,84,88,93,99,105,116,117,133,147,159,174,203,215,222,232,243,265,234,251,255,258,284,327,333,355,363,436,490,566,623,617,598,576,574,491,493,489,496,515,562,834,1238,639
 "38000","North Dakota",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",8,9,15,19,17,19,28,36,48,41,39,58,55,73,95,68,71,79,58,45,44,40,49,67,63,48,46,48,49,45,53,52,57,93,93,70,69,69,73,89,190,177,138,119,139,108,153,195,148,120,101,1114,440,84,48
 "38000","North Dakota",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",264,305,346,384,440,505,590,637,683,760,845,969,1122,1232,1343,1466,1567,1727,1860,1886,2090,2277,2303,2506,2634,2678,2824,2926,3044,3132,3272,3543,3655,3836,3944,4170,4385,4671,4932,5531,5560,5930,6012,5938,5967,6265,6390,6555,6747,7251,7593,9307,10591,9765,10203
 "38000","North Dakota",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",531,590,648,712,844,976,1121,1204,1359,1516,1705,2107,2673,3077,3040,3226,3336,3357,3223,3286,3625,3813,3837,3818,3963,4140,4412,4578,4946,5184,5042,5409,5572,5563,5676,5656,5954,6411,7084,8320,7817,8415,10142,11758,11982,13072,11695,11122,11366,12502,12492,12403,14199,15770,16721
 "38000","North Dakota",4,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",1635476,1697577,1959279,2373485,3449296,3326785,3384488,3250475,3277555,4284296,4324493,3766068,5008975,5209040,5528819,5973109,6151885,6202601,6524523,5923751,6675182,7363324,7550161,8446587,8499799,9421916,9215390,10588494,10069888,11295046,11554251,12600120,12856596,13207378,14736799,15091828,16029789,16675653,18468147,20476941,20545958,23004671,25915118,31300083,31731678,33780051,32357195,30852577,31307802,33029524,34259140,34880503,37101933,41260291,42037889
 "38000","North Dakota",4,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",947416,1068556,1168223,1288680,1432129,1620595,1832979,2086085,2251995,2572367,2907436,3183473,3598545,3828386,3960748,4065767,4139030,4148115,4294141,4471331,4636644,4924267,5163531,5480463,5785859,6120763,6480016,6853904,7238872,7635944,7968517,8359598,8782468,9109333,9558018,10268012,10790135,11508656,12348908,13385959,13622307,14741398,16965792,20175500,21696195,23992853,23447092,21685804,22179223,23237998,24359864,23440556,24297577,26416801,28344688
