GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "33000","New Hampshire",1,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2781338,2965678,3220121,3561963,4013324,4417159,4802304,5435993,6146446,7090723,8112454,9281841,10505789,11561572,12714437,14352938,15831032,17499716,19284762,21307463,22825338,23004987,23818174,24951886,25765166,27503132,29175950,30892592,33286146,36597456,38930190,43796122,46179929,46972303,47832952,50732988,52464303,56084854,58305527,60153763,59381531,61880875,64888948,67318055,67121768,69630452,72779569,75228976,78660960,82353730,87724139,93113912,102233523,104683632,110683698
 "33000","New Hampshire",1,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",2128529,2225562,2375957,2628309,2953830,3192576,3383572,3887817,4430792,5170259,5920615,6642024,7323750,7888782,8825612,9999097,11158613,12419310,13968345,15343028,16015810,15888599,15997477,17066661,17850833,18947071,19916359,21298291,23121196,25744531,28143398,31941175,33814733,34522069,35343740,37314627,38793114,41175470,41949730,42070347,41335343,43686262,45330202,46301032,46016224,47244344,49089486,50967808,52966521,55563086,59168024,60804318,68396435,69741287,73065608
 "33000","New Hampshire",1,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",203327,241330,292222,322322,380174,455501,586034,625938,661434,724533,828643,971785,1137929,1248057,1332806,1409927,1476049,1548062,1580964,1712842,1919188,2150414,2881873,3069780,2972847,3376420,3641427,3598987,3740518,3880024,3958152,4261177,4653486,5067196,5195526,5682200,5926989,6328796,6869386,7952662,8574481,9136129,9073680,9215649,9398282,10024106,10783382,11437622,11864899,12593106,13084197,17054785,18136427,16979967,17409984
 "33000","New Hampshire",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",12706,18350,25417,28836,29336,31721,49296,54028,52552,51483,60714,86552,95241,92171,93025,85627,84279,80796,75791,87827,98048,124243,161943,193309,203389,217710,230071,226429,247483,242145,252934,254241,247474,276385,305382,323294,364846,388353,407666,545167,737989,818930,823582,819765,660024,632931,634815,595072,573725,574808,598655,636259,915979,1377142,775220
 "33000","New Hampshire",1,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",2939,7812,18279,15127,12643,23700,55405,35066,21844,17596,21034,32318,31589,47752,39962,28453,18124,17119,12592,16827,30143,63735,91135,95716,69444,48297,36826,36312,34069,33068,31085,27394,64672,152487,153775,96593,83986,88336,100891,150840,396098,364350,221922,186375,141471,106292,89755,77803,73840,67328,62937,1535330,457214,39497,56718
 "33000","New Hampshire",1,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",187682,215168,248526,278359,338195,400080,481333,536844,587038,655454,746895,852915,1011099,1108134,1199819,1295847,1373646,1450147,1492581,1608188,1790997,1962436,2628795,2780755,2700014,3110413,3374530,3336246,3458966,3604811,3674133,3979542,4341340,4638324,4736369,5262313,5478157,5852107,6360829,7256655,7440394,7952849,8028176,8209509,8596787,9284883,10058812,10764747,11217334,11950970,12422605,14883196,16763234,15563328,16578046
 "33000","New Hampshire",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",449482,498786,551942,611332,679320,769082,832698,922238,1054220,1195931,1363196,1668032,2044110,2424733,2556019,2943914,3196370,3532344,3735453,4251593,4890340,4965974,4938824,4815445,4941486,5179641,5618164,5995314,6424432,6972901,6828640,7593770,7711710,7383038,7293686,7736161,7744200,8580588,9486411,10130754,9471707,9058484,10485066,11801374,11707262,12362002,12906701,12823546,13829540,14197538,15471918,15254809,15700661,17962378,20208106
 "33000","New Hampshire",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1317094,1321886,1327287,1331050,1339224,1343633,1351059,1358984,1364875,1371834,1378702,1387494,1399003,1402054
 "33000","New Hampshire",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10043,11217,12199,13270,14693,15883,17072,18292,19682,20665,20681,21459,22323,22812,24071,25205,26298,27985,30348,31857,35323,36782,37013,37374,39324,40404,42866,44422,45713,45119,46983,49088,50719,50428,51993,54166,55681,57882,60338,63947,67537,73682,74827,78944
 "33000","New Hampshire",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2940,3000,3117,3362,3684,3907,4076,4590,5082,5783,6493,7186,7819,8324,9211,10236,11195,12116,13249,14173,14500,14283,14413,15268,15805,16583,17205,18131,19439,21348,23030,25761,26933,27202,27616,28923,29876,31470,31961,31971,31407,33169,34292,34884,34571,35277,36535,37724,38975,40709,43131,44103,49295,49851,52113
 "33000","New Hampshire",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",281,325,383,412,474,557,706,739,759,810,909,1051,1215,1317,1391,1443,1481,1510,1500,1582,1738,1933,2596,2746,2632,2955,3146,3064,3145,3217,3239,3437,3706,3993,4060,4404,4565,4837,5234,6043,6515,6937,6864,6943,7061,7485,8026,8466,8731,9227,9538,12370,13071,12137,12417
 "33000","New Hampshire",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",18,25,33,37,37,39,59,64,60,58,67,94,102,97,97,88,85,79,72,81,89,112,146,173,180,191,199,193,208,201,207,205,197,218,239,251,281,297,311,414,561,622,623,618,496,473,472,440,422,421,436,461,660,984,553
 "33000","New Hampshire",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",4,11,24,19,16,29,67,41,25,20,23,35,34,50,42,29,18,17,12,16,27,57,82,86,61,42,32,31,29,27,25,22,52,120,120,75,65,68,77,115,301,277,168,140,106,79,67,58,54,49,46,1114,330,28,40
