GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "35000","New Mexico",6,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3143665,3499776,3872418,4353346,4881806,5487270,6267941,6987390,7819801,8947791,10087343,11324718,12789759,14010585,15086657,16451119,17812041,18512048,19235758,20380071,21827331,23292213,24953527,26778266,28793303,30728194,33016851,34664741,36399458,38233130,38915058,41922251,44958829,46821719,49019748,52099668,55540781,59713746,63243626,67462380,67011812,69499817,73017732,74610808,73079820,77265995,79130787,80782293,82354111,86179472,91208888,98480206,107310572,112180905,117016309
 "35000","New Mexico",6,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",2390468,2597932,2844001,3197376,3552126,3921183,4422779,4944261,5583323,6402675,7184164,7855492,8686122,9225446,9807631,10697097,11496047,11836869,12397460,13118616,13955801,14933591,15989820,17270600,18657906,19782317,21004181,21719721,22945095,24099429,24873482,27082878,28878428,30218396,31744687,33857210,35807958,38109278,39719029,41192879,40267196,41762638,43919276,44354727,43287287,44779799,45166558,45828666,46938577,48986025,51974075,52062977,56051284,60889087,64889815
 "35000","New Mexico",6,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",260742,325429,377894,422125,499780,600725,738125,828143,872291,955977,1103028,1314998,1501778,1651216,1803968,1927188,2064166,2222456,2350213,2520447,2796015,3048122,3417153,3798873,4118225,4429867,4878220,5322474,5437382,5719073,6050663,6422972,7168755,7872793,8430304,8991927,9704000,10585394,11520581,13244839,14666898,15878787,16062956,16017682,16180358,17745433,19177179,19669184,19699270,20850220,21813068,28903569,33077167,31406803,30107507
 "35000","New Mexico",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",36580,57609,63930,67359,75595,101253,110994,121480,117915,118392,150128,198148,214179,213742,227291,240356,247432,265100,283097,306159,341646,395688,480497,577887,610608,658152,735899,809260,761870,765608,809410,788889,800676,867025,952465,1037963,1131491,1156943,1323760,1412785,1717259,1984797,2029669,2058649,2089457,2075649,2113001,2196483,2175017,2172419,2233020,2789283,4087144,5423896,2907064
 "35000","New Mexico",6,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",9188,16283,22606,22581,21096,28558,54260,52436,37129,31600,32999,48309,50068,85266,110856,71889,72150,95422,77065,66104,60483,60106,79802,112272,103779,79640,77082,82823,79445,90085,96535,85270,106587,174928,180220,146092,126178,112638,137011,206338,549289,765133,636073,445929,325188,208046,185124,195730,163949,135097,132561,2473651,1948178,134251,171187
 "35000","New Mexico",6,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",214974,251537,291358,332185,403089,470914,572871,654227,717247,805985,919901,1068541,1237531,1352208,1465821,1614943,1744584,1861934,1990051,2148184,2393886,2592328,2856854,3108714,3403838,3692075,4065239,4430391,4596067,4863380,5144718,5548813,6261492,6830840,7297619,7807872,8446331,9315813,10059810,11625716,12400350,13128857,13397214,13513104,13765713,15461738,16879054,17276971,17360304,18542704,19447487,23640635,27041845,25848656,27029256
 "35000","New Mexico",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",492455,576415,650523,733845,829900,965362,1107037,1214986,1364187,1589139,1800151,2154228,2601859,3133923,3475058,3826834,4251828,4452723,4488085,4741008,5075515,5310500,5546554,5708793,6017172,6516010,7134450,7622546,8016981,8414628,7990913,8416401,8911646,8730530,8844757,9250531,10028823,11019074,12004016,13024662,12077718,11858392,13035500,14238399,13612175,14740763,14787050,15284443,15716264,16343227,17421745,17513660,18182121,19885015,22018987
 "35000","New Mexico",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064892,2082110,2090254,2096509,2095037,2096003,2099630,2101053,2103101,2110146,2118488,2116950,2113476,2114371
 "35000","New Mexico",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7877,8649,9597,10273,10820,11612,12384,12656,13010,13675,14514,15308,16044,16784,17595,18265,19191,19782,20509,21318,21523,23019,24545,25237,26108,27366,28744,30433,31780,33552,32901,33658,35069,35695,34858,36880,37753,38475,39197,40977,43224,46486,50691,53079,55343
 "35000","New Mexico",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2364,2539,2700,2967,3217,3471,3804,4137,4557,5115,5610,5999,6517,6764,7034,7551,7992,8092,8385,8802,9280,9815,10281,10825,11401,11758,12209,12395,12928,13437,13757,14871,15766,16288,16907,17784,18532,19422,19959,20487,19770,20225,21094,21220,20647,21374,21549,21827,22341,23292,24631,24576,26477,28810,30690
