GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "32000","Nevada",8,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2278607,2560413,2860381,3196764,3630058,4025238,4543971,5170461,5977935,7225731,8372017,9681438,10998173,11752694,12530750,13634293,14791280,15979144,17406994,19826291,22328914,25039231,27543572,30459859,32932912,36442306,40075451,44336734,48450166,54217238,58623619,64312598,68026741,69952742,74518428,82524683,92194143,99485129,103705970,102535875,96982751,100750401,104596400,108696140,108914362,115514106,125088591,129879146,138846976,148408130,159392975,170360814,191329733,198485107,211575439
 "32000","Nevada",8,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1790975,1985804,2195179,2438517,2755650,2991453,3308382,3778231,4413097,5345635,6146565,6995729,7759111,8027261,8456502,9168351,9867796,10641750,11794074,13547076,15040281,16801996,18178885,20158099,21876102,24185548,26510368,29453372,32423393,36670863,40394721,44348299,46896086,47997298,50675761,56294063,62550657,67346065,69049721,65764924,61246948,63767382,65714119,66457232,67657916,69979299,74594544,76798009,82360439,88050493,94252387,92359686,105650346,116439335,123531407
 "32000","Nevada",8,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",124926,147942,184244,218393,253800,315340,437636,490187,535165,604198,712456,865541,1055388,1175011,1285172,1376361,1511606,1685390,1798303,1974709,2279939,2608654,3220599,3644667,3849376,4036638,4379057,4714386,5025146,5351522,5582602,6000930,6789123,7651234,8218834,8876039,9577300,10349285,11313962,13361515,15265332,16826472,17051067,17195022,17571322,19270232,21088459,22304117,23433639,24936576,26781957,39318638,43262748,35632187,36705444
 "32000","Nevada",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",7548,9697,9911,10598,10464,20918,29598,32659,28996,29545,36209,52811,59668,60274,62809,63077,68240,77287,80297,98657,123064,145578,184036,235447,268220,299564,357315,389904,385984,402220,416724,431070,467712,583837,669204,718052,825611,864641,999981,1135742,1452023,1656700,1799090,1836445,1917752,2012415,2056909,2125173,2152772,2163772,2288390,2740063,4421845,5097755,2935458
 "32000","Nevada",8,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",8795,13821,22573,30795,25627,39730,78449,70740,54588,35411,37415,52217,68198,114924,116028,75069,70453,73865,68078,61872,62483,87357,154172,222037,191706,132578,135190,138878,159645,177112,193066,200324,296046,433539,390250,284840,238346,255573,340415,671903,1797975,1979777,1463899,1071342,768872,415613,388496,348410,333477,306820,299746,7926040,4544495,236278,371744
 "32000","Nevada",8,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",108583,124424,151760,177000,217709,254692,329589,386788,451581,539242,638832,760513,927522,999813,1106335,1238215,1372913,1534238,1649928,1814180,2094392,2375719,2882391,3187183,3389450,3604496,3886552,4185604,4479517,4772190,4972812,5369536,6025365,6633858,7159380,7873147,8513343,9229071,9973566,11553870,12015334,13189995,13788078,14287235,14884698,16842204,18643054,19830534,20947390,22465984,24193821,28652535,34296408,30298154,33398242
 "32000","Nevada",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",362706,426667,480958,539854,620608,718445,797953,902043,1029673,1275898,1512996,1820168,2183674,2550422,2789076,3089581,3411878,3652004,3814617,4304506,5008694,5628581,6144088,6657093,7207434,8220120,9186026,10168976,11001627,12194853,12646296,13963369,14341532,14304210,15623833,17354581,20066186,21789779,23342287,23409436,20470471,20156547,21831214,25043886,23685124,26264575,29405588,30777020,33052898,35421061,38358631,38682490,42416639,46413585,51338588
 "32000","Nevada",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2701967,2710520,2739941,2770049,2809771,2857017,2905604,2955631,3011627,3068943,3115840,3146632,3177421,3194176
 "32000","Nevada",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10942,11949,12975,13332,13893,14741,15553,16295,17009,18443,19632,20512,21250,22540,23337,24306,25339,26608,27464,29256,30301,31858,32418,32180,33136,35173,37907,39437,39870,38640,36125,37288,38589,39671,39319,41112,43783,44700,46977,49278,51937,54676,60805,62467,66238
 "32000","Nevada",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3731,4026,4222,4460,4844,5013,5337,5841,6508,7431,8033,8634,9154,9106,9376,9913,10376,10852,11525,12602,13224,13764,14025,14917,15502,16131,16762,17676,18380,19788,20879,21968,22349,22080,22534,23993,25718,26696,26547,24783,22814,23600,24244,24255,24425,24906,26109,26431,27866,29237,30712,29642,33576,36646,38674
