GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "36000","New York",2,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",83626257,89895425,96121001,102833594,109571703,118064617,127413860,134980837,145640377,158583699,173371724,193336283,215436642,234154698,252718689,279066436,298925027,319272979,339348059,373424007,403530094,432353696,433087824,457070947,469679135,484265850,510311719,536942300,567116455,600087225,635242742,683214301,709417581,707561130,717555330,749469308,777653227,836022632,899609888,920456535,906188251,943392743,995231357,1039791605,1051798103,1090000795,1137082289,1176654694,1255776700,1298669006,1343851182,1415297350,1509255184,1524707021,1611169298
 "36000","New York",2,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",62076423,66250513,69949017,74632451,78610986,82867102,86966002,92188717,99767180,109482922,119649145,130580298,142220840,152206771,164336665,180997101,195618417,211394371,230162636,253678574,269081996,289336572,283190092,301175793,308852364,316163898,329682844,347765099,371575564,394520640,426775435,462203094,482614598,480589358,483531102,502236435,515271172,548678347,583992175,586180236,578834035,607414909,639596357,665516327,675300368,695320317,719769604,743954125,786842114,823829724,846082415,842191854,908496657,945949900,986794037
 "36000","New York",2,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",7735011,8908863,10744444,11993488,13288688,15417976,19505937,20800119,21758731,22786351,24336744,27990635,31588108,34555281,37377372,39559098,41754843,44245838,45387119,48294931,53022952,58165404,64743574,72363763,76853613,80601199,85774610,89434649,89338318,93327732,96166747,100646255,107212678,116585763,121503312,130873782,130325537,137493181,143682569,157071275,172061946,182471397,185632567,184288360,185833936,190029058,200031090,205055306,221133638,214002204,230254259,318185966,333939765,283665916,294840210
 "36000","New York",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1270512,1564440,1913168,2026233,2023262,2501121,2937891,3235758,3456522,3536549,3599796,4187608,4398772,4680888,4993528,5200180,5406663,5761364,5809080,6291915,6733939,7513488,8513768,9662563,10631590,11389445,11979176,11668881,10650547,11493455,11641880,11566811,12110574,12927557,13408761,14311913,15125649,15670566,15931235,16626672,19668107,21121007,21372103,21849877,22132006,22443117,22392888,22120384,21552890,21335449,21705034,23956484,32238033,40009781,27747018
 "36000","New York",2,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",323488,531536,823112,839138,602403,837736,2164795,2073534,1636742,1326857,1045034,1309662,1091555,1293392,1490692,1306507,1250554,1194832,1054934,1044938,1320719,1790700,2630706,4715710,3434806,2297609,2172412,1980482,1758035,1595581,1621989,1676162,2657539,4271034,3947968,2642919,2435845,2258186,2179568,3330039,8421043,9273906,7491496,6933253,4998406,2547158,2341316,2206111,2200140,2056169,2056582,54768910,43277234,2040211,2405638
 "36000","New York",2,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",6141011,6812887,8008164,9128117,10663023,12079119,14403251,15490827,16665467,17922945,19691914,22493365,26097781,28581001,30893152,33052411,35097626,37289642,38523105,40958078,44968294,48861216,53599100,57985490,62787217,66914145,71623022,75785286,76929736,80238696,82902878,87403282,92444565,99387172,104146583,113918950,112764043,119564429,125571766,137114564,143972796,152076484,156768968,155505230,158703524,165038783,175296886,180728811,197380608,190610586,206492643,239460572,258424498,241615924,264687554
 "36000","New York",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",13814823,14736049,15427540,16207655,17672029,19779539,20941921,21992001,24114466,26314426,29385835,34765350,41627694,47392646,51004652,58510237,61551767,63632770,63798304,71450502,81425146,84851720,85154158,83531391,83973158,87500753,94854265,99742552,106202573,112238853,112300560,120364952,119590305,110386009,112520916,116359091,132056518,149851104,171935144,177205024,155292270,153506437,170002433,189986918,190663799,204651420,217281595,227645263,247800948,260837078,267514508,254919530,266818762,295091205,329535051
 "36000","New York",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19419964,19600908,19757479,19892169,20002008,20088855,20150838,20190489,20222664,20222325,20104710,19854526,19673200,19571216
 "36000","New York",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9832,11006,12263,13312,14288,15726,16801,17903,18991,20814,22439,23992,23898,25050,25561,26234,27549,28886,30398,31995,33641,35955,37176,36972,37420,39093,40645,43760,47020,47909,46936,48579,50775,52628,52875,54495,56603,58392,62196,64218,66454,70396,76016,77502,82323
 "36000","New York",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3429,3626,3809,4067,4321,4585,4823,5129,5589,6178,6785,7433,8096,8653,9291,10200,10995,11854,12881,14139,14963,16056,15626,16506,16808,17127,17798,18709,19917,21034,22601,24324,25291,25112,25216,26197,26932,28720,30524,30510,29980,31278,32631,33684,33948,34763,35829,36919,38971,40738,41839,41890,45758,48083,50421
 "36000","New York",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",427,488,585,654,730,853,1082,1157,1219,1286,1380,1593,1798,1965,2113,2229,2347,2481,2540,2692,2948,3228,3573,3966,4183,4366,4630,4811,4789,4976,5093,5297,5618,6092,6336,6826,6812,7197,7510,8176,8912,9396,9471,9328,9342,9500,9957,10176,10952,10582,11386,15826,16819,14419,15065
 "36000","New York",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",70,86,104,110,111,138,163,180,194,200,204,238,250,266,282,293,304,323,325,351,374,417,470,530,579,617,647,628,571,613,617,609,635,675,699,747,791,820,833,865,1019,1088,1090,1106,1113,1122,1115,1098,1067,1055,1073,1192,1624,2034,1418
 "36000","New York",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",18,29,45,46,33,46,120,115,92,75,59,75,62,74,84,74,70,67,59,58,73,99,145,258,187,124,117,107,94,85,86,88,139,223,206,138,127,118,114,173,436,478,382,351,251,127,117,109,109,102,102,2724,2180,104,123
 "36000","New York",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",339,373,436,497,586,668,799,862,934,1011,1117,1280,1486,1625,1747,1863,1973,2091,2156,2283,2501,2711,2958,3178,3417,3625,3866,4077,4123,4278,4390,4600,4844,5193,5431,5942,5894,6258,6563,7137,7457,7831,7998,7871,7978,8251,8726,8969,9776,9426,10211,11911,13016,12281,13524
 "36000","New York",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",763,806,840,883,971,1094,1161,1224,1351,1485,1666,1979,2370,2694,2884,3297,3460,3568,3570,3982,4528,4709,4699,4578,4570,4740,5121,5366,5693,5984,5947,6334,6267,5768,5868,6069,6902,7844,8987,9223,8043,7905,8673,9616,9585,10232,10816,11297,12273,12898,13229,12680,13439,15000,16838
 "36000","New York",2,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",70803749,75179247,79497388,85214226,90942602,96174857,100823878,107099769,115975087,127737172,140490034,153863806,168824908,181202665,195439621,215516567,233242093,252207346,273613065,301407791,318320493,338594370,333371632,356109135,364426623,373397731,390641156,412852549,441171536,469693251,505520129,548638706,572190478,568727600,574045385,600342956,620176352,664219316,712655457,717954304,695908232,732491226,762547281,792648274,814758168,843185214,873804878,901819007,955902952,1003389831,1040755631,1033155862,1120848039,1171081095,1228055764
 "36000","New York",2,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",57049665,60837002,63884832,68146125,73153079,77503113,80189797,84192941,89451550,97452827,106571952,116887823,128807482,138737297,148496085,163514222,176882778,190876728,206059376,223377456,233322840,245392960,245018173,258204754,263084589,269096144,280989016,296882365,315016781,339066583,360177591,394830380,404771436,394943984,401268289,426321771,446774444,481725942,523272288,534651950,496972900,518034712,537604594,553659189,564960114,601062805,627434227,641265920,675944501,708902641,741399326,734017642,797732660,854425744,895201857
 "36000","New York",2,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",7031478,7766264,8684597,9919488,10769750,11648987,13269799,14125935,15778152,17638659,19927219,22152765,25154913,27963805,30582844,33700990,36774648,40088303,42249090,45826828,49779226,52439077,55032779,60604464,62321972,64069706,65000478,65863039,67846160,72764764,76504146,82900417,85538860,88844511,94362381,99796406,105193867,109594532,116325682,121272769,122078287,126507660,128802866,132859157,141068251,142665475,148696228,148725002,157007772,166018377,172615206,173301231,180573970,181691270,189152155
 "36000","New York",2,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",4201256,4818539,5465335,6215104,6178283,6674036,8190585,8484874,9690690,10733001,12121907,13657614,15302176,17285176,19024056,20400683,22579726,24627221,25935300,27839033,31299081,33773986,35980767,40602743,41905500,42827918,43260792,43558305,44771385,48622441,51462024,55789169,57205740,60029379,64564924,68553546,72808576,75436723,80487754,84152880,86355911,89911582,90904327,93781481,100376570,99568038,103761250,103182466,109283430,117224112,121914433,123415218,126000641,123646423,126870320
 "36000","New York",2,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",2830222,2947725,3219262,3704384,4591467,4974951,5079214,5641061,6087462,6905658,7805312,8495151,9852737,10678629,11558788,13300307,14194922,15461082,16313790,17987795,18480145,18665091,19052012,20001721,20416472,21241788,21739686,22304734,23074775,24142323,25042122,27111248,28333120,28815132,29797457,31242860,32385291,34157809,35837928,37119889,35722376,36596078,37898539,39077676,40691681,43097437,44934978,45542536,47724342,48794265,50700773,49886013,54573329,58044847,62281835
 "36000","New York",2,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",6722606,6575981,6927959,7148613,7019773,7022757,7364282,8780893,10745385,12645686,13990863,14823218,14862513,14501563,16360692,18301355,19584667,21242315,25304599,32203507,35218427,40762333,33320680,37299917,39020062,40231881,44651662,50107145,58308595,57861904,68838392,70907909,81880182,84939105,78414715,74224779,68208041,72898842,73057487,62029585,76857045,87948854,96139821,106129928,108729803,99456934,97674423,111828085,122950679,128468813,126741099,125836989,142541409,134964081,143701752
 "36000","New York",2,CAINC30,220,"...","   Farm proprietors' income ","Thousands of dollars",320712,298662,282009,226551,314741,262008,174131,195348,100508,207742,290219,269177,286934,229198,91424,219738,285428,399033,476761,358496,464579,405076,280164,389904,400216,285005,108237,327766,-1288,226396,343903,282764,409605,76278,290654,509375,578564,383365,637831,871104,350757,928429,1312745,1069670,1428757,1385206,686315,408080,803579,369766,1087697,1137907,1416851,1734091,499235
 "36000","New York",2,CAINC30,230,"...","   Nonfarm proprietors' income ","Thousands of dollars",6401894,6277319,6645950,6922062,6705032,6760749,7190151,8585545,10644877,12437944,13700644,14554041,14575579,14272365,16269268,18081617,19299239,20843282,24827838,31845011,34753848,40357257,33040516,36910013,38619846,39946876,44543425,49779379,58309883,57635508,68494489,70625145,81470577,84862827,78124061,73715404,67629477,72515477,72419656,61158481,76506288,87020425,94827076,105060258,107301046,98071728,96988108,111420005,122147100,128099047,125653402,124699082,141124558,133229990,143202517
 "36001","Albany, NY",2,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1222715,1384440,1530814,1657409,1783091,1920264,2067910,2184206,2346577,2541905,2768973,3068715,3371100,3679548,3996633,4421276,4764489,5131394,5401945,5901495,6538903,6939715,7109586,7468574,7656993,7853687,8084680,8308335,8765590,9217741,9877779,10613847,10560011,10493122,10914853,11249338,11476555,11990809,12416803,13157307,13412590,14003474,14598320,15121745,15337648,16123733,16695928,16746709,17925152,18084599,19434199,21206453,23200548,23298217,24846423
 "36001","Albany, NY",2,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",927718,1053809,1160749,1255082,1328497,1398236,1447969,1518306,1616026,1764442,1899519,2023250,2161399,2342537,2525136,2845940,3081822,3378147,3632502,3989227,4318401,4664281,4706315,4964199,5082468,5185593,5220427,5350731,5640578,5911946,6572445,7242328,7105495,7168135,7427628,7673368,7744015,8075668,8268212,8621502,8813970,9212539,9535005,9903414,10034161,10511060,10737025,10754556,11365276,11451012,12097435,12352741,13624102,13924098,14682445
 "36001","Albany, NY",2,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",102397,119321,142640,159534,184559,214460,286127,315712,346511,363241,397399,474357,526513,560693,610999,611714,661925,671706,668430,696017,768284,805787,909996,1027079,1089992,1143900,1197305,1252580,1283489,1393982,1449529,1432867,1565469,1688723,1727322,1809104,1858617,1968647,1976254,2268812,2516266,2723477,2929451,2736547,2754579,2776049,3017967,3030418,3344162,3225032,3457594,4681073,4764126,4117526,4249883
 "36001","Albany, NY",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",8737,11018,14932,15797,15772,20848,26288,30658,32875,31998,32647,39842,42420,45451,45463,42419,43785,48003,49912,55326,64803,76849,88479,107993,119934,125713,124167,122757,117107,131123,129813,130095,143391,157095,163059,169138,172894,173470,180254,190336,226829,240763,244938,249026,250950,253230,250379,247322,240492,235938,241948,274584,365841,499145,299333
 "36001","Albany, NY",2,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",2622,5047,7300,7563,6128,9318,24867,24508,17931,14944,13979,17080,16320,17474,16649,12592,15198,15210,13134,13134,16078,18352,31733,49553,33786,25249,26392,21838,16969,15418,15795,17767,31718,46922,45548,32962,32851,32647,31708,50357,114462,126064,106714,99078,67140,32859,32273,31004,33287,30775,31473,667114,455056,24230,31114
 "36001","Albany, NY",2,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",91038,103256,120408,136174,162659,184294,234972,260546,295705,316299,350773,417435,467773,497768,548887,556703,602942,608493,605384,627557,687403,710586,789784,869533,936272,992938,1046746,1107985,1149413,1247441,1303921,1285005,1390360,1484706,1518715,1607004,1652872,1762530,1764292,2028119,2174975,2356650,2577799,2388443,2436489,2489960,2735315,2752092,3070383,2958319,3184173,3739375,3943229,3594151,3919436
