GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "40000","Oklahoma",6,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25413798,29286958,34192458,38159431,39088971,41896949,43595242,43867691,43620137,45584662,48472389,51112102,52723718,56001403,58200991,60762957,63357553,67111450,71071391,74943596,76956477,83332119,88609534,90711628,95275667,102917268,112487587,124536498,128994333,143654854,133218319,139695062,150301952,159875362,167796900,177635739,172726289,164709044,171995438,180823960,189996772,198348641,217544894,233290204,245439219
 "40000","Oklahoma",6,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",6338353,6890293,7399591,8178830,9238004,10091808,11103331,12270235,13727468,15643633,18235816,20612239,23699240,25964591,25858432,27670772,28429960,28580396,28492687,29694187,31353489,33098793,34011296,36243464,37841043,39220556,40174904,42682328,45738066,48256878,49563589,53462839,56865337,58283967,61331854,66988321,73601496,81381563,81708702,91436900,82067081,86202715,93403794,100006289,107806853,114456126,109473522,101204803,105615734,111143927,116456601,115516414,125839931,141018257,148361385
 "40000","Oklahoma",6,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",855497,981410,1130720,1239968,1405941,1663592,2051820,2250549,2392975,2574704,2955171,3418891,3882103,4376392,4801407,4981670,5321796,5657499,5886106,6231162,6628757,7133266,7804139,8730227,9180371,9752703,10532899,11054563,11358558,11588646,12105036,12796821,14132195,15097978,16091303,16998988,18260467,20003547,21446906,24058330,25944726,27687504,28023322,28641797,29259169,30177136,31254995,32298027,33603112,34791497,37240542,46788939,53459277,50723376,51959276
 "40000","Oklahoma",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",127538,134950,139492,136894,134102,197273,222698,246216,250395,248185,302459,367029,379842,363360,404843,426507,443993,483513,512478,560731,598807,663627,758357,902906,957111,1007455,1114096,1150036,1173588,1142726,1210288,1203014,1289621,1462455,1683314,1798176,1964377,2037005,2101050,2252953,2684773,2973765,3031960,2999142,3084049,3029971,3065248,3151285,3140585,3055024,3200233,3720042,5799942,7363964,4517470
 "40000","Oklahoma",6,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",13493,24265,45381,46130,37373,45012,117347,110743,79961,39185,54131,86602,76250,194449,292464,158921,178785,244492,165821,121663,108274,120008,151778,262718,216401,141549,131921,124720,103414,110455,141277,125480,197343,335118,396995,246445,179320,157879,179686,255116,885487,952081,614740,475344,340288,242407,356668,385624,266689,223814,247959,3559966,1662179,173514,172935
 "40000","Oklahoma",6,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",714466,822195,945847,1056944,1234466,1421307,1711775,1893590,2062619,2287334,2598581,2965260,3426011,3818583,4104100,4396242,4699018,4929494,5207807,5548768,5921676,6349631,6894004,7564603,8006859,8603699,9286882,9779807,10081556,10335465,10753471,11468327,12645231,13300405,14010994,14954367,16116770,17808663,19166170,21550261,22374466,23761658,24376622,25167311,25834832,26904758,27833079,28761118,30195838,31512659,33792350,39508931,45997156,43185898,47268871
 "40000","Oklahoma",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1260974,1453872,1633300,1734596,2008986,2324179,2580593,2827900,3175498,3677701,4222811,5255828,6611115,7818448,8429132,9244507,9843486,9629796,9241344,9659313,10490143,10880043,10908283,11027712,11179577,11789698,12649750,13374559,13974767,15098072,15287852,17072459,17612002,17329683,17852510,18929959,20625624,23151388,25838725,28159624,25206512,25804843,28874836,31227276,30730878,33002477,31997772,31206214,32776592,34888536,36299629,36043288,38245686,41548571,45118558
 "40000","Oklahoma",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759581,3786640,3815353,3848112,3871583,3901051,3916821,3920455,3928494,3943796,3965234,3991634,4019271,4053824
 "40000","Oklahoma",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9631,11044,11902,11880,12752,13326,13486,13588,14393,15387,16232,16604,17389,17895,18520,19152,20092,21071,22009,22390,24124,25557,25999,27184,29194,31699,34650,35493,39154,35835,37157,39693,41903,43605,45882,44277,42052,43871,46029,48176,50022,54500,58043,60545
 "40000","Oklahoma",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2500,2685,2826,3078,3429,3693,4006,4346,4790,5370,6140,6779,7654,8098,7859,8422,8691,8787,8876,9376,9953,10511,10711,11254,11635,11954,12144,12779,13560,14172,14420,15477,16401,16705,17499,19003,20741,22643,22482,24922,22075,22929,24667,26212,28016,29563,28063,25839,26940,28292,29529,29132,31526,35086,36598
