GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "41000","Oregon",8,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24389914,27037638,29153824,29990192,31912923,34539865,36298355,38195548,40028834,43729905,48034370,51924984,54721664,58422080,62515825,66933205,72043802,77668514,82276640,86877803,89931392,96913747,99785736,101042146,104729621,110580697,116073359,126600112,132605592,138899921,134391819,137926267,145345124,152601501,154851248,165171917,177478055,186104953,197262336,210044887,220029440,240173697,265378893,271773249,287182452
 "41000","Oregon",8,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",5887379,6253749,6816675,7699919,8618067,9590274,10359132,11849562,13283736,15287790,17219704,18448733,18940905,18707779,19739134,21531708,22652169,24122555,25777815,28385224,30737588,33486697,35195710,37850095,40505782,43468585,46052855,49858124,53595831,56970863,60032965,65060157,66341707,67088349,69455363,73598118,77404044,83430573,86155783,86846224,81967499,83679072,88350015,93324823,95077808,99993973,107296450,112980742,119671883,127577467,134075930,139034537,152755675,160633929,167962224
 "41000","Oregon",8,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",662089,804656,932144,1022445,1212637,1495834,1900900,2071138,2239172,2444249,2740257,3256127,3767308,4246664,4563646,4713201,4931211,5020003,5197155,5531122,6083369,6614836,7325104,8150520,8704088,9036453,10011044,10652010,10962813,11398703,12406190,13049374,14652391,15820822,16259022,16729645,17668973,19004425,20420803,23710498,27081083,29281723,29686568,29659117,30751476,33642954,35885904,36980314,38154831,40445497,42871517,56935957,63066313,57422063,59914439
 "41000","Oregon",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",48848,72703,85097,92163,105779,157018,204017,227127,249353,273570,280045,344673,360279,365626,387021,372595,388410,411051,410462,442572,501249,552565,649689,743993,789884,837083,916028,928064,976975,946097,1064318,986410,1132897,1275185,1403587,1515214,1715540,1837340,1940252,2234947,2758276,3112303,3187666,3221984,3225195,3219853,3258805,3090039,3018715,2938708,3038466,3687380,5703437,6718757,4500404
 "41000","Oregon",8,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",31131,56770,78976,75901,62711,107736,221044,185906,153627,105577,124346,246981,300423,430708,400486,266454,290651,204245,244469,215512,222651,280203,423278,598148,626625,436278,414183,433416,402080,436028,453435,414847,667258,1242124,1304910,722974,568541,514125,562125,989243,2619435,2573577,2000064,1511291,1107520,607261,559339,521146,529531,495541,533285,6213671,4411422,455954,719784
 "41000","Oregon",8,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",582110,675183,768071,854381,1044147,1231080,1475839,1658105,1836192,2065102,2335866,2664473,3106606,3450330,3776139,4074152,4252150,4404707,4542224,4873038,5359469,5782068,6252137,6808379,7287579,7763092,8680833,9290530,9583758,10016578,10888437,11648117,12852236,13303513,13550525,14491457,15384892,16652960,17918426,20486308,21703372,23595843,24498838,24925842,26418761,29815840,32067760,33369129,34606585,37011248,39299766,47034906,52951454,50247352,54694251
 "41000","Oregon",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1282718,1478707,1633995,1789065,2014736,2345680,2659633,2901014,3289530,3831403,4429953,5332778,6445611,7035749,7610143,8294956,8714975,9052990,9053864,9813559,11213413,11823451,12200850,12421465,13305955,14428167,15979903,17158380,17717996,18508237,17492237,18804216,18791638,18132975,19015236,20252934,21000342,24165114,26029006,28343199,25343237,24965472,27308541,29617561,29021964,31534990,34295701,36143897,39435622,42021923,43081993,44203203,49556905,53717257,59305789
 "41000","Oregon",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837611,3872655,3900071,3924064,3965387,4018466,4093179,4147186,4183414,4215976,4245044,4256465,4239379,4233358
 "41000","Oregon",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9460,10237,10927,11254,12029,12953,13581,14233,14820,15952,17213,18153,18686,19528,20428,21444,22624,23919,24900,25915,26498,28257,28774,28759,29523,30980,32125,34488,35624,36856,35286,35941,37531,39128,39462,41653,44166,45467,47565,50209,52189,56577,62347,64107,67838
 "41000","Oregon",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2855,2977,3171,3508,3849,4204,4456,4995,5446,6092,6679,6985,7099,7020,7440,8075,8476,8989,9544,10355,11015,11707,12018,12651,13236,13927,14462,15355,16220,16994,17688,18970,19130,19095,19579,20619,21423,22728,23145,23044,21522,21805,22814,23929,24229,25217,26701,27602,28856,30496,31802,32752,35888,37891,39676
 "41000","Oregon",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",321,383,434,466,542,656,818,873,918,974,1063,1233,1412,1594,1720,1768,1845,1871,1924,2018,2180,2313,2501,2724,2844,2895,3144,3280,3318,3400,3655,3805,4225,4503,4583,4687,4890,5177,5486,6291,7111,7630,7666,7605,7837,8484,8930,9035,9200,9668,10169,13412,14817,13545,14153
 "41000","Oregon",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",24,35,40,42,47,69,88,96,102,109,109,130,135,137,146,140,145,153,152,161,180,193,222,249,258,268,288,286,296,282,314,288,327,363,396,424,475,501,521,593,724,811,823,826,822,812,811,755,728,702,721,869,1340,1585,1063
