GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "42000","Pennsylvania",2,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108710086,119133879,131383551,140328325,147211666,158758804,168297891,177003246,186827586,203001535,219826972,232899904,242842842,255911487,265557213,274855910,287343845,301835572,317130456,334421754,348489158,372690713,388186257,395633311,409185840,432634650,450359695,472940608,502658788,522993816,512318194,535335505,563528870,584880333,589720173,611421707,635818019,653328866,671702754,707043419,729329499,782958904,830114921,848382623,893649165
 "42000","Pennsylvania",2,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",35191901,37186473,38851373,42323117,46150272,49898352,53085197,57908206,63785711,70644174,77659162,82265793,87932227,90018623,93648342,101904889,107835520,113589008,122771806,133876372,143415116,151210750,155231059,165901555,172007618,178405151,185135856,193687247,204476632,217204125,230226599,245864635,257149816,263450776,273334687,292792163,304576502,315094148,330708658,335939820,325371877,341584122,361775709,374673895,382920489,394414735,409061582,417558976,429285590,445874262,459901784,457705093,487826767,515246107,538362363
 "42000","Pennsylvania",2,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",3992258,4913987,5774880,6526814,7304548,8539418,10827570,12030160,12782592,13722035,15451543,17710601,19936594,22831402,24688193,24849140,26001426,27419488,28046389,29546905,31426335,34293004,39607289,42155256,44371294,45435941,47453209,50402439,51500749,52229089,54578560,57913637,61874046,65647234,68278371,70831233,76100958,79916045,85366941,95049416,103529128,110981577,111505992,111614485,113327310,117162957,122734630,128887057,130025252,139060033,143612780,195105138,205588518,181311767,187673732
 "42000","Pennsylvania",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",422355,630211,787916,844739,790968,996262,1222596,1450657,1580953,1611627,1733270,2041985,2206083,2222938,2350178,2372047,2383073,2464719,2418392,2551791,2638408,2969263,3364078,3821687,4064146,4237541,4603937,4647001,4397489,4481760,4350135,4545445,4450466,4828622,5149079,5664722,6168591,6478436,7086708,7527287,8794768,10025577,10244892,10592993,10694332,11062799,11368987,11447728,11627255,11625235,11423850,12279282,17517281,20750158,13119906
 "42000","Pennsylvania",2,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",135389,243107,381762,520132,387666,547004,1321111,1397350,1226693,953468,937444,1404294,1269577,2212311,2506306,1325812,1208102,1175294,989055,885869,1011636,1250750,1811274,2799293,2595912,1781348,1632432,1697770,1500285,1465509,1464666,1558398,2237198,3467254,3612429,2477231,2164494,2134067,2321396,3414406,8046884,8279698,6524054,5389175,4067195,2372714,2255440,2251919,1990342,1841178,1818645,31040642,17625737,1220054,1638594
 "42000","Pennsylvania",2,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",3434514,4040669,4605202,5161943,6125914,6996152,8283863,9182153,9974946,11156940,12780829,14264322,16460934,18396153,19831709,21151281,22410251,23779475,24638942,26109245,27776291,30072991,34431937,35534276,37711236,39417052,41216840,44057668,45602975,46281820,48763759,51809794,55186382,57351358,59516863,62689280,67767873,71303542,75958837,84107723,86687476,92676302,94737046,95632317,98565783,103727444,109110203,115187410,116407655,125593620,130370285,151785214,170445500,159341555,172915232
 "42000","Pennsylvania",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",6161947,6743251,7209208,7729858,8578128,9695394,10559964,11344850,12605788,13905790,15599381,19157485,23514730,27478300,28875131,32004775,34460945,35994750,36009391,39578258,44985521,47396150,48004494,47854676,49178301,51014818,54754780,57745886,61153075,64988540,63683999,68912441,69162395,66535301,67572782,69011254,69682235,77930415,86583189,92004580,83417189,82769806,90247169,98591953,93472374,99844015,104021807,106882833,112391912,122109124,125814935,130148673,136699636,151824749,167613070
 "42000","Pennsylvania",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12995477,13013614,12972091,12961683
 "42000","Pennsylvania",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9156,10038,11079,11847,12436,13437,14298,15022,15818,17137,18526,19566,20267,21238,21911,22592,23556,24699,25935,27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42098,44120,45638,45904,47469,49293,50574,51888,54468,56139,60249,63788,65401,68945
 "42000","Pennsylvania",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2997,3148,3269,3555,3883,4206,4462,4871,5368,5954,6541,6932,7415,7600,7911,8625,9161,9640,10395,11302,12086,12703,12955,13768,14192,14664,15177,15849,16722,17737,18773,20015,20908,21365,22088,23592,24464,25186,26322,26636,25687,26861,28324,29236,29807,30621,31713,32323,33161,34349,35400,35220,37486,39720,41535
