GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "46000","South Dakota",4,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2076428,2257360,2473054,2855440,3605287,3612015,3972044,3932814,4462560,5142463,5665386,5716533,6653389,7011777,7277146,8268309,8481217,8847038,9303519,9740433,10481322,11483857,11981980,12935102,13520170,14573911,14864750,16415457,16797726,18102888,18948924,20201161,20892158,20898499,22822717,24553198,26005396,27393137,30342539,32676797,31827060,33682881,36654995,37469645,37840240,39607122,41160093,41551502,42989296,45143987,48013864,52763741,60077726,63440062,66619509
 "46000","South Dakota",4,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1561304,1672279,1821421,2134145,2772896,2627785,2832107,2688061,3086877,3614051,3934490,3612214,4111008,4142854,4298885,5069252,5155196,5399578,5851901,6108020,6485009,7251700,7549054,8301377,8667536,9477169,9302028,10494442,10592599,11513972,12103611,12839583,13039643,13008941,14585781,15903482,16778612,17240107,19075569,20258204,19848968,21124718,23558121,23576096,24266954,24994641,25607644,25386394,26001550,27628620,29264785,31703111,35045463,37779285,39432579
 "46000","South Dakota",4,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",194204,221865,255218,282359,327384,382583,456344,502826,530000,575072,649243,760734,871627,968745,1042219,1101817,1171179,1219720,1259619,1317643,1444809,1539720,1656276,1800195,1894834,2004622,2141980,2262009,2321369,2388888,2483412,2657796,2873731,3065196,3164636,3337488,3573345,3881604,4161118,4734583,4978208,5378165,5470445,5475875,5605427,5936088,6276308,6554924,6853050,7191405,7626321,9692551,11243072,10884902,10992974
 "46000","South Dakota",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",14412,19440,21601,24882,24483,34461,37453,43920,43137,41076,49350,68770,67007,72483,79548,79562,84437,93107,94412,104189,112244,118736,131768,151595,161545,167058,182194,196538,195110,192514,195901,199250,209835,231318,257276,275680,301956,313523,353196,374762,451315,525684,538351,532353,545314,542261,598933,589747,596096,598472,631680,693253,1327912,1680548,1183319
 "46000","South Dakota",4,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",4425,3712,5378,6461,5452,7091,15253,16383,15268,12765,13342,20910,18271,23202,19640,13860,18549,17690,14383,14866,11592,12192,14003,17871,16821,14347,14577,16831,16479,15035,15083,16497,22918,36262,39065,33288,29297,26519,24717,31930,86850,85902,61390,49376,40207,31817,31687,34597,34498,30740,30329,335771,71972,25342,29312
 "46000","South Dakota",4,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",175367,198713,228239,251016,297449,341031,403638,442523,471595,521231,586551,671054,786349,873060,943031,1008395,1068193,1108923,1150824,1198588,1320973,1408792,1510505,1630729,1716468,1823217,1945209,2048640,2109780,2181339,2272428,2442049,2640978,2797616,2868295,3028520,3242092,3541562,3783205,4327891,4440043,4766579,4870704,4894146,5019906,5362010,5645688,5930580,6222456,6562193,6964312,8663527,9843188,9179012,9780343
 "46000","South Dakota",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",320920,363216,396415,438936,505007,601647,683593,741927,845683,953340,1081653,1343585,1670754,1900178,1936042,2097240,2154842,2227740,2191999,2314770,2551504,2692437,2776650,2833530,2957800,3092120,3420742,3659006,3883758,4200028,4361901,4703782,4978784,4824362,5072300,5312228,5653439,6271426,7105852,7684010,6999884,7179998,7626429,8417674,7967859,8676393,9276141,9610184,10134696,10323962,11122758,11368079,13789191,14775875,16193956
 "46000","South Dakota",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816078,823160,832800,841206,847634,852134,860650,870163,875300,882507,887852,896299,909869,919318
 "46000","South Dakota",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8275,9648,10153,10501,11858,12144,12711,13366,13952,15044,16474,17028,18147,18722,19943,20144,22117,22571,24265,25251,26727,27563,27497,29883,31871,33534,34983,38330,40891,39435,41274,44530,44992,44983,46727,48302,48279,49404,51575,54406,59429,67029,69724,72466
 "46000","South Dakota",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2337,2509,2713,3151,4084,3865,4156,3914,4480,5243,5710,5229,5962,5999,6203,7270,7381,7758,8407,8749,9308,10403,10728,11646,12002,12968,12606,14139,14233,15433,16129,16987,17203,17117,19098,20643,21636,22017,24097,25351,24594,25886,28619,28309,28848,29488,30051,29497,29881,31565,33161,35708,39100,41522,42893
