GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "47000","Tennessee",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",11815600,12849372,14188137,15970576,18141651,20073602,21893630,24519691,27175753,30979262,34544015,38090043,42374357,45036017,48073556,53445267,57197621,61206494,65770270,71613065,76875704,81787247,86093139,94022364,100041604,106433967,114276071,120649337,127785224,139760336,145231941,153990107,158125252,162879395,169929514,179892943,188177577,200188916,209746788,218372476,217094703,227613018,241431730,252592322,254464603,263856025,277356111,286532273,299307669,316176537,335601718,359872945,400467617,417369321,443472007
 "47000","Tennessee",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",9427808,10034701,10990387,12429258,14031935,15172918,15954958,18056821,20164654,23127331,25507468,27139018,29473123,30494603,32555397,36443871,39131539,41995652,45853218,49751111,52718658,55667765,58258429,64321202,68645648,73231659,77920136,82251767,87693573,97421140,101886940,107444544,109138064,113068749,117551893,125218938,130309835,138014779,141488803,142696148,140536174,146030384,156364883,164385883,166160296,173033355,181855550,188185322,196101397,206495972,217472028,224341760,250844031,268414964,284436365
 "47000","Tennessee",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",977840,1197077,1396549,1538849,1816799,2220687,2933844,3207067,3366660,3673379,4275691,5159033,5846299,6414513,6887663,7211375,7664086,8228411,8667353,9316576,10256837,11353972,12913994,14529377,15582168,16347817,17926308,18875873,19623982,20492371,21376816,23195042,25290271,27125910,28791342,30623811,32764028,34598213,38039985,42771646,46019897,50410526,51386177,51888588,53429009,54081570,56892503,58148252,60034755,62929765,67016856,84109607,93441429,86048555,88579177
 "47000","Tennessee",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",97859,164278,184549,192826,200817,300972,369502,426836,425296,438223,522591,688305,757328,730616,756041,755844,769658,815474,844611,952891,1074047,1227648,1439610,1741277,1891875,1981244,2140848,2251801,2281714,2288637,2406877,2379839,2437908,2854868,3112331,3332022,3687881,3889213,4361934,4661805,5657373,6236999,6357483,6459036,6527517,6305550,6126251,5932839,5835733,5607105,5902913,7055887,10893945,11690929,7662612
 "47000","Tennessee",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",36267,58015,80582,67772,50276,87277,302970,245428,187311,136918,182181,317641,290958,454306,372239,194619,210434,207352,197186,207996,219909,275466,387670,496953,412250,296647,295855,342077,340201,349357,351908,388489,605775,811909,775133,539218,470942,455751,489212,739356,1913926,1712059,1623401,941847,664336,375849,323991,261693,245948,229942,215458,5752702,1992240,148517,197921
 "47000","Tennessee",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",843714,974784,1131418,1278251,1565706,1832438,2261372,2534803,2754053,3098238,3570919,4153087,4798013,5229591,5759383,6260912,6683994,7205585,7625556,8155689,8962881,9850858,11086714,12291147,13278043,14069926,15489605,16281995,17002067,17854377,18618031,20426714,22246588,23459133,24903878,26752571,28605205,30253249,33188839,37370485,38448598,42461468,43405293,44487705,46237156,47400171,50442261,51953720,53953074,57092718,60898485,71301018,80555244,74209109,80718644
 "47000","Tennessee",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1409952,1617594,1801201,2002469,2292917,2679997,3004828,3255803,3644439,4178552,4760856,5791992,7054935,8126901,8630496,9790021,10401996,10982431,11249699,12545378,13900209,14765510,14920716,15171785,15813788,16854491,18429627,19521697,20467669,21846825,21968185,23350521,23696917,22684736,23586279,24050194,25103714,27575924,30218000,32904682,30538632,31172108,33680670,36317851,34875298,36741100,38608058,40198699,43171517,46750800,51112834,51421578,56182157,62905802,70456465
 "47000","Tennessee",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356320,6404344,6463111,6507640,6558710,6612901,6672356,6739437,6806545,6862378,6926091,6963709,7048976,7126489
 "47000","Tennessee",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8280,9157,9693,10317,11403,12130,12916,13751,14850,15836,16710,17334,18619,19472,20345,21452,22274,23237,25091,25756,26998,27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37698,39082,39102,40230,41942,42943,44411,46452,48905,51959,57508,59210,62229
 "47000","Tennessee",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2419,2549,2741,3040,3391,3611,3745,4171,4581,5184,5627,5899,6369,6564,6987,7776,8299,8862,9587,10317,10860,11374,11730,12738,13361,13998,14628,15185,15947,17490,18069,18838,18978,19508,20102,21185,21751,22667,22910,22841,22286,22974,24415,25434,25533,26382,27500,28204,29098,30338,31690,32391,36022,38079,39913
