GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "48000","Texas",6,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124674852,143179438,168206050,185427375,198102234,216621133,233449005,238841027,242766096,258008140,275613291,297664403,311648483,336384637,356047525,376212519,402352739,432484526,472267790,514882580,543797610,591738336,631080209,639443134,664814928,696381313,754775858,827439656,878902412,968499295,923470728,982052761,1074857967,1142887491,1173747415,1257639593,1281170135,1276330590,1367826004,1463789844,1537205699,1602183364,1779913078,1891498618,2020899012
 "48000","Texas",6,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",30284818,32782164,35191773,39020331,44006635,48892734,55310968,63163970,70990180,81989129,94455233,106731999,124397700,133588627,140070984,152626620,162929961,165588312,169538217,180074313,190737440,207283937,217082589,234749318,249965625,263315920,279659234,301942849,333452589,367927944,393034019,428562435,458460580,462132200,475151303,498515066,532800591,585887445,612961487,655015046,617674245,657040370,720802937,768137284,796198734,851783088,856726112,850432946,909066286,973888440,1017480351,1005003089,1101121470,1226322937,1301885809
 "48000","Texas",6,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",2644021,3139405,3666571,4116356,4950152,5904276,7380449,8072998,8587741,9559574,10902886,12770324,14505188,16513466,18640354,19818203,21176333,23217284,24412198,25668846,28248255,31613285,35139712,41555769,44468158,47807601,51951718,55571203,58165564,59395578,61134547,64787073,70961668,78060246,83497662,88040562,97554417,104228036,114522442,130228188,142786014,158614486,164222353,163711977,169515223,178067004,190022608,199395198,204265786,213886215,226357476,306190370,355944306,301534612,318431734
 "48000","Texas",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",242586,327635,382522,386750,427445,688802,752224,825779,800722,819609,992032,1273830,1394707,1402664,1597505,1686727,1818549,2067470,2256010,2635189,3134626,3713614,4361644,5321391,5781757,6257936,6881387,7316121,7378947,7324064,7301266,7413230,7830199,8938971,10154174,11152413,13015243,13345958,13781654,15284015,17975807,20521646,21280905,21467699,21737968,21948598,21967807,22088414,23235365,21670453,22760668,26335354,45121095,30925387,24234909
 "48000","Texas",6,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",37456,73328,116263,117445,88713,112612,320438,263099,208486,184681,225208,347953,315240,693588,1186366,706138,714501,1240111,1139008,815307,764285,825086,1095271,1975177,1819763,1202616,1078284,1063582,1021078,1029335,1273065,1103874,1647991,2934646,3004908,1913595,1423567,1247320,1262942,2007733,6149913,7031236,5631405,4737815,3667103,2333115,2867622,3115783,2585702,2088675,2185820,34232601,18885137,1898782,2614594
 "48000","Texas",6,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",2363979,2738442,3167786,3612161,4433994,5102862,6307787,6984120,7578533,8555284,9685646,11148541,12795241,14417214,15856483,17425338,18643283,19909703,21017180,22218350,24349344,27074585,29682797,34259201,36866638,40347049,43992047,47191500,49765539,51042179,52560216,56269969,61483478,66186629,70338580,74974554,83115607,89634758,99477846,112936440,118660294,131061604,137310043,137506463,144110152,153785291,165187179,174191001,178444719,190127087,201410988,245622415,291938074,268710443,291582231
 "48000","Texas",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",5646113,6575432,7257881,8036743,9156227,10735264,12055273,12990614,14400687,16744572,19316733,23677115,29303162,35325282,39390896,44176310,49342711,50035431,48815681,52264981,56627596,58767181,59426182,60079550,61613742,65088998,70741787,74970474,80649637,87559058,89629044,98388828,101657961,99250688,106165963,109825685,124420850,137324175,151418483,183256061,163010469,166397905,189832677,211038230,208033458,227789501,234421415,226502446,254493932,276015189,293367872,290989905,322847302,363641069,400581469
 "48000","Texas",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25238863,25630063,26055816,26438164,26907878,27399070,27830020,28192251,28510878,28857754,29234361,29561286,30029848,30503301
 "48000","Texas",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9986,11407,12095,12577,13533,14346,14422,14605,15480,16399,17451,17913,18941,19604,20266,21223,22362,23924,25543,26452,28253,29601,29481,30176,31097,33136,35422,36879,39841,37234,38910,41937,43863,44396,46739,46760,45862,48518,51341,53268,54805,60211,62987,66252
 "48000","Texas",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2742,2917,3058,3318,3661,3985,4401,4895,5381,6074,6802,7444,8436,8713,8892,9535,10012,9999,10200,10804,11349,12153,12477,13218,13763,14184,14751,15612,16892,18253,19118,20462,21504,21306,21567,22261,23391,25081,25720,26945,24904,26033,28123,29480,30116,31656,31268,30558,32245,34158,35258,34377,37249,40837,42680
