GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "50000","Vermont",1,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4014867,4506540,5061344,5491146,5906012,6480322,7031154,7564819,8173313,8965124,9903085,10293914,10507320,11227015,11661131,12223050,12862199,13545648,14358996,15458643,16326189,17680211,18797433,19198107,19945829,21049089,21477398,22803466,24062984,25449395,25216382,25988718,27547769,28291866,28665970,29724479,30597984,31073264,31960192,33117074,34837966,37376690,39354585,41171645,43335888
 "50000","Vermont",1,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1117636,1205082,1278112,1403927,1531015,1612989,1711236,1932545,2105393,2464116,2761230,3004876,3280537,3453835,3714134,4092219,4487545,4884151,5434266,5930894,6420412,6603285,6672149,7194735,7503000,7829329,8080524,8560805,9009151,9742781,10541836,11476604,12220766,12654276,13100903,13846088,14246596,14672053,15129666,15583778,15405534,16062360,16961385,17283836,17409906,17611228,18006602,18286741,18867026,19519213,20416881,20703262,22408134,23954447,24957412
 "50000","Vermont",1,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",144168,171554,204864,230253,262239,315183,401211,432265,442278,467445,530356,628553,724890,806765,864293,889858,928583,956662,971231,1025372,1121449,1250727,1378519,1559523,1628503,1724731,1869719,1932044,2033848,2117081,2263965,2437210,2672619,2855663,2989358,3122634,3400452,3779688,4180466,4660524,5058443,5347524,5397016,5524696,5797319,6061419,6266257,6399116,6482943,6646910,6879927,9162922,9402564,8894947,9101871
 "50000","Vermont",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",15252,19294,25071,28539,29395,42771,55085,63176,56267,56388,65483,89413,102922,101392,105929,104761,105734,109762,106986,111331,120241,141245,166027,195441,198802,211984,224038,209596,225779,221149,233690,238850,243288,259219,270438,286402,316285,331548,438507,466817,522431,550938,558663,571227,607359,588799,482542,466636,469063,458252,471473,515655,725630,935662,620908
 "50000","Vermont",1,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",4806,8555,16542,19198,15256,22399,48844,43716,33992,22816,23382,35300,35057,51941,53053,36438,34135,30296,25095,23586,30768,52762,80669,90822,83419,59306,52517,53226,49728,46382,46174,44722,64719,112057,120498,83466,80049,84799,90301,123264,267316,223620,163866,127204,97401,78132,71730,68991,66047,62852,62494,1148076,575865,47085,37756
 "50000","Vermont",1,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",124110,143705,163251,182516,217588,250013,297282,325373,352019,388241,441491,503840,586911,653432,705311,748659,788714,816604,839150,890455,970440,1056720,1131823,1273260,1346282,1453441,1593164,1669222,1758341,1849550,1984101,2153638,2364612,2484387,2598422,2752766,3004118,3363341,3651658,4070443,4268696,4572966,4674487,4826265,5092559,5394488,5711985,5863489,5947833,6125806,6345960,7499191,8101069,7912200,8443207
 "50000","Vermont",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",253631,287295,319315,354887,390628,435855,479338,511206,572425,641851,723281,873111,1055917,1230546,1327585,1498245,1615026,1724006,1767816,2008858,2361224,2439902,2456652,2472757,2529628,2668990,2911956,3052799,3315997,3598781,3520388,3766397,3904048,3688168,3855568,4080367,3830350,4351725,4752852,5205093,4752405,4578834,5189368,5483334,5458745,6051832,6325125,6387407,6610223,6950951,7541158,7510506,7543887,8322251,9276605
 "50000","Vermont",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,626360,629582,630661,632824,633827,635874,636342,639061,640667,641838,642936,647093,647110,647464
 "50000","Vermont",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7939,8793,9817,10578,11286,12305,13265,14165,15128,16307,17757,18226,18479,19602,20184,20936,21837,22816,24042,25747,27000,29002,30704,31194,32282,33955,34573,36609,38595,40774,40358,41492,43756,44861,45298,46897,48120,48831,50011,51692,54278,58134,60818,63624,66932
 "50000","Vermont",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2558,2700,2813,3031,3268,3409,3566,3983,4278,4945,5460,5863,6363,6653,7097,7770,8467,9145,10058,10788,11512,11691,11734,12562,12987,13410,13719,14419,15085,16227,17434,18826,19961,20561,21204,22335,22933,23555,24266,24968,24656,25644,26941,27406,27511,27786,28318,28737,29523,30467,31810,32201,34629,37018,38546
