GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "02000","Alaska",8,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546412,6285382,7150519,8730130,9513851,10114887,10962051,11060492,10592902,11059926,12101339,12840241,13409556,14263462,14997575,15499862,15937679,16376600,17297519,18155936,18706617,20092171,21287123,22331474,23372138,24429161,26019615,27696199,29761264,32860667,32995420,35374322,37870572,38997090,38565077,40642115,41918639,41285498,41919375,43522749,44459670,45339636,48183676,50606751,52519998
 "02000","Alaska",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1574055,1797104,1982542,2164798,2505940,3040682,4153051,4889502,5077419,5230902,5543043,6282111,7148654,8727716,9511491,10112742,10960391,11054006,10583640,11049423,12095926,12832151,13400876,14254745,14986612,15487851,15924690,16363246,17281904,18139291,18688095,20071815,21267560,22312382,23360841,24415066,26006076,27686633,29752628,32861024,32991154,35369543,37866435,38987719,38559458,40635877,41912183,41275560,41912963,43515115,44451524,45332742,48169547,50598670,52518795
 "02000","Alaska",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",1251,1849,1582,1960,1711,1963,3757,3791,4458,4983,3369,3271,1865,2414,2360,2145,1660,6486,9262,10503,5413,8090,8680,8717,10963,12011,12989,13354,15615,16645,18522,20356,19563,19092,11297,14095,13539,9566,8636,-357,4266,4779,4137,9371,5619,6238,6456,9938,6412,7634,8146,6894,14129,8081,1203
 "02000","Alaska",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714014,722511,731106,738057,737638,739127,743410,741949,737717,734823,732964,734923,733276,733406
 "02000","Alaska",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13744,15507,17086,19417,19479,19690,20586,20322,19642,20406,22117,23207,23518,24227,25020,25691,26369,26910,28219,29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55535,56499,58997,60504,61858,65563,69015,71611
 "02000","Alaska",8,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",1435630,1623536,1787335,1957403,2160731,2864653,4431653,5493765,5083939,4969107,5186469,5860473,6776533,7844140,8774150,9286620,9769034,9603435,9040303,9453672,10318104,10935820,11457965,12119033,12568767,12889246,13080430,13289883,13885401,14527361,14882097,15867110,17029542,18028572,18955972,19934489,21169408,22333919,23393313,24425916,25422826,26937853,28437092,29480679,29693231,30367977,31209356,30384981,30445976,31385975,31987944,31604450,33158340,34793152,37272716
 "02000","Alaska",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",93668,105479,118327,134133,165446,240732,407514,526293,463244,435197,468145,511068,652684,766421,851555,952299,975994,924670,871201,948591,1047868,1169485,1238602,1306942,1387479,1441874,1454640,1458553,1504896,1548437,1569942,1644198,1737867,1843725,1903804,2028514,2178900,2378231,2476718,2557019,2599514,2676088,2544967,2697423,3122775,3115890,3164286,3054823,3082385,3152849,3276041,3259673,3470188,3749284,4025956
 "02000","Alaska",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",36855,40636,44239,49230,61693,90597,150426,188757,167666,159481,174149,190637,245365,286435,329459,356493,388438,387594,368967,411502,467397,528641,564913,583672,616827,647349,664616,673132,704827,732080,745525,783746,840321,893623,925646,982952,1050506,1154177,1222260,1270295,1291084,1338171,1100821,1146258,1516350,1548140,1587241,1545269,1572863,1626099,1711796,1700499,1797616,1944531,2095018
 "02000","Alaska",8,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",56813,64843,74088,84903,103753,150135,257088,337536,295578,275716,293996,320431,407319,479986,522096,595806,587556,537076,502234,537089,580471,640844,673689,723270,770652,794525,790024,785421,800069,816357,824417,860452,897546,950102,978158,1045562,1128394,1224054,1254458,1286724,1308430,1337917,1444146,1551165,1606425,1567750,1577045,1509554,1509522,1526750,1564245,1559174,1672572,1804753,1930938
 "02000","Alaska",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-25226,-45915,-59927,-75021,-92863,-208861,-609898,-879212,-451679,-323956,-273610,-328786,-457079,-547879,-606305,-620216,-616109,-561190,-525698,-552117,-618287,-624656,-668795,-705311,-726172,-741438,-745763,-769077,-776901,-822099,-826793,-877709,-862962,-791015,-699597,-607355,-512150,-419566,-307736,-173233,-178639,-179839,-194369,-205444,-206378,-219950,-223543,-194639,-181568,-191483,-196627,-189461,-188121,-199279,-219251
