GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "05000","Arkansas",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",5128531,5626520,6263108,7071222,8376080,9353548,10292084,11378923,12661751,14668793,16089121,17396286,19702982,20696485,21946842,24446529,25982293,27302960,28356851,30489773,32694750,34456200,36494274,39697534,41622845,44252233,47112248,49969528,52480597,55686342,57922066,60886171,64168556,65698816,69656369,74308675,77990351,82891649,88410652,92435635,90992265,94126992,100449543,107007376,107209282,113171547,116632432,119758840,123825419,128970824,131394751,141985729,160036742,168534750,176809081
 "05000","Arkansas",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",4785881,5214824,5859662,6593200,7467870,8526621,9504729,10747581,11946353,13503319,15105058,17035048,18862866,20063420,21537788,23572913,25127094,26507106,27432098,29156578,31470347,33424220,35383072,38284152,40304435,42802796,45647297,48063324,50684753,54104462,56132496,59198307,62175165,64445109,67267728,71558956,76136520,81400475,86547402,90841298,90068313,93469016,99744692,105902898,104692062,110903111,115316548,118820312,122236836,127621497,130677455,141358400,157855923,165058154,174574989
 "05000","Arkansas",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",342650,411696,403446,478022,908210,826927,787355,631342,715398,1165474,984063,361238,840116,633065,409054,873616,855199,795854,924753,1333195,1224403,1031980,1111202,1413382,1318410,1449437,1464951,1906204,1795844,1581880,1789570,1687864,1993391,1253707,2388641,2749719,1853831,1491174,1863250,1594337,923952,657976,704851,1104478,2517220,2268436,1315884,938528,1588583,1349327,717296,627329,2180819,3476596,2234092
 "05000","Arkansas",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921561,2938833,2948887,2954685,2961191,2970352,2980602,2990801,2997271,3004248,3014348,3028443,3046404,3067732
 "05000","Arkansas",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7601,8592,9021,9518,10538,11165,11708,12106,13015,13934,14621,15313,16431,16945,17743,18582,19427,20176,21203,21842,22731,23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34180,36287,36285,38218,39266,40179,41402,43029,43736,47103,52845,55323,57635
 "05000","Arkansas",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",4120559,4440853,4910658,5604915,6686519,7300970,7732316,8631611,9693202,11379017,12314944,12646768,14043616,14288510,15236618,17306577,18299949,19338326,20528738,22263586,23477246,24803416,26368021,28994227,30450359,32533069,34304647,36182943,37887016,40410036,42655351,44708938,46778228,47831689,51021257,54285999,56138078,58320337,60583022,60809083,59361596,61168363,63572664,66664113,69310566,71155917,72094117,72921701,75963666,77996409,80852239,83568774,91722525,98774618,103182339
 "05000","Arkansas",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",278076,296095,340037,404704,524375,608524,638331,744772,847290,987347,1133719,1219986,1422240,1497994,1638329,1868653,2005443,2140765,2251236,2506564,2674759,2965450,3149236,3409381,3618934,3908221,4109682,4251486,4460136,4734010,4962063,5196040,5349797,5538563,5746433,6030076,6386883,6814682,7094866,7390924,7391967,7602572,7115359,7257659,8239762,8599271,8866044,8981131,9311512,9585738,10069614,10624544,11247704,12128133,12765546
 "05000","Arkansas",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",138455,147866,168593,197254,253428,293346,309728,348680,394404,456221,525754,574503,674843,719365,776723,866068,964908,1041042,1111291,1253025,1372102,1512563,1617055,1749108,1850395,2006157,2103202,2171829,2290437,2414368,2546993,2661687,2766690,2888344,2986045,3141526,3363754,3623463,3795082,3960754,3959523,4035573,3384298,3433168,4389731,4597505,4761270,4897874,5134964,5373717,5626934,5987580,6324106,6872683,7204847
 "05000","Arkansas",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",139621,148229,171444,207450,270947,315178,328603,396092,452886,531126,607965,645483,747397,778629,861606,1002585,1040535,1099723,1139945,1253539,1302657,1452887,1532181,1660273,1768539,1902064,2006480,2079657,2169699,2319642,2415070,2534353,2583107,2650219,2760388,2888550,3023129,3191219,3299784,3430170,3432444,3566999,3731061,3824491,3850031,4001766,4104774,4083257,4176548,4212021,4442680,4636964,4923598,5255450,5560699
 "05000","Arkansas",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",32075,23527,22201,21686,17905,11204,9021,-1070,-7078,-11626,-14932,-5120,-23122,-20505,-50269,-69333,-75331,-101062,-123646,-157584,-161278,-220020,-247563,-271351,-307605,-334349,-304141,-300486,-305139,-306367,-321729,-359492,-374299,-371951,-350317,-318161,-287105,-247999,-180992,-138576,-119630,-128797,-111778,-155234,-214505,-223819,-257225,-207335,-318039,-361628,-362526,-356665,-501659,-637639,-743529
