GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3861604,4280227,4715749,5076234,5475156,5940540,6441509,6896452,7473637,8178547,9010792,10077804,11160071,12190681,13129739,14478946,15500638,16664058,17660666,19188836,21112112,22258085,22994690,24380703,25137413,25959619,26870733,27737182,29253092,30752335,32229153,34557361,35825197,36206993,37568153,39360815,40458025,42570927,44381482,47053508,47541413,49395685,51104140,52555514,53550426,55045291,57664494,58884683,62169109,63827583,66456052,71931210,76808714,77755845,82351597
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3815801,4235556,4672012,5034933,5427032,5897772,6403147,6851514,7440789,8135072,8951513,10018307,11104162,12137761,13087707,14430968,15444356,16599269,17590295,19128072,21036856,22181523,22933971,24308170,25060185,25898943,26813770,27648272,29216298,30671262,32139194,34468112,35716442,36144597,37488704,39262325,40364592,42500611,44294967,46952089,47477809,49272493,50943612,52388922,53341202,54835765,57545487,58781348,62023917,63730433,66290710,71770269,76625995,77486515,82202082
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",45803,44671,43737,41301,48124,42768,38362,44938,32848,43475,59279,59497,55909,52920,42032,47978,56282,64789,70371,60764,75256,76562,60719,72533,77228,60676,56963,88910,36794,81073,89959,89249,108755,62396,79449,98490,93433,70316,86515,101419,63604,123192,160528,166592,209224,209526,119007,103335,145192,97150,165342,160941,182719,269330,149515
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1169567,1172483,1176204,1179751,1182223,1184250,1186056,1190292,1192517,1191021,1190423,1195607,1192529,1192181
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3853,4223,4569,4842,5217,5673,6135,6573,7094,7739,8536,9601,10626,11590,12422,13664,14580,15598,16470,17732,19373,20238,20750,21855,22429,23093,23894,24723,26177,27561,28870,30875,31904,32066,33001,34359,35156,36789,38241,40418,40748,42234,43586,44682,45391,46561,48693,49647,52230,53523,55798,60425,64242,65202,69076
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",3200193,3505329,3848333,4131960,4442328,4730542,4928204,5311132,5749345,6383295,7015818,7573072,8202391,8777144,9424802,10525720,11384714,12365393,13332351,14588120,15695490,16587858,17022218,18103331,18749293,19378505,19697798,20279693,21395635,22449233,23985681,26077084,27162123,27827254,28828363,30078845,30661874,32035382,32950704,34132054,34618601,35792088,36308793,37275237,38708060,39458057,40968172,41936506,43599059,44867321,46173591,47106220,50888489,53687768,56578340
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",251250,269499,304892,341914,422907,465304,478087,529553,573716,652508,739825,785785,902361,966818,1043217,1185652,1303441,1431360,1523049,1709454,1805766,1830581,1935164,2019689,2099709,2204422,2235604,2249576,2339299,2441797,2538896,2740287,2891698,2989086,3123922,3258475,3373244,3535207,3615978,3791153,3799033,3843735,3529278,3607990,4221298,4394257,4592141,4706541,4913792,4997047,5146901,5217797,5723531,6172595,6620110
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",115556,124348,139633,153675,189446,209581,216623,232532,250172,281431,322212,351117,408160,442137,472618,524858,595589,659717,704713,793995,852924,857002,921082,949520,986193,1038901,1061614,1056489,1105990,1146978,1210276,1291128,1357088,1411381,1476798,1539721,1603108,1687465,1727342,1808302,1853415,1865180,1503387,1522382,2038072,2104659,2199662,2287743,2409355,2507604,2601524,2627685,2840024,3141563,3361413
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1534610,1577705,1647124,1718754,1770136,1847742,1888636,1982851,1945618,1978555,2025891,2085608,2183226,2289598,2392479,2418798,2504437,2489443,2545377,2590112,2883507,3031032,3258697
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-22777,-14126,-12544,-3324,3100,2073,2682,-13987,-26077,-35832,-43597,-43058,-33997,-33272,-30513,-28138,-20360,-14617,-11090,-3924,4379,14103,4069,-3207,-22968,-41638,-36766,-44755,-54092,-45453,-46746,-68617,-42404,-4301,30232,69898,132953,200030,280647,319196,241585,255144,250404,232029,178323,187288,171433,152579,160800,211096,231803,202758,215562,217918,205758
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",2926166,3221704,3530897,3786722,4022521,4267311,4452799,4767592,5149552,5694955,6232396,6744229,7266033,7777054,8351072,9311930,10060913,10919416,11798212,12874742,13894103,14771380,15091123,16080435,16626616,17132445,17425428,17985362,19002244,19961983,21400039,23268180,24228021,24833867,25734673,26890268,27421583,28700205,29615373,30660097,31061153,32203497,33029919,33899276,34665085,35251088,36547464,37382544,38846067,40081370,41258493,42091181,45380520,47733091,50163988
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",584766,647026,701514,757178,844168,954373,1040790,1097036,1210619,1302415,1483110,1809449,2178947,2515565,2745274,3078188,3228325,3437431,3518368,3819062,4532914,4575731,4657658,4627672,4654635,4804038,5185834,5311605,5751038,6006232,5893946,6231802,6149165,5512112,5763134,6061876,6365807,6784867,7385570,8080848,7315710,7409468,7921070,8608811,8708279,9349175,10015305,10198454,11148526,11786961,12334053,12490118,13356359,14258429,15946849
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",350672,411497,483338,532334,608467,718856,947920,1031824,1113466,1181177,1295286,1524126,1715091,1898062,2033393,2088828,2211400,2307211,2344086,2495032,2685095,2910974,3245909,3672596,3856162,4023136,4259471,4440215,4499810,4784120,4935168,5057379,5448011,5861014,6070346,6408671,6670635,7085855,7380539,8312563,9164550,9782720,10153151,10047427,10177062,10445028,11101725,11303685,12174516,11959252,12863506,17349911,18071835,15764325,16240760
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",2552961,2810171,3074211,3280531,3534247,3768089,3875076,4136648,4436704,4884289,5336169,5770985,6243200,6674742,7115274,7875354,8505865,9178028,9960291,10866629,11571086,12252802,12489496,13007348,13517108,14012348,14177541,14558207,15191184,16146619,16968162,18241546,19033060,19307556,20001933,20751730,21257937,22266851,22939313,24042939,23987062,24243673,24798244,25579151,26401893,27374209,28711043,29601095,30647528,31578669,32493250,32878022,35639431,38456767,40742955
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",357036,402310,470632,536815,583013,640038,721304,776488,878417,997736,1130013,1223678,1388461,1546828,1700099,1883217,2065910,2248498,2396660,2609448,2885694,3088016,3306738,3682843,3841195,3992533,3977287,3998079,4117927,4379768,4627453,5051712,5153422,5300278,5724288,6053474,6315459,6495648,6812951,7209572,7500321,7727706,7770225,7999441,8708637,8672308,9058626,9001046,9345219,9603856,9877301,10195835,10771409,10744706,11182890
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",221342,257159,305373,348576,349552,384315,459840,479467,554873,626659,712400,789010,894260,1022147,1129500,1222423,1358058,1476855,1578324,1693989,1932852,2114437,2292656,2612674,2727679,2827012,2803297,2804992,2884618,3084949,3298833,3602553,3618812,3722573,4077164,4334720,4545323,4647906,4924315,5226721,5554703,5749151,5744334,5913833,6525411,6382710,6666147,6582248,6840782,7114413,7331924,7605723,7887902,7713674,7924193
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1534610,1577705,1647124,1718754,1770136,1847742,1888636,1982851,1945618,1978555,2025891,2085608,2183226,2289598,2392479,2418798,2504437,2489443,2545377,2590112,2883507,3031032,3258697
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",290196,292848,303490,314614,325068,322415,331824,397996,434224,501270,549636,578409,570730,555574,609429,767149,812939,938867,975400,1112043,1238710,1247040,1225984,1413140,1390990,1373624,1542970,1723407,2086524,1922846,2390066,2783826,2975641,3219420,3102142,3273641,3088478,3272883,3198440,2879543,3131218,3820709,3740324,3696645,3597530,3411540,3198503,3334365,3606312,3684796,3803040,4032363,4477649,4486295,4652495
