GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "12000","Florida",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84679438,99906516,115554486,124862111,138140276,153545389,168155204,181983464,195918080,216350658,240834946,257601057,268849056,284090313,301152003,317382636,341123138,363064761,385679172,416721537,435930396,471588082,497335404,514288810,540366333,587003015,637602753,690506134,719734158,725995008,685982844,730690145,769798435,794071056,794604073,848535336,905450458,938985637,1011002173,1078010586,1145938787,1220782745,1358786260,1436107237,1553426399
 "12000","Florida",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",24379299,27741008,31130028,35825045,41758996,46995591,51194937,56009151,62845627,72435348,83405841,98275367,114189528,123110669,135699529,151747379,166351730,180041856,193819396,213701520,238395858,255567475,266442206,281676318,298672409,315276685,338969896,361167309,383570382,414140022,433274502,469055787,494826469,511842928,538235489,584827056,634988231,687945546,717569458,724042291,683909627,728318649,767714430,791393071,791898716,845739438,901936937,936354270,1008005362,1075729271,1143354623,1218350866,1355943332,1433489267,1550651469
 "12000","Florida",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",625634,535194,626324,724919,819347,887542,972993,1003201,998635,1197935,1273597,1631149,1364958,1751442,2440747,1798010,1803474,1941608,2098684,2649138,2439088,2033582,2406850,2413995,2479594,2105951,2153242,1897452,2108790,2581515,2655894,2532295,2508935,2445882,2130844,2175959,2614522,2560588,2164700,1952717,2073217,2371496,2084005,2677985,2705357,2795898,3513521,2631367,2996811,2281315,2584164,2431879,2842928,2617970,2774930
 "12000","Florida",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21591299,21830708,22245521,22610726
 "12000","Florida",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8941,10153,11337,11924,12850,13908,14814,15597,16330,17580,19057,19765,20109,20812,21623,22289,23464,24443,25397,26909,27662,29387,30405,30815,31779,33706,35736,38009,39184,39185,36777,38778,40433,41204,40733,42865,44945,45720,48439,51009,53663,56540,62242,64557,68703
 "12000","Florida",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",18512591,20482394,22759450,26383815,30858942,33902229,35448104,38566185,43112474,49952283,57081858,65582791,73613200,78862333,87798013,97794239,107306156,116853195,128573183,141675440,151397294,161135722,168103932,180110993,192405715,203141223,216287300,230495530,244384467,265915440,284906081,308751767,327004403,343120998,362066843,392048419,425216523,452524071,459621008,445440987,420434356,439036383,450698110,466203394,480823846,509424654,541177714,566761257,600647659,636356650,670907360,684270758,771654020,841921275,908440362
 "12000","Florida",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1132486,1272457,1473193,1797755,2422176,2782052,2860146,3169655,3572233,4251409,5112218,5908692,7183121,7887175,8777683,10140896,11348096,12681145,13789158,15631167,16945032,17936124,18806435,20071158,21337109,22866726,24234830,25570521,27135374,29129738,30995595,33262318,35634392,37327167,39326575,42718732,46628335,50387835,51890300,51687410,49964931,50683139,46678156,48812900,56738107,59769818,62920757,65689113,69210646,73845538,78945471,81434156,89367094,99957634,108320646
 "12000","Florida",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",578873,651373,752739,906316,1219268,1410729,1444014,1560931,1759380,2082473,2515560,2941120,3602512,3993668,4399228,4991727,5763602,6487356,7086228,8096745,8933764,9386288,9897115,10556789,11275752,12142419,12966706,13625564,14450352,15506665,16546164,17688776,18938962,19918301,20944978,22704397,24923149,26876460,27976495,28057367,27264504,27610492,22560205,23343354,30712581,32639010,34722456,36518301,38879961,41903127,44975995,46886032,51359040,57574420,61835296
 "12000","Florida",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",553613,621084,720454,891439,1202908,1371323,1416132,1608724,1812853,2168936,2596658,2967572,3580609,3893507,4378455,5149169,5584494,6193789,6702930,7534422,8011268,8549836,8909320,9514369,10061357,10724307,11268124,11944957,12685022,13623073,14449431,15573542,16695430,17408866,18381597,20014335,21705186,23511375,23913805,23630043,22700427,23072647,24117951,25469546,26025526,27130808,28198301,29170812,30330685,31942411,33969476,34548124,38008054,42383214,46485350
 "12000","Florida",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-19448,-22100,-16603,-13839,-12041,-2794,-10957,8046,19241,22092,12568,6101,116837,140423,166401,207801,253458,316727,377812,453753,534129,632789,677043,743389,793409,854049,921487,994336,1094691,1221176,1353094,1516255,1618404,1676464,1773140,1918264,2080460,2298026,2596948,2786404,2643706,2726371,2931519,3016866,3051590,3209652,3341608,3381563,3458311,3520702,3598706,3557783,3669384,3871262,4047912
