GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "20000","Kansas",4,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",8194786,8892704,9654247,10763347,12266343,13261982,14487553,15746176,17182123,19014323,21715605,23879567,27038402,29313486,30554631,33489207,35247414,36949919,38509616,40671323,43063175,45745098,47367288,50913093,53268143,55684199,58056283,61821009,65703526,69711156,71968566,75870788,78490814,79285369,81768184,84076942,88783995,97838942,105082598,115298320,111558901,113842966,123198911,129849699,132518967,134773890,136189131,136753558,141311803,147407425,153011908,161892395,173399528,183033661,194413549
 "20000","Kansas",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",7731696,8288744,8950569,9802969,10883706,12205779,13687547,15170848,16693446,18738456,21019879,23788437,26703139,28745206,30178935,32747837,34446691,36021836,37347842,39541171,42244211,44374722,46343600,49516191,51936305,54266407,57278673,60328646,64299857,68421381,70584747,74876896,77350551,78814124,80141884,82537463,86841876,96722764,103475103,113268144,109594627,111332360,119571576,126838424,127651921,132064330,134500053,134633995,139978071,145761279,151360460,158700402,169922909,180514078,190798709
 "20000","Kansas",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",463090,603960,703678,960378,1382637,1056203,800006,575328,488677,275867,695726,91130,335263,568280,375696,741370,800723,928083,1161774,1130152,818964,1370376,1023688,1396902,1331838,1417792,777610,1492363,1403669,1289775,1383819,993892,1140263,471245,1626300,1539479,1942119,1116178,1607495,2030176,1964274,2510606,3627335,3011275,4867046,2709560,1689078,2119563,1333732,1646146,1651448,3191993,3476619,2519583,3614840
 "20000","Kansas",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858822,2872476,2891101,2901661,2911506,2922671,2927230,2927419,2931572,2933747,2938124,2937946,2936716,2940546
 "20000","Kansas",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10080,11338,12208,12649,13815,14521,15189,15748,16520,17414,18436,18957,20105,20836,21579,22321,23645,24932,26201,26871,28166,29047,29218,30029,30748,32340,35411,37748,41060,39382,39822,42889,44914,45670,46290,46597,46718,48272,50283,52156,55101,59021,62326,66115
 "20000","Kansas",4,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6245198,6690128,7264204,8215074,9480311,10087948,10817483,11848311,12897552,14339974,16573515,17482872,19379585,20309881,21150620,23500357,24656942,26120784,27662642,29237025,30767702,32969627,34001290,36969895,38706944,40652949,41996385,45020069,48063718,51247463,53778182,56072632,58081418,58870743,60831869,62930696,66169020,71889012,76476357,82101198,79533495,81798298,87783520,92491937,97722251,97559328,99008728,98569520,101249379,105164549,109123988,111736486,116622626,127632557,135690866
 "20000","Kansas",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",421038,441788,491735,572827,733625,853150,936415,1068748,1175182,1373703,1614703,1756815,2055488,2180403,2287538,2567174,2732213,2885074,3002963,3317629,3509656,3886904,4118766,4382195,4591167,4896720,5091029,5327270,5697015,6068454,6343138,6655813,6869934,7046210,7212873,7594747,7943689,8409123,8807250,9211651,9007326,9242937,8525023,8825951,10224579,10608909,11024991,10909801,11216007,11748045,12243161,12633339,13129959,14515987,15406573
 "20000","Kansas",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",217145,227145,250661,289133,368112,424276,466730,516530,551695,642812,757972,839590,988170,1055777,1093055,1200684,1322763,1406784,1483771,1657341,1784396,1973096,2103642,2219658,2322646,2478055,2604182,2730178,2928821,3125673,3276392,3432380,3537223,3638273,3701133,3875680,4081724,4354159,4654325,4857097,4777808,4812097,3949569,4071897,5347109,5597378,5734603,5833388,6007440,6343986,6644352,6882891,7131035,8092732,8563751
 "20000","Kansas",4,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",203893,214643,241074,283694,365513,428874,469685,552218,623487,730891,856731,917225,1067318,1124626,1194483,1366490,1409450,1478290,1519192,1660288,1725260,1913808,2015124,2162537,2268521,2418665,2486847,2597092,2768194,2942781,3066746,3223433,3332711,3407937,3511740,3719067,3861965,4054964,4152925,4354554,4229518,4430840,4575454,4754054,4877470,5011531,5290388,5076413,5208567,5404059,5598809,5750448,5998924,6423255,6842822
 "20000","Kansas",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",444886,445092,438559,458231,471710,484894,499514,510336,553389,598600,641777,716073,742314,763615,741222,800279,852846,843387,914226,918086,974573,967794,946737,1026719,1115403,1065707,1157438,1146987,1044263,1064475,1018286,1121270,1133213,1199303,1170805,1119940,1261378,1369635,1256733,1414209,1694886,1675084,1239467,1641038,1370334,1188025,1155652,1274754,1540106,1550933,1659637,1431050,2155888,2055880,2154301
 "20000","Kansas",4,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",6269046,6693432,7211028,8100478,9218396,9719692,10380582,11289899,12275759,13564871,15600589,16442130,18066411,18893093,19604304,21733462,22777575,24079097,25573905,26837482,28232619,30050517,30829261,33614419,35231180,36821936,38062794,40839786,43410966,46243484,48453330,50538089,52344697,53023836,54789801,56455889,59486709,64849524,68925840,74303756,72221055,74230445,80497964,85307024,88868006,88138444,89139389,88934473,91573478,94967437,98540464,100534197,105648555,115172450,122438594
 "20000","Kansas",4,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",1236767,1396012,1527334,1678302,1896518,2218509,2493644,2672798,2976874,3345048,3794146,4676364,5791075,6851387,7145921,7833697,8334292,8530986,8473675,9152079,9689033,10112679,10474276,10575774,10915298,11505563,12241100,12966763,13882668,14923445,14613075,15681864,15596993,15052536,15269334,15580601,16600551,19346631,21469937,24442104,21312243,20422772,23075177,25188217,24011110,26250431,25963978,25979070,27174710,28740408,29422080,29299692,32407325,35182717,38613510
 "20000","Kansas",4,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",688973,803260,915885,984567,1151429,1323781,1613327,1783479,1929490,2104404,2320870,2761073,3180916,3569006,3804406,3922048,4135547,4339836,4462036,4681762,5141523,5581902,6063751,6722900,7121665,7356700,7752389,8014460,8409892,8544227,8902161,9650835,10549124,11208997,11709049,12040452,12696735,13642787,14686821,16552460,18025603,19189749,19625770,19354458,19639851,20385015,21085764,21840015,22563615,23699580,25049364,32058506,35343648,32678494,33361445
 "20000","Kansas",4,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",4412520,4665757,4976666,5441084,6123046,6834635,7514614,8426122,9321808,10575546,12027611,13283868,14584643,15152276,15746201,17136830,17952082,18861386,19802726,21035604,22126057,23494096,24501979,26170654,27209319,28754189,30336720,32161729,34582641,37317819,39438463,41766878,43269734,43873122,44486732,46700041,48535928,52081240,55440003,57621123,55603539,56087596,58102793,60614446,61870201,64456323,66740058,67254705,68826657,71564158,74393371,75910182,79790297,85754229,90332541
 "20000","Kansas",4,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",566711,612442,688518,791724,903093,1038081,1234414,1403240,1625140,1860853,2138216,2383950,2694638,2896663,3122914,3406540,3642025,3924245,4107340,4412802,4764520,5213210,5631993,6302700,6681088,6917336,7090800,7224486,7651538,8125947,8565690,9056739,9521681,9816457,10344684,11077308,11568194,11698201,12688822,13664983,13016948,13860100,14342308,14181702,15555016,15863024,16279511,16086614,16403230,17168604,17574618,17483028,18094698,18637596,19880004
 "20000","Kansas",4,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",362818,397799,447444,508030,537580,609207,764729,851022,1001653,1129962,1281485,1466725,1627320,1772037,1928431,2040050,2232575,2445955,2588148,2752514,3039260,3299402,3616869,4140163,4412567,4498671,4603953,4627394,4883344,5183166,5498944,5833306,6188970,6408520,6832944,7358241,7706229,7643237,8535897,9310429,8787430,9429260,9766854,9427648,10677546,10851493,10989123,11010201,11194663,11764545,11975809,11732580,12095774,12214341,13037182
 "20000","Kansas",4,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",203893,214643,241074,283694,365513,428874,469685,552218,623487,730891,856731,917225,1067318,1124626,1194483,1366490,1409450,1478290,1519192,1660288,1725260,1913808,2015124,2162537,2268521,2418665,2486847,2597092,2768194,2942781,3066746,3223433,3332711,3407937,3511740,3719067,3861965,4054964,4152925,4354554,4229518,4430840,4575454,4754054,4877470,5011531,5290388,5076413,5208567,5404059,5598809,5750448,5998924,6423255,6842822
 "20000","Kansas",4,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",1265967,1411929,1599020,1982266,2454172,2215232,2068455,2018949,1950604,1903575,2407688,1815054,2100304,2260942,2281505,2956987,3062835,3335153,3752576,3788619,3877125,4262321,3867318,4496541,4816537,4981424,4568865,5633854,5829539,5803697,5774029,5249015,5290003,5181164,6000453,5153347,6064898,8109571,8347532,10815092,10913008,11850602,15338419,17695789,20297034,17239981,15989159,15228201,16019492,16431787,17155999,18343276,18737631,23240732,25478321
 "20000","Kansas",4,CAINC4,71,"..."," Farm proprietors' income ","Thousands of dollars",402456,539191,634455,891095,1294288,953267,694127,452331,349516,125079,531689,-78380,169062,383721,195657,559372,614923,752600,981674,937219,623474,1155752,828392,1206000,1128539,1179652,536051,1230217,1114719,966637,1085436,668539,779473,145064,1281076,1149425,1609604,766047,1131607,1582092,1585995,2149482,3188519,2519555,4465597,2198221,1211926,1583732,839051,1163440,1096949,2678677,2917430,2040372,3210171
 "20000","Kansas",4,CAINC4,72,"..."," Nonfarm proprietors' income ","Thousands of dollars",863511,872738,964565,1091171,1159884,1261965,1374328,1566618,1601088,1778496,1875999,1893434,1931242,1877221,2085848,2397615,2447912,2582553,2770902,2851400,3253651,3106569,3038926,3290541,3687998,3801772,4032814,4403637,4714820,4837060,4688593,4580476,4510530,5036100,4719377,4003922,4455294,7343524,7215925,9233000,9327013,9701120,12149900,15176234,15831437,15041760,14777233,13644469,15180441,15268347,16059050,15664599,15820201,21200360,22268150
 "20001","Allen, KS",4,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",43748,47499,53549,61355,70150,58669,81106,88090,100352,103027,115481,125937,143373,153588,162638,174814,183009,175524,180872,184019,199429,206029,213923,228923,228571,246834,251582,275276,290364,295080,295122,302475,348623,343037,365462,373881,361254,370481,399381,443579,448085,446151,457324,457181,460407,454974,460124,458313,463537,489805,524509,562390,623570,593859,629125
 "20001","Allen, KS",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",40757,43722,48131,52892,60596,65274,77026,85327,90654,100656,113555,125619,141004,152469,164996,177417,177362,176705,175273,181294,194040,201643,210956,217569,228306,238872,254354,266892,283592,297734,298122,304670,344540,345583,358144,360554,355844,367084,394846,430569,423971,430046,446261,442962,446374,452423,460499,458250,461462,485189,515056,545136,604777,577174,606573
 "20001","Allen, KS",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",2991,3777,5418,8463,9554,-6605,4080,2763,9698,2371,1926,318,2369,1119,-2358,-2603,5647,-1181,5599,2725,5389,4386,2967,11354,265,7962,-2772,8384,6772,-2654,-3000,-2195,4083,-2546,7318,13327,5410,3397,4535,13010,24114,16105,11063,14219,14033,2551,-375,63,2075,4616,9453,17254,18793,16685,22552
 "20001","Allen, KS",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",15076,15055,15101,15293,15517,15415,15292,15436,15695,15699,15796,15650,15616,15637,15824,15865,15484,15168,14787,14518,14644,14640,14645,14697,14693,14721,14667,14677,14500,14551,14444,14393,14171,14110,13940,13923,13733,13639,13545,13422,13407,13367,13367,13337,13112,12950,12754,12756,12647,12616,12533,12533,12498,12489,12412
