GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "22000","Louisiana",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32475032,37374092,43061071,46351425,48426165,51456385,53604870,53664957,53761175,56826716,60255953,64855002,68440395,73201408,76792104,81800589,85828363,89603979,94201468,98863548,101157727,106907698,114767385,118194270,122009868,127386860,137162443,144684366,158432952,170008643,165305617,173007343,178350916,187190681,189741336,197729803,198425901,197411933,203454869,212320756,219304957,233233503,254296886,255687035,269140227
 "22000","Louisiana",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",10526948,11382187,12398017,13566480,14953695,17042685,19461706,21966937,24584239,28264854,31980366,37206959,42802465,46094052,48199598,51139465,53380028,53435524,53371569,56204881,59795710,64460697,67981790,72635229,76214266,81132798,85167063,88730867,93568507,98408999,100534524,106297462,114120624,117779563,121230072,126610462,136501736,143970323,157693688,169479839,164574074,172214033,177508812,186020171,188253060,196786021,197842076,196826841,202705612,211694459,218650084,232391738,253322022,254975857,268609479
 "22000","Louisiana",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",238929,280848,317213,345600,574782,609123,413436,448591,447165,365951,494666,167133,258606,257373,226567,316920,224842,229433,389606,621835,460243,394305,458605,566179,577838,667791,661300,873112,632961,454549,623203,610236,646761,414707,779796,776398,660707,714043,739264,528804,731543,793310,842104,1170510,1488276,943782,583825,585092,749257,626297,654873,841765,974864,711178,530748
 "22000","Louisiana",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544800,4577075,4603574,4628228,4648811,4670563,4685605,4678606,4670052,4664558,4652022,4627047,4588023,4573749
 "22000","Louisiana",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8850,10053,10649,11018,11693,12161,12177,12376,13250,14168,15363,16091,17051,17791,18816,19601,20370,21307,22265,22677,23907,25630,26281,26987,27983,29970,33627,36208,38328,36803,38067,38966,40662,40997,42533,42484,42132,43486,45464,47015,50136,54959,55729,58845
 "22000","Louisiana",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",8944387,9481933,10289849,11307680,12683588,14268033,15851607,18156692,20415897,23564665,26814726,30286083,34649671,36188144,36614450,38792241,39642216,38870623,39174330,41678179,43616233,47215795,49664354,52820698,54938897,58215839,61065513,64101011,67854770,71525160,73947489,78158188,83629559,86664450,90124407,93011813,97087164,104011002,109756480,117743424,115635778,121522248,123381938,127945450,132774464,140224445,137688821,134123656,137824857,144178731,147929710,146299699,156961441,162730783,171568443
 "22000","Louisiana",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",568661,591555,657611,756693,960060,1117582,1242685,1453806,1626699,1932527,2276998,2593577,3176956,3376480,3378249,3663380,3775180,3646400,3608668,4013986,4273434,4759649,5134617,5381050,5633953,6083492,6383912,6695520,7087815,7529900,7650556,7906080,8344845,8663307,8914290,9202326,9429986,10062289,10732399,11398616,11361589,11720280,10831306,11162976,13007411,13558011,13807008,13759738,14117909,14848833,15115835,15110785,15980121,17241233,18279953
 "22000","Louisiana",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",285144,297856,329122,372115,472115,553225,613726,701249,773626,908907,1079931,1248724,1545835,1643667,1627926,1727571,1844520,1809012,1810145,2026875,2204092,2447019,2654824,2777384,2932524,3180244,3349335,3483481,3697330,3922603,4001730,4126046,4377263,4560460,4696123,4865339,5050692,5449770,5810730,6188511,6189476,6406005,5247220,5405611,7064326,7405831,7512761,7595406,7822752,8320889,8466452,8483389,9056666,9795700,10316576
 "22000","Louisiana",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",283517,293699,328489,384578,487945,564357,628959,752557,853073,1023620,1197067,1344853,1631121,1732813,1750323,1935809,1930660,1837388,1798523,1987111,2069342,2312630,2479793,2603666,2701429,2903248,3034577,3212039,3390485,3607297,3648826,3780034,3967582,4102847,4218167,4336987,4379294,4612519,4921669,5210105,5172113,5314275,5584086,5757365,5943085,6152180,6294247,6164332,6295157,6527944,6649383,6627396,6923455,7445533,7963377
 "22000","Louisiana",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",7891,6237,-7326,-20318,-36801,-54198,-82669,-111806,-137933,-184010,-233828,-336457,-351490,-331164,-311829,-301808,-273227,-218753,-185235,-166191,-132680,-110807,-126492,-124464,-128651,-148157,-176421,-203885,-218457,-236281,-216713,-229986,-272042,-299177,-349136,-382865,-361640,-425326,-453337,-498343,-485707,-515711,-416017,-349923,-410027,-561568,-579681,-735957,-954184,-891184,-712959,-559435,-814482,-740324,-744965
