GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "23000","Maine",1,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589125,9655334,10638496,11562933,12470517,13760851,14877337,16108071,17414634,19256847,20984163,21860806,22261821,23295062,24056352,25036601,26123764,27577620,29185420,31264394,32675391,35091410,37054994,38290695,40162852,42164527,43103488,45226022,46979294,49175838,49337036,50486968,52539787,53227299,53240177,54984552,57356461,59286784,61740123,64463181,67852844,74089112,81589112,85707994,90868170
 "23000","Maine",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3162621,3480533,3757375,4123858,4560256,5035751,5573340,6287281,6882524,7654330,8517741,9610359,10524895,11461393,12400320,13645473,14776965,16017042,17282236,19142535,20861986,21691895,22139023,23121631,23904924,24893603,26006166,27431797,29085799,31091765,32485203,34888646,36867003,38139735,40005919,41992650,42936957,45061661,46803204,48992930,49160971,50231518,52325822,52969057,52978727,54772773,57142713,59135317,61559322,64314993,67638927,73895040,81371087,85427308,90731098
 "23000","Maine",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",73335,76534,65308,63864,146434,193506,78968,159692,125084,86184,71384,44975,113601,101540,70197,115378,100372,91029,132398,114312,122177,168911,122798,173431,151428,142998,117598,145823,99621,172629,190188,202764,187991,150960,156933,171877,166531,164361,176090,182908,176065,255450,213965,258242,261450,211779,213748,151467,180801,148188,213917,194072,218025,280686,137072
 "23000","Maine",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327961,1330029,1330899,1332596,1336530,1335653,1340177,1344851,1350525,1357487,1364517,1378787,1389338,1395722
 "23000","Maine",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7635,8568,9389,10173,10893,11908,12793,13766,14701,15996,17201,17748,17995,18809,19364,20148,21009,22079,23260,24830,25793,27478,28821,29546,30740,32096,32684,34168,35402,36960,37107,38018,39503,39993,39952,41140,42943,44238,45909,47732,49984,54297,59175,61690,65105
 "23000","Maine",1,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",2607894,2810078,2969143,3255441,3661270,3990858,4157357,4868702,5273194,5862016,6487721,7121544,7700701,8148360,8809468,9786303,10628148,11570257,12730956,14153301,15258172,15803548,15724966,16424299,16941590,17598285,18046764,18855746,19898487,21468191,23055161,24661701,26114648,27173257,28269514,29745048,30307083,31850930,32534124,33019307,32715979,33774756,34151398,34678287,35138627,36191629,37656990,38677005,40203040,41990903,43951157,45817929,50458502,54150106,57217923
 "23000","Maine",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",180898,193312,210923,241501,301519,337683,357085,422343,461329,531086,606699,668035,770546,831194,909957,1042971,1131501,1238971,1356049,1542866,1649797,1788092,1803220,1905000,2015561,2130058,2207592,2272931,2398631,2543703,2683491,2815262,2949232,2990378,3078429,3236731,3341107,3540197,3698017,3802072,3723351,3830321,3509749,3610544,4180403,4270667,4494404,4617526,4787227,5056431,5270741,5487150,5987676,6498894,6896242
 "23000","Maine",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",81303,86803,94247,105432,132408,149508,157630,179411,195958,224332,257560,288514,337141,369500,399177,445641,506284,566213,628045,724996,799882,871738,893709,944556,996885,1055330,1106010,1141504,1205515,1278554,1357252,1419889,1518398,1584650,1644276,1745594,1815617,1936123,2031614,2090055,2053563,2083614,1714719,1759401,2281711,2352846,2475733,2586417,2695438,2884988,2996216,3123663,3406785,3730038,3941860
 "23000","Maine",1,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834,1405728,1434153,1491137,1525490,1604074,1666403,1712017,1669788,1746707,1795030,1851143,1898692,1917821,2018671,2031109,2091789,2171443,2274525,2363487,2580891,2768856,2954382
 "23000","Maine",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-24881,-20317,-19397,-22100,-12608,-7825,-21220,-24426,-26025,-24597,-17952,-14455,-48232,-46072,-33070,-26230,-4829,35131,59093,72722,72128,70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421,676976,656900,682641,689578,722401,722840,705586,687601,729249,796089,831682,870166,928082,985471,1002696,1019733,1069177,1126635,1139243,1334592,1333979,1405036
