GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "30000","Montana",7,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2350491,2604190,2787297,3230256,3745221,4069917,4478717,4806477,5197877,6090546,6549399,7215690,8194382,8632561,9082310,9593961,9735941,10122849,10355058,10679766,11763596,12379212,13216625,14009275,15154047,15574369,16400030,17173644,17910227,19125723,19496880,20770544,21685226,22350296,24015175,26072167,28052041,30362708,32646839,34730541,33926624,35670871,38082705,40436886,40785993,42901443,44583320,45283300,48003346,50352020,53402305,58153037,65254410,69132415,73619978
 "30000","Montana",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",2110212,2314513,2538335,2831148,3172294,3607174,4082218,4585984,5132243,5792996,6436220,7100564,7972568,8465548,8959861,9554740,9825512,9889654,10043193,10575215,11350045,11990241,12672288,13527546,14388539,15194924,16071506,16872688,17680799,18835782,19120432,20519864,21345923,22163141,23668625,25530764,27476390,30213444,32238483,34230529,33551392,35124822,37421560,39707263,39834229,42202183,43855240,44759757,47748911,49835657,52694959,57281501,64910114,67880471,72625046
 "30000","Montana",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",240279,289677,248962,399108,572927,462743,396499,220493,65634,297550,113179,115126,221814,167013,122449,39221,-89571,233195,311865,104551,413551,388971,544337,481729,765508,379445,328524,300956,229428,289941,376448,250680,339303,187155,346550,541403,575651,149264,408356,500012,375232,546049,661145,729623,951764,699260,728080,523543,254435,516363,707346,871536,344296,1251944,994932
 "30000","Montana",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990863,998188,1005385,1015933,1024998,1034413,1045648,1057982,1066542,1075462,1087211,1106366,1122878,1132812
 "30000","Montana",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8299,9148,10303,10737,11157,11687,11840,12440,12862,13346,14711,15470,16323,16965,17939,18082,18710,19378,20127,21431,21723,22982,23910,24516,26114,28034,29839,31870,33841,35569,34479,36000,38152,40220,40146,41855,43100,43306,45373,47211,49655,53488,58981,61567,64989
 "30000","Montana",7,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",1873921,2045607,2169624,2557335,2979658,3170700,3409995,3644033,3909661,4664031,4924780,5227899,5788716,5885709,6165828,6435926,6440756,6767052,7030218,7258317,7984527,8428822,9178614,9827016,10820733,11023628,11347490,11805788,12202186,13071043,13569468,14256331,14822813,15505266,16611443,18097136,19611354,20887711,22294972,22995278,22481428,23519609,24929846,26193394,27020998,27759327,28826078,28957362,30089438,31440622,33193274,35033494,38771858,42783755,45501666
 "30000","Montana",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",126533,136515,150913,177363,227000,262363,283427,323987,368803,432677,496461,541596,632485,663807,699580,758281,789568,805275,827330,927041,996734,1118433,1219468,1323612,1461680,1547082,1564191,1562744,1585084,1642582,1692381,1792585,1907727,2012594,2113473,2249311,2445790,2652563,2854825,2930076,2875713,2942813,2787966,2870457,3327708,3485271,3587864,3554344,3825594,4044962,4181304,4473855,4788151,5301489,5618903
 "30000","Montana",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",60064,64901,70197,81686,104734,119022,128123,141128,160200,188078,214960,234513,275458,292708,304230,324053,349920,360710,371684,422512,461534,514672,560310,609218,651656,694473,727131,755496,788650,819128,850370,892436,962603,1002317,1044326,1120026,1219366,1320669,1419803,1466694,1450281,1479991,1238849,1283733,1690783,1773562,1839955,1902610,1992083,2121330,2255094,2417174,2594932,2913708,3067407
 "30000","Montana",7,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",66469,71614,80716,95677,122266,143341,155304,182859,208603,244599,281501,307083,357027,371099,395350,434228,439648,444565,455646,504529,535200,603761,659158,714394,810024,852609,837060,807248,796434,823454,842011,900149,945124,1010277,1069147,1129285,1226424,1331894,1435022,1463382,1425432,1462822,1549117,1586724,1636925,1711709,1747909,1651734,1833511,1923632,1926210,2056681,2193219,2387781,2551496
 "30000","Montana",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-810,-980,-688,-296,281,942,2386,3269,4145,3164,5717,12837,24859,17353,9264,5899,3273,-1591,-3281,-648,-2836,-4360,-11424,-2039,750,5237,8494,11407,13109,17817,21325,25992,27860,26310,24012,23366,19840,14676,17007,27254,37118,74323,179755,358377,446913,547408,427934,269291,311901,380461,414729,294474,265178,337726,401291
 "30000","Montana",7,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",1746578,1908112,2018023,2379676,2752939,2909279,3128954,3323315,3545003,4234518,4434036,4699140,5181090,5239255,5475512,5683544,5654461,5960186,6199607,6330628,6984957,7306029,7947722,8501365,9359803,9481783,9791793,10254451,10630211,11446278,11898412,12489738,12942946,13518982,14521982,15871191,17185404,18249824,19457154,20092456,19642833,20651119,22321635,23681314,24140203,24821464,25666148,25672309,26575745,27776121,29426699,30854113,34248885,37819992,40284054
 "30000","Montana",7,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",394372,454930,488866,540720,632426,737853,835561,913213,1038169,1181483,1355524,1621655,1978865,2235703,2338426,2557377,2650961,2634988,2554616,2656246,2922626,3040659,3128952,3187071,3301384,3504071,3834588,4039331,4339751,4627291,4567805,4891345,5071668,5023303,5512467,5957710,6325030,7196383,7942756,8672793,7818723,7960683,8771106,9569033,9274448,10324679,10793618,10832537,11841702,12646989,13388920,13817293,16254487,17633778,19354872
 "30000","Montana",7,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",209541,241148,280408,309860,359856,422785,514202,569949,614705,674545,759839,894895,1034427,1157603,1268372,1353040,1430519,1527675,1600835,1692892,1856013,2032524,2139951,2320839,2492860,2588515,2773649,2879862,2940265,3052154,3030663,3389461,3670612,3808011,3980726,4243266,4541607,4916501,5246929,5965292,6465068,7059069,6989964,7186539,7371342,7755300,8123554,8778454,9585899,9928910,10586686,13481631,14751038,13678645,13981052
 "30000","Montana",7,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",1259884,1360438,1473954,1640804,1838252,2063928,2267604,2520607,2808049,3210793,3583651,3857771,4217962,4337577,4502426,4685203,4737732,4683894,4793999,5074530,5320222,5667646,6035514,6451963,6895828,7287082,7618148,8044238,8439543,8912587,9298852,9890097,10389840,10863689,11394099,12088671,12958410,13980713,15055786,15586721,15259215,15506995,16165270,17110385,17618035,18380877,19253590,19823149,20663053,21599439,22517311,23590968,26158826,28614002,30566406
 "30000","Montana",7,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",164677,185230,215348,250987,288581,335545,383649,433397,496204,567481,639824,698784,787068,841460,917444,983931,1036613,1057748,1103680,1176192,1285766,1408459,1529582,1732769,1895238,1998955,2022388,2010316,2012950,2115252,2201753,2401661,2485985,2709438,2906743,3095795,3341118,3605449,3855938,3990522,3914027,4177650,4470155,4538616,4649675,4810409,4963206,4931215,5345035,5508982,5682257,5762470,6305395,6606732,7220573
 "30000","Montana",7,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",98208,113616,134632,155310,166315,192204,228345,250538,287601,322882,358323,391701,430041,470361,522094,549703,596965,613183,648034,671663,750566,804698,870424,1018375,1085214,1146346,1185328,1203068,1216516,1291798,1359742,1501512,1540861,1699161,1837596,1966510,2114694,2273555,2420916,2527140,2488595,2714828,2921038,2951892,3012750,3098700,3215297,3279481,3511524,3585350,3756047,3705789,4112176,4218951,4669077
 "30000","Montana",7,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",66469,71614,80716,95677,122266,143341,155304,182859,208603,244599,281501,307083,357027,371099,395350,434228,439648,444565,455646,504529,535200,603761,659158,714394,810024,852609,837060,807248,796434,823454,842011,900149,945124,1010277,1069147,1129285,1226424,1331894,1435022,1463382,1425432,1462822,1549117,1586724,1636925,1711709,1747909,1651734,1833511,1923632,1926210,2056681,2193219,2387781,2551496
