GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "35000","New Mexico",6,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3143665,3499776,3872418,4353346,4881806,5487270,6267941,6987390,7819801,8947791,10087343,11324718,12789759,14010585,15086657,16451119,17812041,18512048,19235758,20380071,21827331,23292213,24953527,26778266,28793303,30728194,33016851,34664741,36399458,38233130,38915058,41922251,44958829,46821719,49019748,52099668,55540781,59713746,63243626,67462380,67011812,69499817,73017732,74610808,73079820,77265995,79130787,80782293,82354111,86179472,91208888,98480206,107310572,112180905,117016309
 "35000","New Mexico",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3037534,3369900,3744125,4218031,4703651,5342163,6092952,6866077,7687584,8782699,9883001,11147147,12663389,13897961,14962892,16308335,17607968,18321897,18999928,20065701,21450189,22882041,24557153,26300780,28270663,30281944,32636841,34272964,35867348,37659394,38251517,41392340,44183209,46285598,48463299,51240663,54678392,59122086,62393181,66756190,66621877,68634185,71905204,73607786,72113378,76025432,78265736,79875425,81443694,85404025,90309400,97579367,106510243,110778329,115978750
 "35000","New Mexico",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",106131,129876,128293,135315,178155,145107,174989,121313,132217,165092,204342,177571,126370,112624,123765,142784,204073,190151,235830,314370,377142,410172,396374,477486,522640,446250,380010,391777,532110,573736,663541,529911,775620,536121,556449,859005,862389,591660,850445,706190,389935,865632,1112528,1003022,966442,1240563,865051,906868,910417,775447,899488,900839,800329,1402576,1037559
 "35000","New Mexico",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064892,2082110,2090254,2096509,2095037,2096003,2099630,2101053,2103101,2110146,2118488,2116950,2113476,2114371
 "35000","New Mexico",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7877,8649,9597,10273,10820,11612,12384,12656,13010,13675,14514,15308,16044,16784,17595,18265,19191,19782,20509,21318,21523,23019,24545,25237,26108,27366,28744,30433,31780,33552,32901,33658,35069,35695,34858,36880,37753,38475,39197,40977,43224,46486,50691,53079,55343
 "35000","New Mexico",6,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",2563492,2783763,3055474,3439241,3853342,4266255,4803079,5378513,6076453,6980390,7862380,8598121,9590454,10210113,10856410,11866810,12766408,13156086,13745759,14615784,15562577,16756022,17960578,19359012,20903388,22218422,23600085,24385746,25712672,26996098,27861583,30228667,32290566,33811686,35541653,37913182,40200758,42877457,44754205,46533030,45539547,47187995,48953466,49494603,49239915,50946041,51650430,52282013,53468032,55878712,59120365,59264853,63686292,69358613,74123354
 "35000","New Mexico",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",151720,162616,187914,220159,282151,327826,366356,420392,480862,565438,666950,736453,888461,966161,1034648,1164072,1271116,1327024,1370587,1530181,1648267,1871754,2032204,2165717,2341143,2547139,2718002,2807780,2930757,3083167,3202931,3385560,3623760,3811135,4003026,4214613,4484514,4872415,5131362,5413437,5359169,5452276,5032354,5142576,5914097,6119465,6444197,6455021,6563273,6863831,7176996,7320088,7809740,8553077,9228307
 "35000","New Mexico",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",74511,79446,91292,105090,135924,157539,174898,196125,224509,263282,312189,350520,426402,465983,494092,544138,614601,647324,676639,767406,842627,951149,1040150,1102227,1197339,1307565,1408953,1456062,1518383,1599905,1673570,1768117,1892068,1985119,2085615,2218681,2374442,2587062,2737213,2869855,2837785,2871330,2340546,2389642,3105462,3226585,3313469,3359579,3533933,3767406,3952829,4038925,4326982,4785987,5100860
 "35000","New Mexico",6,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",77209,83170,96622,115069,146227,170287,191458,224267,256353,302156,354761,385933,462059,500178,540556,619934,656515,679700,693948,762775,805640,920605,992054,1063490,1143804,1239574,1309049,1351718,1412374,1483262,1529361,1617443,1731692,1826016,1917411,1995932,2110072,2285353,2394149,2543582,2521384,2580946,2691808,2752934,2808635,2892880,3130728,3095442,3029340,3096425,3224167,3281163,3482758,3767090,4127447
 "35000","New Mexico",6,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-21304,-23215,-23559,-21706,-19065,-17246,-13944,-13860,-12268,-12277,-11266,-6176,-15871,-18506,-14131,-5641,755,7807,22288,33013,41491,49323,61446,77305,95661,111034,122098,141755,163180,186498,214830,239771,211622,217845,206060,158641,91714,104236,96186,73286,86818,26919,-1836,2700,-38531,-46777,-39675,1674,33818,-28856,30706,118212,174732,83551,-5232
 "35000","New Mexico",6,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",2390468,2597932,2844001,3197376,3552126,3921183,4422779,4944261,5583323,6402675,7184164,7855492,8686122,9225446,9807631,10697097,11496047,11836869,12397460,13118616,13955801,14933591,15989820,17270600,18657906,19782317,21004181,21719721,22945095,24099429,24873482,27082878,28878428,30218396,31744687,33857210,35807958,38109278,39719029,41192879,40267196,41762638,43919276,44354727,43287287,44779799,45166558,45828666,46938577,48986025,51974075,52062977,56051284,60889087,64889815
 "35000","New Mexico",6,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",492455,576415,650523,733845,829900,965362,1107037,1214986,1364187,1589139,1800151,2154228,2601859,3133923,3475058,3826834,4251828,4452723,4488085,4741008,5075515,5310500,5546554,5708793,6017172,6516010,7134450,7622546,8016981,8414628,7990913,8416401,8911646,8730530,8844757,9250531,10028823,11019074,12004016,13024662,12077718,11858392,13035500,14238399,13612175,14740763,14787050,15284443,15716264,16343227,17421745,17513660,18182121,19885015,22018987
 "35000","New Mexico",6,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",260742,325429,377894,422125,499780,600725,738125,828143,872291,955977,1103028,1314998,1501778,1651216,1803968,1927188,2064166,2222456,2350213,2520447,2796015,3048122,3417153,3798873,4118225,4429867,4878220,5322474,5437382,5719073,6050663,6422972,7168755,7872793,8430304,8991927,9704000,10585394,11520581,13244839,14666898,15878787,16062956,16017682,16180358,17745433,19177179,19669184,19699270,20850220,21813068,28903569,33077167,31406803,30107507
 "35000","New Mexico",6,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",1964725,2108749,2304215,2578487,2869265,3201264,3578310,4067154,4586116,5257274,5941897,6591138,7435625,7943119,8335716,9022360,9631324,9921639,10342393,10889099,11453055,12299959,13059230,13870597,14888712,16037673,17183832,17794457,18768375,19828841,20521192,21943058,23288778,24318596,25451432,27006236,28709136,30782934,32521058,34012216,33240359,33508438,34175341,34992480,35407131,36623079,37471894,37664985,38673030,40655570,43070185,43053371,45747068,49928523,53797204
 "35000","New Mexico",6,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",263986,295393,348317,404964,459056,523500,610553,694844,799471,916736,1063215,1187693,1374623,1513822,1655640,1827988,1999919,2101442,2142772,2350119,2587209,2881391,3115866,3517738,3749421,3984658,4128706,4176158,4295361,4484803,4621640,4958395,5194663,5670207,6140678,6608730,7135407,7429975,7790563,8109768,8070735,8485806,8812373,9131320,9066212,9107995,9503513,9761681,9928453,10266224,10470105,10403170,10874094,11047630,11902309
