GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "44000","Rhode Island",1,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3741845,4092971,4336596,4721967,5044554,5288914,5742437,6272443,6864937,7531162,8362745,9393441,10455116,11258544,12185542,13361043,14402385,15441352,16481698,18222995,19829194,20430364,20648278,21572585,22483684,23050675,24278996,25113199,26554301,28349718,29581071,31875284,33611758,34965677,36700205,38541514,39241318,41162032,42935212,43768605,42764925,44973874,46685369,48186451,48187015,50045148,51775192,52514454,54704265,56918930,60336968,64969688,69014438,70450412,74045761
 "44000","Rhode Island",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3733926,4083834,4328573,4714376,5038551,5280433,5733915,6263644,6857190,7522493,8355621,9386041,10446716,11231663,12149031,13329088,14361207,15398614,16441587,18181810,19797512,20400399,20617227,21543971,22454667,23026431,24255330,25090674,26539690,28335652,29566958,31859939,33594889,34944676,36678422,38517806,39218448,41141130,42913562,43744124,42739444,44949242,46664618,48162815,48164893,50027351,51753126,52499926,54680465,56900744,60318725,64945582,68983026,70404971,74011762
 "44000","Rhode Island",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",7919,9137,8023,7591,6003,8481,8522,8799,7747,8669,7124,7400,8400,26881,36511,31955,41178,42738,40111,41185,31682,29965,31051,28614,29017,24244,23666,22525,14611,14066,14113,15345,16869,21001,21783,23708,22870,20902,21650,24481,25481,24632,20751,23636,22122,17797,22066,14528,23800,18186,18243,24106,31412,45441,33999
 "44000","Rhode Island",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1054954,1058647,1063602,1068168,1073041,1077348,1082251,1084914,1091751,1094524,1096444,1097092,1093842,1095962
 "44000","Rhode Island",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9901,10971,11799,12741,13890,14864,15799,16655,18289,19816,20309,20431,21305,22149,22689,23873,24599,25898,27493,28432,30350,31795,32801,34256,35867,36746,38719,40608,41487,40588,42631,44099,45305,45112,46639,48058,48523,50423,52135,55126,59255,62907,64406,67562
 "44000","Rhode Island",1,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",2957038,3173667,3331486,3663811,3894613,3964775,4124310,4615049,5074089,5636785,6276019,6831269,7358972,7728397,8375682,9255667,10053903,10916583,11829095,13038796,13766018,14106505,13856842,14713014,15244098,15771752,16491633,16981462,17899302,19369472,20607633,22240977,23244151,24490465,25920024,27223088,28013842,29366757,29871870,29770583,28759024,30637905,31243578,32356157,33078157,34223038,35390032,35909471,37081297,38317238,39716014,40022262,43338984,46226637,48220983
 "44000","Rhode Island",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",230531,245164,267123,306502,381353,410332,415953,473330,520794,596923,684915,745329,851196,902087,987978,1135693,1220213,1330144,1430190,1594655,1660990,1790032,1808852,1922707,2011315,2109308,2182319,2228895,2334174,2471616,2588920,2756210,2866388,2975050,3145174,3294908,3423581,3614508,3701225,3748088,3689190,3789367,3495147,3579155,4117356,4289721,4494410,4615995,4768967,4934298,5091630,5084425,5486407,5924405,6256228
 "44000","Rhode Island",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",107559,113878,123065,136935,174046,189113,193077,211156,230823,260332,301489,333415,379757,410685,446733,500668,552740,612584,670468,756990,808305,881399,911507,971328,1011695,1063463,1105252,1133753,1192991,1272442,1344030,1434692,1510830,1585589,1680025,1759307,1822918,1938603,1996806,2030852,1982912,2018843,1676608,1698350,2182215,2273877,2385004,2469784,2574109,2696960,2789873,2812788,3023514,3290965,3458111
 "44000","Rhode Island",1,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",122972,131286,144058,169567,207307,221219,222876,262174,289971,336591,383426,411914,471439,491402,541245,635025,667473,717560,759722,837665,852685,908633,897345,951379,999620,1045845,1077067,1095142,1141183,1199174,1244890,1321518,1355558,1389461,1465149,1535601,1600663,1675905,1704419,1717236,1706278,1770524,1818539,1880805,1935141,2015844,2109406,2146211,2194858,2237338,2301757,2271637,2462893,2633440,2798117
 "44000","Rhode Island",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",62024,63308,58116,52756,68701,87579,81770,87639,102738,100934,108331,121624,153354,207212,262944,331439,391278,416803,484296,558658,624661,670708,696563,718047,760612,829630,859129,928622,994978,1073521,1175150,1335349,1428973,1415365,1376232,1598877,1439530,1452327,1529510,1311170,1238642,1023497,1279947,1422942,1415227,1153462,1340837,1420692,1658676,2060832,3022936,3355028,3131209,3415873,3391057
