GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "46000","South Dakota",4,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2076428,2257360,2473054,2855440,3605287,3612015,3972044,3932814,4462560,5142463,5665386,5716533,6653389,7011777,7277146,8268309,8481217,8847038,9303519,9740433,10481322,11483857,11981980,12935102,13520170,14573911,14864750,16415457,16797726,18102888,18948924,20201161,20892158,20898499,22822717,24553198,26005396,27393137,30342539,32676797,31827060,33682881,36654995,37469645,37840240,39607122,41160093,41551502,42989296,45143987,48013864,52763741,60077726,63440062,66619509
 "46000","South Dakota",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1719919,1885013,2070343,2292314,2580028,2925813,3267012,3658203,4020681,4529136,5016691,5583022,6212234,6642028,7025076,7583507,7873431,8188187,8465222,9030463,9762358,10467439,11092303,11865633,12580704,13369899,14231054,14959277,15758049,16942604,17791024,18866447,19748160,20406368,21345670,22718172,24462799,26787375,28613713,30405518,30042465,31966091,32988455,34964135,34487301,37178685,39436523,40438207,41937155,43506723,46492469,49994824,56338834,58657802,62222596
 "46000","South Dakota",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",356509,372347,402711,563126,1025259,686202,705032,274611,441879,613327,648695,133511,441155,369749,252070,684802,607786,658851,838297,709970,718964,1016418,889677,1069469,939466,1204012,633696,1456180,1039677,1160284,1157900,1334714,1143998,492131,1477047,1835026,1542597,605762,1728826,2271279,1784595,1716790,3666540,2505510,3352939,2428437,1723570,1113295,1052141,1637264,1521395,2768917,3738892,4782260,4396913
 "46000","South Dakota",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816078,823160,832800,841206,847634,852134,860650,870163,875300,882507,887852,896299,909869,919318
 "46000","South Dakota",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8275,9648,10153,10501,11858,12144,12711,13366,13952,15044,16474,17028,18147,18722,19943,20144,22117,22571,24265,25251,26727,27563,27497,29883,31871,33534,34983,38330,40891,39435,41274,44530,44992,44983,46727,48302,48279,49404,51575,54406,59429,67029,69724,72466
 "46000","South Dakota",4,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",1644894,1761594,1921442,2248174,2923737,2802919,3022130,2900837,3311895,3874054,4241565,3937930,4486180,4540353,4735545,5562642,5689680,5984995,6489224,6826283,7272530,8157261,8533141,9362660,9802623,10724929,10623303,11907633,12070283,13131755,13834836,14674234,14921574,14916823,16557507,17964129,18879551,19461295,21426505,22682804,22234669,23622590,25895466,25975988,26981309,27858511,28565567,28469378,29274003,31044312,32916150,35627633,39200825,42314073,44231650
 "46000","South Dakota",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",89609,95455,106383,121081,158103,183198,200384,224598,237574,274402,322079,341848,388087,407801,440472,491235,529535,573922,618159,691582,750314,851322,916344,976305,1034719,1117340,1171370,1224403,1292030,1385188,1481896,1567511,1617184,1671063,1746411,1839559,1929528,2079911,2211497,2321137,2316912,2426637,2224425,2327958,2676033,2842349,2946367,3029616,3160709,3289324,3508988,3755102,3968761,4289391,4597956
 "46000","South Dakota",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",53291,56213,61052,68529,90693,104603,114118,122871,125191,143866,172383,184170,208129,220719,236208,260313,288802,314032,345339,386995,426320,477650,512621,542154,570847,617803,644488,671764,708562,763451,814885,858558,878499,907858,955485,1006306,1063728,1147128,1223598,1279875,1277427,1310978,1096851,1145802,1470141,1566833,1635480,1673471,1763544,1851603,1985448,2120970,2241761,2431484,2586326
 "46000","South Dakota",4,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,763205,790926,833253,865800,932783,987899,1041262,1039485,1115659,1127574,1182156,1205892,1275516,1310887,1356145,1397165,1437721,1523540,1634132,1727000,1857907,2011630
 "46000","South Dakota",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",6019,6140,6362,7052,7262,8064,10361,11822,12556,14399,15004,16132,12915,10302,3812,-2155,-4949,-11495,-19164,-26681,-37207,-54239,-67743,-84978,-100368,-130420,-149905,-188788,-185654,-232595,-249329,-267140,-264747,-236819,-225315,-221088,-171411,-141277,-139439,-103463,-68789,-71235,-112920,-71934,-38322,-21521,-11556,-53368,-111744,-126368,-142377,-169420,-186601,-245397,-201115
