GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "00000","United States", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073296000,2313972000,2590995000,2777640000,2969333000,3275415000,3508482000,3717756000,3931800000,4264433000,4605107000,4897332000,5072291000,5406546000,5643648000,5933938000,6278125000,6660854000,7068422000,7584003000,7978449000,8620234000,8990104000,9146700000,9474684000,10008929000,10540800000,11291446000,11925044000,12423410000,12058253000,12547501000,13299818000,13905749000,14063283000,14778160000,15467113000,15884741000,16658962000,17514402000,18349584000,19600945000,21403979000,22077232000,23380269000
 "00000","United States", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",773954000,838026000,906654000,994658000,1098848000,1215117000,1333718000,1470925000,1627614000,1827952000,2043593000,2293726000,2564022000,2753330000,2952329000,3243775000,3476752000,3684858000,3892780000,4225826000,4559697000,4850632000,5030786000,5356874000,5597152000,5884050000,6239504000,6606643000,7018271000,7536203000,7930262000,8568974000,8936415000,9104891000,9417165000,9934626000,10470428000,11237663000,11859404000,12355509000,12002150000,12481069000,13207483000,13814408000,13939981000,14674150000,15379910000,15816068000,16584389000,17450632000,18283114000,19521163000,21295781000,21941341000,23279071000
 "00000","United States", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",17275000,17499000,17959000,21750000,34620000,29795000,28787000,24779000,24018000,27897000,29703000,20246000,26973000,24310000,17004000,31640000,31730000,32898000,39020000,38607000,45410000,46700000,41505000,49672000,46496000,49888000,38621000,54211000,50151000,47800000,48187000,51260000,53689000,41809000,57519000,74303000,70372000,53783000,65640000,67901000,56103000,66432000,92335000,91341000,123302000,104010000,87203000,68673000,74573000,63770000,66470000,79782000,108198000,135891000,101198000
 "00000","United States", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331526933,332048977,333271411,334914895
 "00000","United States", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10184,11291,11990,12701,13889,14746,15482,16228,17442,18658,19619,20050,21077,21713,22552,23577,24725,25925,27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42649,44237,44401,46287,48060,48971,51004,53309,55566,59123,64460,66244,69810
 "00000","United States", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",653665000,693352000,742094000,819646000,918964000,993909000,1059492000,1173271000,1303767000,1476080000,1648363000,1784597000,1961173000,2053729000,2188018000,2432402000,2615791000,2786901000,2996000000,3259979000,3467027000,3679460000,3789428000,4059023000,4237437000,4456948000,4674849000,4956180000,5288047000,5707014000,6098042000,6598743000,6865291000,7001002000,7243377000,7674785000,8039238000,8519349000,8866261000,9014085000,8688913000,9023916000,9444387000,9854834000,10180570000,10613874000,11039821000,11311477000,11848205000,12438590000,12988477000,13169880000,14354763000,15297028000,16115221000
 "00000","United States", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",43791000,46012000,50859000,58897000,75183000,84872000,88974000,100987000,112699000,130827000,152273000,165670000,195066000,208173000,225143000,256550000,280379000,302389000,322006000,360285000,384001000,408676000,428555000,453768000,476331000,507188000,531874000,554150000,586295000,623685000,660310000,704849000,732117000,750338000,777906000,827820000,871941000,921123000,960011000,986884000,962826000,982045000,915062000,948953000,1102460000,1151698000,1202909000,1237223000,1297292000,1359444000,1422391000,1447257000,1557083000,1702143000,1813878000
 "00000","United States", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",21204000,22345000,24570000,27892000,35555000,40331000,42417000,46761000,51791000,59514000,69923000,76989000,91774000,98766000,105664000,117980000,133139000,145042000,156297000,176231000,190905000,202921000,214228000,225945000,237197000,253543000,268215000,279807000,297173000,316929000,337457000,360123000,374669000,384872000,396049000,419777000,444586000,474522000,499034000,516200000,505514000,513895000,423231000,436562000,577062000,606203000,634466000,657084000,693454000,735774000,772947000,789777000,851561000,938145000,994229000
 "00000","United States", ,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545495000,568443000,580139000,603838000,623670000,649444000,657480000,705522000,763998000,819649000
 "00000","United States", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-107000,-112000,-122000,-145000,-153000,-163000,-199000,-211000,-235000,-257000,-231000,-255000,-208000,-255000,-212000,-254000,-257000,228000,259000,226000,236000,313000,367000,478000,493000,533000,703000,675000,672000,755000,2515000,2587000,2692000,2657000,2679000,2659000,2614000,2617000,2596000,2649000,3019000,3068000,3201000,3411000,3651000,3438000,3403000,3062000,2980000,3451000,3438000,4012000,4149000,4201000,4398000
 "00000","United States", ,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",609767000,647228000,691113000,760604000,843628000,908874000,970319000,1072073000,1190833000,1344996000,1495859000,1618672000,1765899000,1845301000,1962663000,2175598000,2335155000,2484740000,2674253000,2899920000,3083262000,3271097000,3361240000,3605733000,3761599000,3950293000,4143678000,4402705000,4702424000,5084084000,5440247000,5896481000,6135866000,6253321000,6468150000,6849624000,7169911000,7600843000,7908846000,8029850000,7729106000,8044939000,8532526000,8909292000,9081761000,9465614000,9840315000,10077316000,10553893000,11082597000,11569524000,11726635000,12801829000,13599086000,14305741000
 "00000","United States", ,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",119140000,133564000,145252000,157674000,176992000,202399000,221762000,238786000,265688000,300292000,341061000,414426000,505334000,576198000,621999000,698585000,747566000,781305000,789453000,867103000,977659000,1029004000,1043003000,1052874000,1089143000,1154765000,1251073000,1329021000,1411201000,1516041000,1512058000,1636473000,1661673000,1608189000,1659306000,1738099000,1854178000,2076789000,2288133000,2438478000,2182454000,2177445000,2408638000,2633469000,2557205000,2771030000,2941428000,3030442000,3249424000,3455566000,3633001000,3645515000,3948422000,4339000000,4806534000
 "00000","United States", ,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",62322000,74733000,88248000,98130000,112848000,133639000,170424000,184845000,195111000,210561000,236376000,280874000,319762000,356141000,384671000,401232000,425761000,451711000,468094000,497410000,544186000,597231000,668048000,747939000,792906000,828880000,883374000,929128000,954797000,983878000,1026144000,1087280000,1192565000,1285190000,1347228000,1421206000,1516711000,1613814000,1728065000,1955082000,2146693000,2325117000,2358654000,2362988000,2424317000,2541516000,2685370000,2776983000,2855645000,2976239000,3147059000,4228795000,4653728000,4139146000,4267994000
 "00000","United States", ,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",512186000,545441000,579284000,633484000,703743000,767390000,810075000,894943000,988970000,1115885000,1248272000,1366990000,1503905000,1579008000,1668739000,1835609000,1972752000,2093721000,2246552000,2428973000,2572279000,2729857000,2801967000,2956907000,3072485000,3231494000,3413758000,3612299000,3872714000,4177471000,4456769000,4823765000,4950126000,4992622000,5133728000,5416803000,5688398000,6051357000,6392832000,6531099000,6241491000,6363368000,6615753000,6918166000,7104786000,7467705000,7851802000,8086749000,8469518000,8888150000,9313643000,9449377000,10303513000,11114046000,11716967000
 "00000","United States", ,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",63901000,69557000,78362000,90496000,102028000,113668000,130526000,146691000,169572000,193931000,221483000,246206000,278094000,302092000,331414000,367071000,400618000,435399000,461705000,503652000,551955000,594458000,630851000,699043000,734924000,766899000,777601000,798099000,829592000,887008000,942209000,1019616000,1081914000,1136091000,1210736000,1293698000,1369719000,1417923000,1477079000,1517532000,1504178000,1546444000,1592949000,1632251000,1714292000,1767120000,1833313000,1869103000,1944272000,2049420000,2112516000,2121213000,2231403000,2302165000,2452724000
 "00000","United States", ,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",41314000,45890000,52073000,59491000,62400000,69127000,83969000,92465000,108664000,122618000,139133000,157525000,174802000,192685000,211935000,228501000,253378000,278052000,295996000,319598000,358859000,388703000,416524000,471220000,495790000,513254000,513942000,523756000,540470000,580252000,619356000,674890000,724466000,770625000,828879000,885655000,942364000,971322000,1016102000,1046848000,1046866000,1078294000,1101118000,1119860000,1188894000,1221625000,1264870000,1288964000,1340434000,1425750000,1463072000,1463733000,1525881000,1538167000,1633075000
 "00000","United States", ,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545495000,568443000,580139000,603838000,623670000,649444000,657480000,705522000,763998000,819649000
 "00000","United States", ,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",77578000,78354000,84448000,95666000,113193000,112851000,118891000,131637000,145225000,166264000,178608000,171401000,179174000,172629000,187865000,229722000,242421000,257781000,287743000,327354000,342793000,355145000,356610000,403073000,430028000,458555000,483490000,545782000,585741000,642535000,699064000,755362000,833251000,872289000,898913000,964284000,981121000,1050069000,996350000,965454000,943244000,1114104000,1235685000,1304417000,1361492000,1379049000,1354706000,1355625000,1434415000,1501020000,1562318000,1599290000,1819847000,1880817000,1945530000
 "00000","United States", ,CAINC4,71,"..."," Farm proprietors' income ","Thousands of dollars",13407000,13445000,13930000,17598000,29748000,24106000,22650000,17873000,16697000,20211000,21322000,11540000,18521000,14752000,7790000,22412000,22351000,24097000,30168000,28619000,34688000,34148000,29233000,37681000,33410000,36574000,24325000,39333000,34168000,30834000,30755000,32996000,34334000,22462000,38523000,53778000,49894000,33500000,42452000,44676000,32713000,44296000,71280000,65474000,97285000,77570000,62442000,42435000,46786000,37820000,40328000,51615000,80127000,103187000,67805000
 "00000","United States", ,CAINC4,72,"..."," Nonfarm proprietors' income ","Thousands of dollars",64171000,64909000,70518000,78068000,83445000,88745000,96241000,113764000,128528000,146053000,157286000,159861000,160653000,157877000,180075000,207310000,220070000,233684000,257575000,298735000,308105000,320997000,327377000,365392000,396618000,421981000,459165000,506449000,551573000,611701000,668309000,722366000,798917000,849827000,860390000,910506000,931227000,1016569000,953898000,920778000,910531000,1069808000,1164405000,1238943000,1264207000,1301479000,1292264000,1313190000,1387629000,1463200000,1521990000,1547675000,1739720000,1777630000,1877725000
 "01000","Alabama",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28150828,31044372,34454169,36384630,38978846,42838000,46085821,48777214,51514370,55527314,60350959,64234198,67982455,73004434,76346081,80786743,85393841,89218035,93851877,99772880,103204055,108002948,111894150,115007661,120241006,128606270,136087503,144719039,151942557,157780330,155666922,162068839,167882194,172101458,173720680,179487109,187474744,190871820,197963769,205674190,215151792,230732163,254960435,262235600,276925551
 "01000","Alabama",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",9459755,10379785,11422233,12653124,14106584,15904101,17691331,19852140,22018877,24838304,27637538,30840616,33972217,35978618,38690455,42361442,45624332,48324106,50979941,54731327,59417380,63393219,66866446,72008237,75336652,79726869,84614184,88309375,92906920,98707008,101967468,107051217,110514414,114031768,118942715,126813271,134421135,143717893,151131266,156937643,154764691,161305096,167512804,171424334,171757101,177968060,185944204,190034542,196712309,204671088,214423645,230442342,253599282,260008998,275837055
 "01000","Alabama",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",277960,248533,277108,345974,532283,336954,408785,471916,376016,501618,513290,203756,481952,406012,288391,476558,461489,453108,534429,795987,933579,840979,1116009,996197,1009429,1059874,779657,908660,944957,1065872,1236587,951731,1379736,975893,1298291,1792999,1666368,1001146,811291,842687,902231,763743,369390,677124,1963579,1519049,1530540,837278,1251460,1003102,728147,289821,1361153,2226602,1088496
 "01000","Alabama",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5031864,5050380,5073903,5108468
 "01000","Alabama",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7959,8793,9269,9908,10840,11601,12220,12830,13800,14975,15860,16585,17574,18116,18963,19874,20599,21487,22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33849,34887,35564,35713,36729,38197,38712,39975,41330,43001,45854,50483,51683,54209
 "01000","Alabama",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",8112293,8628530,9403095,10496269,11861577,12960825,14045483,15977583,17715705,20164933,22203571,23708925,25812609,26629404,28581996,31634478,34180201,36335700,38826596,41972545,44619334,47432666,50105140,53808914,56263471,59265224,61719606,64433868,67511279,72164908,75429135,77978535,80308883,82624721,85884349,91540120,96799376,102208900,105583340,106202564,104241969,107113941,109788306,112110406,115358203,118674266,122547294,124983437,129741033,135414877,140825765,145048922,156483752,168072450,178028731
 "01000","Alabama",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",550477,590084,654716,765219,983117,1136054,1221733,1422114,1596131,1840176,2102819,2277099,2643783,2782701,3052643,3427427,3739449,3972444,4194481,4668481,4970123,5365690,5681030,6061549,6419065,6848877,7217259,7463783,7830286,8228142,8592883,8886335,9189154,9452290,9794276,10294097,10951125,11659180,12221330,12606897,12336361,12714842,11650565,11889740,13675855,14068933,14541926,14816665,15394434,16253393,16866856,17528792,18688520,20328155,21717264
 "01000","Alabama",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",278249,299197,324778,375810,481602,556428,600020,690110,773441,884508,1015058,1111903,1301190,1377735,1515205,1668423,1872955,1958336,2086193,2343608,2543296,2734802,2911923,3093937,3281705,3516155,3739291,3864234,4057820,4251133,4466173,4612784,4806639,4976787,5143106,5439367,5816932,6306086,6637533,6860598,6728474,6810228,5570707,5723000,7419859,7698181,7956215,8207702,8577995,9146128,9425523,9836098,10459286,11527916,12290302
 "01000","Alabama",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",272228,290887,329938,389409,501515,579626,621713,732004,822690,955668,1087761,1165196,1342593,1404966,1537438,1759004,1866494,2014108,2108288,2324873,2426827,2630888,2769107,2967612,3137360,3332722,3477968,3599549,3772466,3977009,4126710,4273551,4382515,4475503,4651170,4854730,5134193,5353094,5583797,5746299,5607887,5904614,6079858,6166740,6255996,6370752,6585711,6608963,6816439,7107265,7441333,7692694,8229234,8800239,9426962
