GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "49000","Utah",7,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",3406875,3791439,4243112,4741413,5282895,5910411,6590527,7463623,8440469,9711665,10970210,12318448,13878413,15058011,16136101,17800948,19059816,20029871,20928144,22309336,23942146,25975922,27877464,30105915,32466503,35131085,38274771,41682790,45000539,48098523,50669999,54230564,56788677,58508581,60770445,64794962,70661847,78561107,85528474,89967770,86594676,88940512,95881711,101928136,105027979,111056448,119661481,126540574,134546734,144645502,155711460,169921127,194315554,205519377,219331628
 "49000","Utah",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3333864,3714596,4166981,4653994,5153943,5815251,6524646,7391187,8378689,9642141,10890024,12260598,13838709,15014641,16102315,17746842,19005741,19945368,20800822,22104164,23741052,25728268,27649271,29831954,32171875,34919447,38116661,41517037,44810456,47874081,50440710,54032717,56481318,58317340,60567643,64500799,70405624,78426288,85359630,89796602,86504678,88739690,95532190,101613981,104512730,110461874,119068371,126193069,134190390,144303810,155290222,169442386,193818746,204755882,218825514
 "49000","Utah",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",73011,76843,76131,87419,128952,95160,65881,72436,61780,69524,80186,57850,39704,43370,33786,54106,54075,84503,127322,205172,201094,247654,228193,273961,294628,211638,158110,165753,190083,224442,229289,197847,307359,191241,202802,294163,256223,134819,168844,171168,89998,200822,349521,314155,515249,594574,593110,347505,356344,341692,421238,478741,496808,763495,506114
 "49000","Utah",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776094,2818261,2860480,2908068,2950652,2999092,3063043,3125784,3180896,3232701,3283982,3339284,3381236,3417734
 "49000","Utah",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7747,8365,9158,9663,10117,10972,11601,12046,12471,13206,14035,15004,15663,16390,17102,17920,19003,20156,21229,22207,22995,24162,24867,25167,25749,26980,28751,31107,32924,33784,31796,32038,34022,35633,36116,37638,39899,41312,43044,45473,48168,51742,58191,60782,64175
 "49000","Utah",7,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",2824888,3101325,3440027,3852021,4327870,4820476,5299370,6066047,6905851,7951678,8992968,9911184,11067375,11770775,12514990,13927640,14901149,15604262,16312530,17515595,18740587,20532648,22137775,24105844,26063148,28307393,30583235,33164474,36028514,38657871,41176495,43743721,45587013,46615654,48163688,51887238,56045896,62649588,67268276,68572716,65615026,66867077,70936087,75863766,79842832,84074782,89799378,94865976,100780473,108529513,116392564,124619682,136764300,148445176,158901565
 "49000","Utah",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",174871,190397,217620,259531,337674,394780,432296,502031,575281,677647,809800,901648,1088487,1176233,1266652,1447832,1577794,1657865,1722548,1935684,2114798,2389860,2619407,2831650,3076954,3387688,3687387,3920277,4201560,4484349,4729934,5046092,5291643,5454821,5678057,6169352,6684968,7283576,7832974,8021755,7767728,7863894,7464021,7854333,9301092,9790946,10233246,10759624,11406969,12016765,12777348,13788884,15011802,16561085,17982354
 "49000","Utah",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",86322,93809,106282,125092,162706,189629,206763,234400,267553,310181,376419,421975,514247,559537,597096,669289,750477,794232,831580,939585,1034995,1165491,1277812,1379139,1497828,1649696,1809198,1944150,2100047,2232340,2381583,2531562,2636880,2712075,2784643,2998813,3244122,3575275,3916294,4013245,3928087,4006610,3270723,3440245,4667972,4943847,5206972,5499081,6001494,6378466,6806163,7380154,8017351,8833346,9549954
 "49000","Utah",7,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",88549,96588,111338,134439,174968,205151,225533,267631,307728,367466,433381,479673,574240,616696,669556,778543,827317,863633,890968,996099,1079803,1224369,1341595,1452511,1579126,1737992,1878189,1976127,2101513,2252009,2348351,2514530,2654763,2742746,2893414,3170539,3440846,3708301,3916680,4008510,3839641,3857284,4193298,4414088,4633120,4847099,5026274,5260543,5405475,5638299,5971185,6408730,6994451,7727739,8432400
 "49000","Utah",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",3731,2438,1952,4411,6885,9665,12826,15741,20597,25056,32959,49370,52902,53054,42898,38922,40517,35324,25475,24163,22053,16866,11497,6555,7126,6944,298,397,-148,-3824,-1320,4884,-216,-2169,1237,2023,15365,19495,15905,33590,7239,1251,-1043,16461,27699,33792,8094,-27549,-33268,-30919,-49131,-102004,-136216,-150115,-158282
