GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "51000","Virginia",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",17847652,19371643,21410967,23764172,26612710,29489590,32379775,35770824,39631200,44990392,50186344,56746086,63651263,68805226,74253831,82549774,89269129,96310281,103737724,113855750,123151152,129561607,135175978,143616852,150892451,158792705,166843936,175083774,186626604,199883611,214025699,231869839,244314338,251357721,266325205,284687272,303288897,323553839,341200328,355506371,349465380,364677930,385635146,402072097,398579782,414710067,433088249,444691432,462372199,479766611,501770778,530351791,579894107,604996492,643578630
 "51000","Virginia",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",17637318,19160751,21220391,23513006,26261793,29178211,32119209,35540296,39468758,44706986,50037279,56684336,63387707,68689833,74215044,82228643,89045542,96039710,103373994,113340415,122516531,128883530,134562903,142958157,150359382,158159127,166288503,174522740,186210002,199473309,213710407,231311663,243836653,250995217,266057931,284157570,302713705,323276833,340965314,355133658,349117075,364344719,385028491,401433696,397814590,414034554,432603368,444435145,461857921,479476659,501354653,530165224,579274213,603547138,643178693
 "51000","Virginia",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",210334,210892,190576,251166,350917,311379,260566,230528,162442,283406,149065,61750,263556,115393,38787,321131,223587,270571,363730,515335,634621,678077,613075,658695,533069,633578,555433,561034,416602,410302,315292,558176,477685,362504,267274,529702,575192,277006,235014,372713,348305,333211,606655,638401,765192,675513,484881,256287,514278,289952,416125,186567,619894,1449354,399937
 "51000","Virginia",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025030,8107628,8196915,8269638,8333578,8389864,8444688,8502578,8547016,8597339,8637193,8657348,8679099,8715698
 "51000","Virginia",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10571,11692,12526,13344,14626,15620,16572,17487,18860,20122,20840,21452,22390,23180,24085,25011,25935,27328,28965,30574,32631,33940,34495,36151,38082,40027,42164,44020,45383,44091,45443,47564,49052,48198,49764,51620,52659,54380,56133,58363,61403,66983,69707,73841
 "51000","Virginia",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",13888586,14888650,16361556,18247954,20494163,22487701,24107514,26730974,29632785,33472938,37101589,40839542,45398788,48645343,53078422,59515460,65054570,70915359,77743162,85293416,91220891,95102916,98530957,104802966,109727435,115317751,120285825,126802379,135741537,147511278,159419000,175309707,184666498,189151512,199943911,216849751,230677524,241768620,251551993,255751400,253301547,263974651,272115957,282095603,284627716,291940359,304543215,310125950,321253019,332431085,348178070,356333289,385369850,410189273,437047976
 "51000","Virginia",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",799195,869334,998864,1166417,1483483,1700629,1821518,2071376,2302362,2623688,3053517,3380304,4012663,4368940,4945443,5702218,6436234,7279121,7980665,9001533,9745892,10316847,10808125,11443548,12026553,12719410,13263806,13951624,14948277,16045277,17282326,18640973,19663981,20356681,21415570,23336733,24956066,26489376,27632668,28536051,28627302,29511435,27107839,27982813,32377083,33129971,34665050,35397606,37048804,38327668,39973810,41135425,43853871,47580224,50805470
 "51000","Virginia",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",399804,430167,486170,563642,727458,833712,882150,980230,1087342,1241396,1460131,1637369,1965610,2163126,2421469,2749775,3193745,3625050,4002665,4532597,4959104,5221484,5489507,5782177,6104023,6514979,6853455,7204350,7731647,8294384,8976267,9662257,10200996,10601997,11081480,11988873,12857340,13708409,14421338,14927557,14940969,15333757,12326100,12670359,16796748,17290865,18115563,18675300,19655768,20591864,21555473,22243270,23677402,25852369,27557937
 "51000","Virginia",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",399391,439167,512694,602775,756025,866917,939368,1091146,1215020,1382292,1593386,1742935,2047053,2205814,2523974,2952443,3242489,3654071,3978000,4468936,4786788,5095363,5318618,5661371,5922530,6204431,6410351,6747274,7216630,7750893,8306059,8978716,9462985,9754684,10334090,11347860,12098726,12780967,13211330,13608494,13686333,14177678,14781739,15312454,15580335,15839106,16549487,16722306,17393036,17735804,18418337,18892155,20176469,21727855,23247533
 "51000","Virginia",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",990605,909041,947033,1003047,1080948,1189052,1456914,1684105,1907324,2312728,2734435,3316990,3413189,3432793,3378316,3574783,3697835,3821084,3934677,4328077,4561839,5196148,5628802,6031633,6343846,6268999,6375507,5924885,6482241,6211405,7921652,6062516,6574707,8084329,8783558,9248815,9517636,10812033,11419987,13262108,13089760,14602761,16878585,16850369,16606906,18513110,18959749,19840549,20354714,20802945,19416978,18658489,21096466,20468247,20075006
