State,Year,County,Party,Personal income (thousands of dollars) 2007,Personal income (thousands of dollars) 2006,Personal income (thousands of dollars) 2005, Net earnings by place of residence 2007, Net earnings by place of residence 2006, Net earnings by place of residence 2005, Personal current transfer receipts 2007, Personal current transfer receipts 2006, Personal current transfer receipts 2005,  Income maintenance benefits 1/2007,  Income maintenance benefits 1/2006,  Income maintenance benefits 1/2005,  Unemployment insurance compensation 2007,  Unemployment insurance compensation 2006,  Unemployment insurance compensation 2005,  Retirement and other 2007,  Retirement and other 2006,  Retirement and other 2005," Dividends, interest, and rent 2/2007"," Dividends, interest, and rent 2/2006"," Dividends, interest, and rent 2/2005", Population (persons) 3/2007, Population (persons) 3/2006, Population (persons) 3/2005, Per capita personal income 4/2007, Per capita personal income 4/2006, Per capita personal income 4/2005, Per capita net earnings 4/2007, Per capita net earnings 4/2006, Per capita net earnings 4/2005, Per capita personal current transfer receipts 4/2007, Per capita personal current transfer receipts 4/2006, Per capita personal current transfer receipts 4/2005,  Per capita income maintenance benefits 4/2007,  Per capita income maintenance benefits 4/2006,  Per capita income maintenance benefits 4/2005,  Per capita unemployment insurance compensation 4/2007,  Per capita unemployment insurance compensation 4/2006,  Per capita unemployment insurance compensation 4/2005,  Per capita retirement and other 4/2007,  Per capita retirement and other 4/2006,  Per capita retirement and other 4/2005," Per capita dividends, interest, and rent 4/2007"," Per capita dividends, interest, and rent 4/2006"," Per capita dividends, interest, and rent 4/2005", Earnings by place of work 2007, Earnings by place of work 2006, Earnings by place of work 2005,  Wages and salaries 2007,  Wages and salaries 2006,  Wages and salaries 2005,  Supplements to wages and salaries 2007,  Supplements to wages and salaries 2006,  Supplements to wages and salaries 2005,   Employer contributions for employee pension and insurance funds 5/2007,   Employer contributions for employee pension and insurance funds 5/2006,   Employer contributions for employee pension and insurance funds 5/2005,   Employer contributions for government social insurance 2007,   Employer contributions for government social insurance 2006,   Employer contributions for government social insurance 2005,  Proprietors' income 2007,  Proprietors' income 2006,  Proprietors' income 2005,   Farm proprietors' income 2007,   Farm proprietors' income 2006,   Farm proprietors' income 2005,   Nonfarm proprietors' income 2007,   Nonfarm proprietors' income 2006,   Nonfarm proprietors' income 2005
Alabama,2008,Autauga,R,1659407,1536855,1440795,1120437,1050993,991256,273191,250557,225497,30041,27279,26934,2264,2116,2259,240886,221162,196304,265779,235305,224042,52405,51328,49676,31665,29942,29004,21380,20476,19954,5213,4881,4539,573,531,542,43,41,45,4597,4309,3952,5072,4584,4510,552468,536567,519037,382106,359938,346817,91171,86662,87759,63638,60686,62087,27533,25976,25672,79191,89967,84461,11014,16811,16626,68177,73156,67835
Alabama,2008,Baldwin,R,6243633,5880129,5272521,3707098,3548219,3215114,1007781,928616,848385,67102,58233,60698,7092,6570,7448,933587,863813,780239,1528754,1403294,1209022,172404,168121,162183,36215,34976,32510,21502,21105,19824,5845,5523,5231,389,346,374,41,39,46,5415,5138,4811,8867,8347,7455,3012294,2905199,2585102,2067297,1914894,1709214,457522,426902,408259,306154,286107,279010,151368,140795,129249,487475,563403,467629,-1602,3019,-3613,489077,560384,471242
Alabama,2008,Barbour,R,707097,686697,665248,403510,409615,407360,183389,172706,156982,28251,25516,25518,1820,1589,1546,153318,145601,129918,120198,104376,100906,27757,27861,28027,25475,24647,23736,14537,14702,14535,6607,6199,5601,1018,916,910,66,57,55,5524,5226,4635,4330,3746,3600,467547,477501,471559,329433,323406,310922,88933,87366,87263,63682,62417,63511,25251,24949,23752,49181,66729,73374,13557,23371,35786,35624,43358,37588
Alabama,2008,Bibb,R,539717,500645,468895,346968,330017,308127,136071,122439,111056,15750,13640,13974,997,958,975,119324,107841,96107,56678,48189,49712,22438,22099,22042,24054,22655,21273,15463,14934,13979,6064,5540,5038,702,617,634,44,43,44,5318,4880,4360,2526,2181,2255,204256,189802,180185,145332,132618,125489,37812,34481,34513,27115,24637,24764,10697,9844,9749,21112,22703,20183,2654,3001,3211,18458,19702,16972
Alabama,2008,Blount,R,1494638,1379493,1340387,1003920,940987,921098,306228,282648,260864,27263,23380,22715,2390,2230,2347,276575,257038,235802,184490,155858,158425,56240,55485,54624,26576,24862,24538,17851,16959,16863,5445,5094,4776,485,421,416,42,40,43,4918,4633,4317,3280,2809,2900,466898,452388,446655,294126,277303,258846,73268,69908,68497,51500,49359,49044,21768,20549,19453,99504,105177,119312,9785,7844,33329,89719,97333,85983
Alabama,2008,Bullock,D,230398,216678,201420,122390,119228,110389,73652,67547,63207,13100,11325,11394,964,859,882,59588,55363,50931,34356,29903,27824,11011,10776,11011,20924,20107,18293,11115,11064,10025,6689,6268,5740,1190,1051,1035,88,80,80,5412,5138,4625,3120,2775,2527,129077,130762,125922,89139,83615,82228,24994,23990,24247,18077,17543,17970,6917,6447,6277,14944,23157,19447,2760,10306,9541,12184,12851,9906
Alabama,2008,Butler,R,563567,521551,507419,317786,298564,296507,163262,152780,143873,21730,19279,18523,1579,1379,1477,139953,132122,123873,82519,70207,67039,20894,20815,20830,26973,25056,24360,15209,14344,14235,7814,7340,6907,1040,926,889,76,66,71,6698,6347,5947,3949,3373,3218,298496,278328,276713,202548,200070,185407,52525,51872,50304,37534,36924,35957,14991,14948,14347,43423,26386,41002,14538,-4056,12135,28885,30442,28867
Alabama,2008,Calhoun,R,3490891,3290907,3143140,2034941,1933502,1865375,792882,745367,699108,81625,70056,68810,6135,5812,6138,705122,669499,624160,663068,612038,578657,116211,115388,114477,30039,28520,27457,17511,16757,16295,6823,6460,6107,702,607,601,53,50,54,6068,5802,5452,5706,5304,5055,2552405,2375675,2266940,1889501,1736839,1644636,499895,467539,455807,361936,340136,333248,137959,127403,122559,163009,171297,166497,2135,3123,12293,160874,168174,154204
Alabama,2008,Chambers,R,924705,890986,853196,545139,546107,532888,256631,236087,217385,32116,28478,27317,3247,2610,2621,221268,204999,187447,122935,108792,102923,34847,34945,35279,26536,25497,24184,15644,15628,15105,7365,6756,6162,922,815,774,93,75,74,6350,5866,5313,3528,3113,2917,420936,436878,451297,316156,322718,331351,77149,77664,83667,53647,53552,57388,23502,24112,26279,27631,36496,36279,1781,3853,4110,25850,32643,32169
Alabama,2008,Cherokee,R,672032,613294,578906,394663,370922,357319,176226,159757,143364,17304,15523,14060,1385,1294,1287,157537,142940,128017,101143,82615,78223,25553,25466,25031,26300,24083,23128,15445,14565,14275,6896,6273,5727,677,610,562,54,51,51,6165,5613,5114,3958,3244,3125,238325,222511,219304,162227,147390,145127,43689,40214,40653,31476,29157,29753,12213,11057,10900,32409,34907,33524,2200,4120,6451,30209,30787,27073
